Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,1.5,9,0.005791505791505792,-0.1618830438702002,0.0,0.0028957528957528956,71,256,260,195,-1.0000000089878023,1.0000000082047036,1.0,-1.0,1.0
3,1.4506437768240343,8,0.006252774900103596,-0.11558192108405868,0.0,0.0031263874500517983,66,231,233,169,1.0,-1.0,1.0,-1.0,0.0
4,1.4936708860759493,7,0.006329113924050633,-0.12437417921903424,0.0,0.0031645569620253164,62,235,237,177,1.0,-1.0,1.0,-1.0,0.0
5,1.5104895104895104,7,0.005299963194700037,-0.16767501272428126,0.008158508158508158,0.0026499815973500184,74,283,286,216,1.0,-1.0,1.0,-1.0,1.0
6,1.558974358974359,9,0.004007646167029201,-0.11824048066174493,0.0059829059829059825,0.0020038230835146002,91,386,390,304,1.0,-1.0,1.0,-1.0,1.0
7,1.52734375,10,0.0029889310176125245,-0.1001084989038807,0.008470052083333334,0.0014944655088062623,131,504,512,391,1.0,-1.0,1.0,-1.0,1.0
8,1.5638629283489096,9,0.0024397237571745865,-0.12982638925303985,0.006749827146613505,0.001219861878587293,151,634,642,502,1.0,-1.0,1.0,-1.0,1.0
9,2.1493506493506493,11,0.001746020023842932,-0.41881837055764193,0.025461707126953493,0.000873010011921466,182,1221,1232,1324,1.0000000208971875,-1.0000000000000007,1.0000000000000004,-1.0000000000000002,-1.0000000000000002
10,2.3911792905081497,14,0.001146848580579448,-0.45581886051683135,0.020306607911822937,0.0005734242902897241,248,2063,2086,2494,1.927141991506243,-1.000000000000001,-1.0000000000000009,1.0000000000000004,-1.0000000000000004
11,2.358197358197358,15,0.0009165166568975353,-0.4325227983755042,0.017647359312884678,0.0004582583284487676,327,2535,2574,3035,2.0699599954989534,-1.4142135623730963,1.4142135623730947,1.3247179572447432,-1.0000000000000016
12,2.3294450335807704,16,0.0008237075790596786,-0.41101467002822617,0.022793559079423167,0.0004118537895298392,382,2778,2829,3295,2.136988824173535,-1.4142135623730976,-1.4142135623730965,1.4142135623730947,1.4142135623730945
13,2.298119658119658,15,0.0007859506354718394,-0.4025268963291638,0.021591078327038625,0.00039297531773591966,416,2874,2925,3361,2.214588762896531,-1.4142135623731003,-1.4142135623730971,1.4142135623730945,1.4142135623730945
14,2.321524064171123,17,0.0007761698643166575,-0.3989829217341711,0.023470765217278176,0.00038808493215832884,412,2940,2992,3473,2.146571239458954,-1.7320508075688772,1.7320508075688772,1.4142135623730974,-1.414213562373095
15,2.231878698224852,19,0.0004127757903134551,-0.44335383767706366,0.023710947485505132,0.0002063878951567276,408,5320,5408,6035,2.3001682197467694,2.2145887628965446,-1.7320508075688803,1.732050807568878,1.4422495703074074
16,2.426091353446823,22,0.0004089837075938677,-0.42151964466185327,0.043550047514402564,0.00020449185379693382,424,4529,5933,7197,10.406464126081797,-9.895563410298124,-1.9999999999999993,1.9999999999999916,1.4610133932113023
17,2.411808118081181,22,0.0004450651629601737,-0.4100330882342434,0.04916799741426457,0.0002225325814800868,398,4234,5420,6536,11.443400053405941,-11.087152348481919,1.9999999999999976,-1.9999999999999951,1.6697178829567678
18,2.427347171967244,24,0.0004623518422794752,-0.395747500330851,0.053441212876486836,0.00023117592113973756,357,4131,5251,6373,12.153299220454308,-11.760109221179395,1.9697442823543057,-1.3478455749956795,-1.3478455749956795
19,2.477913991048842,25,0.00048227208856536436,-0.404288436652415,0.059293253995668274,0.00024113604428268218,305,3964,5139,6367,13.022023522260783,-12.626949519408035,2.3440261267065488,1.324717957244746,-1.2938006455057338
20,2.5070038910505836,25,0.0004878388579588604,-0.4081661249736411,0.06076253276126766,0.0002439194289794302,282,3926,5140,6443,13.3484471534116,-12.944473920713348,2.40823159370682,-1.4927386908676226,1.324717957244753
21,2.4912617630113307,26,0.00047853664291420115,-0.4064612099247864,0.06099414697866281,0.00023926832145710055,308,4001,5207,6486,13.480466468873288,-13.073702532974227,2.4084596770682656,-1.6217538056258944,1.6180339887499025
22,2.4566437928883342,21,0.0007665035235221013,-0.398532257710104,0.0456208641819457,0.0003832517617610506,440,2103,3206,3938,13.449138708941073,-13.076573221345232,2.0640249126419543,1.6180339887499104,1.6180339887499002
23,2.135013501350135,16,0.0009612847822377914,-0.3438680206626409,0.037421504526438644,0.00048064239111889577,381,1848,2222,2372,9.06076685278498,-8.70912832333668,1.571951880919953,1.0000000000000036,-1.0000000000000033
24,2.1372451516658377,15,0.0010633060456048942,-0.3404648861598075,0.03511548075454748,0.0005316530228024472,345,1671,2011,2149,8.59645121530685,-8.264676107949024,1.2887703609250774,1.0000000000000044,-1.0000000000000036
25,2.0504484304932737,14,0.0011499991197382355,-0.33148189374662745,0.029336495264171928,0.0005749995598691176,339,1511,1784,1829,7.757269168349583,-7.435873554238592,1.2795927008005976,1.0000000000000027,-1.0000000000000018
26,1.9776813391196528,14,0.0012268494659551197,-0.30685677202202766,0.02944908482642755,0.0006134247329775598,332,1381,1613,1595,7.144474053463812,-6.784183197046881,1.0191222116364225,1.0191222116364225,1.0000000000000024
27,1.932717678100264,14,0.0012757212396701412,-0.30340134271047764,0.02891450933775249,0.0006378606198350706,333,1310,1516,1465,6.833889756384718,-6.465186402047415,-1.0000000000000029,1.000000000000001,1.000000000000001
28,1.980092899800929,13,0.0013148027223113738,-0.31930044516864564,0.03738187575088187,0.0006574013611556869,306,1227,1507,1492,6.95819657842231,-6.5166303204147455,1.2046996543026667,1.0000000000000027,-1.0000000000000022
29,1.9973474801061009,13,0.001325379880627804,-0.32446331849439003,0.0433261944427331,0.0006626899403139021,288,1233,1508,1506,6.5840457756526485,-6.094964871596647,1.370916358252227,1.2221847973896427,1.000000000000002
