Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,3.6178343949044587,17,0.023191246121182424,-0.19275473448208746,0.02035441647553962,0.011595623060591214,5,133,157,284,2.1357792050698596,-2.135779205069858,2.0528808400337164,-2.0528808400337097,1.8477590650225753
3,4.302752293577981,24,0.019828351583308673,-0.1854582942989683,0.03875630523636904,0.009914175791654335,4,168,218,469,2.957706018552428,-2.86223918009078,-2.356826436567702,2.231432710484426,2.231432710484426
4,4.808163265306122,25,0.019705587152893948,-0.17171954290280417,0.04754799018701207,0.009852793576446972,5,183,245,589,3.7505830386483483,-3.1346978606717797,-2.826592679511808,2.308673106826158,2.292737603466254
5,4.983050847457627,30,0.01694915254237288,-0.17911890230675656,0.04428145695096638,0.00847457627118644,4,216,295,735,4.157309561193334,-3.238691677665381,-3.238691677665381,2.6809071840155587,2.6809071840155587
6,5.881305637982196,33,0.017503885827327963,-0.18686292984880815,0.06267250549913213,0.008751942913663982,2,228,337,991,4.925761339237139,-3.800468740125833,3.7465049600037954,3.4063726705723605,-3.321254788552433
7,6.528,38,0.017454545454545452,-0.18385987854411517,0.06221887304804566,0.008727272727272728,2,231,375,1224,5.857397195626888,4.2682109433696285,-4.248382934978381,-3.7283539928145712,3.723825193950132
8,7.260204081632653,40,0.01856829688397098,-0.17227638395417824,0.06716451944484664,0.00928414844198549,5,222,392,1423,6.631108786483905,-4.441315520229439,4.3039621706126505,3.9684639372537025,-3.7236826587926615
9,7.538793103448276,40,0.01628249050420794,-0.14306964049539989,0.07157464315083911,0.00814124525210397,5,266,464,1749,7.2704211634125,-4.772519594626403,4.633812050312329,4.633812050312329,-4.269413350600021
10,7.889830508474576,46,0.016751232502069165,-0.12597229012371083,0.06732913399253802,0.008375616251034583,5,255,472,1862,7.485130375049173,-5.14002486713495,4.984141252985793,4.309878012387936,-4.268119156154873
11,8.296610169491526,48,0.01761488358703084,-0.12021015158200436,0.06483832125673829,0.00880744179351542,6,238,472,1958,7.881236572572513,-5.450804305066581,5.138122732149419,-4.330336067551846,-4.288433495949679
12,8.928286852589641,50,0.017820931841496288,-0.10337120170020543,0.06932289538431735,0.008910465920748145,7,236,502,2241,8.963839050153476,-6.500828093581216,5.623558401604375,-4.9647238814514845,4.858082370088415
13,9.341506129597198,52,0.016388607244907365,-0.12182045504172122,0.0766203489710099,0.008194303622453682,4,262,571,2667,10.105341922523898,-7.044811072210182,5.730063559691813,5.202359979939748,-5.119604201078971
14,9.770867430441898,55,0.016017815459740816,-0.1192069089864142,0.07499393399240296,0.008008907729870408,4,268,611,2985,10.93716090436262,-7.711772795510552,5.644595790705607,5.644595790705607,5.354257912079131
15,10.401869158878505,58,0.016227564990450086,-0.12243378750447963,0.07765789266516704,0.008113782495225043,3,270,642,3339,11.95349675030237,-8.42567171400636,6.475655418892099,-5.9353779888528955,5.923170972870828
16,10.444444444444445,61,0.01529201236375468,-0.11270411935451066,0.07463240704879083,0.007646006181877338,4,269,684,3572,12.487075023615102,-9.075382437842668,6.5919051309950625,6.5919051309950625,6.0394210303313045
17,10.221343873517787,61,0.013484622524429798,-0.17939460845212016,0.07803737914405715,0.006742311262214899,2,318,759,3879,13.510821955933292,-10.33513831046621,7.163208756459808,6.342593815419593,6.172455258369492
18,10.320707070707071,63,0.013047670127316146,-0.17391944992453293,0.07532666854611739,0.006523835063658072,2,316,792,4087,13.989929910346971,-10.85535915132637,7.366667106998642,6.599777087584225,6.296716286010916
19,10.448574969021065,64,0.012963492517395864,-0.1738988478342526,0.07157605912084938,0.006481746258697931,2,300,807,4216,14.221374459751956,-10.958116325180464,7.903209628215056,7.1297522780395175,-6.739586391181964
20,10.127877237851662,61,0.012967832570872806,-0.1693489454629688,0.06521206164644294,0.006483916285436404,2,280,782,3960,14.099450214177375,-11.318936512749849,7.941649751821666,-6.649786676158436,6.5620331682682504
