,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,48,0,43,0,0
1,48,78,42,64,77,5
2,125,32,187,3,44,50
3,157,61,284,51,94,40
4,218,27,469,3,51,66
5,243,52,588,16,94,37
6,286,51,716,33,134,108
7,328,47,973,16,117,118
8,352,40,1111,8,125,179
9,378,86,1332,25,209,183
10,438,34,1602,12,82,166
11,454,18,1763,0,36,159
12,452,50,1825,15,143,258
13,496,75,2016,65,275,311
14,552,59,2456,37,156,336
15,596,46,2714,11,166,448
16,627,57,2971,16,170,415
17,703,56,3353,4,105,417
18,754,38,3705,3,108,271
19,781,26,3736,9,70,401
20,768,14,3629,7,45,279
21,752,38,3533,6,126,327
22,770,26,3401,5,71,245
23,760,13,3132,1,18,119
24,681,21,2748,3,34,250
25,675,16,2716,1,34,198
26,683,17,2541,0,43,344
27,697,40,2647,1,92,394
28,713,32,2675,7,127,378
29,738,44,2872,2,131,385
30,792,39,3273,4,144,360
31,808,23,3505,2,59,253
32,817,25,3574,4,51,203
33,831,25,3443,3,70,471
34,828,40,3472,5,114,479
35,865,27,3582,2,123,447
36,884,45,3631,4,128,652
37,889,16,3907,0,30,327
38,896,16,3925,0,29,86
39,892,12,3787,1,17,125
40,886,14,3346,4,17,142
41,868,15,2925,0,27,169
42,855,33,2504,11,51,197
43,796,25,1837,3,92,228
44,785,17,1697,3,92,130
45,780,7,1788,0,13,97
46,762,7,1744,0,18,101
47,755,12,1704,1,18,141
48,740,13,1631,0,51,141
49,711,10,1582,0,31,197
50,681,12,1468,2,51,152
51,636,9,1428,0,17,107
52,622,8,1440,0,19,76
53,627,2,1461,0,2,123
54,608,5,1446,0,5,163
55,567,6,1387,0,10,28
56,504,1,1154,0,2,5
57,442,0,901,0,0,5
58,406,3,748,0,3,5
59,373,1,626,0,1,4
60,295,1,438,0,1,6
61,135,1,114,0,1,1
62,67,0,43,0,0,3
63,70,0,40,0,0,8
64,73,5,42,1,5,7
65,77,1,48,0,1,4
66,77,0,47,0,0,5
67,128,2,63,0,2,61
68,194,4,166,0,5,76
69,237,3,272,0,6,71
70,273,4,367,0,6,80
71,300,1,468,0,2,56
72,318,2,529,0,2,65
73,333,1,605,0,1,67
74,339,3,641,0,5,67
75,341,1,660,0,5,34
76,330,1,626,0,1,50
77,324,0,598,0,0,55
78,321,1,602,0,4,28
79,304,5,572,0,9,22
80,312,3,541,0,9,54
81,304,0,520,0,0,32
82,345,3,523,0,3,106
83,332,0,555,0,0,38
84,322,0,538,0,0,19
85,307,1,501,0,1,18
86,299,0,481,0,0,3
87,268,0,406,0,0,1
88,257,2,365,0,2,8
89,187,1,248,0,1,12
90,186,4,227,0,4,32
91,185,2,230,0,4,27
92,189,3,240,0,5,31
93,196,0,266,0,0,24
94,197,0,287,0,0,10
95,197,0,295,0,0,13
96,206,4,298,0,4,33
97,202,2,303,0,3,33
98,211,2,316,0,3,26
99,201,6,318,0,7,29
100,206,1,334,0,1,22
101,205,0,343,0,0,23
102,204,0,352,0,0,18
103,191,0,335,0,0,26
104,209,2,330,0,3,29
105,201,1,322,0,5,20
106,191,2,302,0,2,25
107,188,1,291,0,3,11
108,185,0,287,0,0,7
109,184,0,276,0,0,7
110,179,0,248,0,0,17
111,162,4,219,0,5,22
112,157,1,213,0,2,26
113,165,3,212,0,17,14
114,189,0,233,0,0,43
115,186,0,261,0,0,10
116,188,1,261,0,1,13
117,211,4,265,1,6,39
118,201,1,283,0,1,28
119,203,0,302,0,0,27
120,194,4,297,1,4,29
121,181,1,292,0,1,27
122,179,0,310,0,0,10
123,176,0,314,0,0,21
124,165,3,290,0,5,31
125,169,2,288,0,2,22
126,182,1,288,0,1,23
127,185,2,284,1,0,22
128,185,3,268,0,4,19
129,231,11,284,0,11,57
130,242,0,335,0,0,22
131,236,0,324,0,0,10
132,232,1,304,0,1,21
133,221,2,291,0,2,12
134,222,1,296,0,2,21
135,213,0,295,0,0,16
136,164,0,243,0,0,9
137,158,1,222,0,1,3
138,161,0,210,0,0,17
139,154,0,197,0,0,16
140,149,0,206,0,0,19
141,142,0,196,0,0,11
142,127,0,185,0,0,6
143,135,5,181,0,15,9
144,145,0,208,0,0,8
145,164,2,217,0,2,32
146,164,0,233,0,0,33
147,173,1,249,0,1,21
148,180,0,267,0,0,30
149,186,1,296,0,1,17
150,182,1,295,0,1,14
151,179,4,293,2,3,7
152,162,7,255,0,10,7
153,176,2,239,0,3,22
154,172,2,233,0,2,18
155,161,5,211,0,10,13
156,157,4,207,0,5,12
157,156,3,211,0,3,8
158,153,1,211,0,1,9
159,153,2,212,0,5,14
160,147,1,211,0,1,13
161,146,2,204,0,2,10
162,142,0,197,0,0,14
163,136,1,186,0,1,10
164,132,0,181,0,0,6
165,129,1,175,0,1,7
166,120,1,157,0,4,11
167,120,0,164,0,0,7
168,116,2,153,0,2,9
169,114,1,146,0,10,9
170,105,0,140,0,0,0
171,106,2,138,0,2,4
172,102,6,126,0,6,11
173,113,1,133,0,1,9
174,111,0,131,0,0,12
175,112,3,128,0,4,10
176,118,0,112,0,0,15
