graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,1312.8933696229865,0.9899872341941981,1,1,76,220,76,220,76,220,76,220,76,220,76,220,-492,-246,39,551,39,551,0,-697
2,1422.8046246762062,0.9855565496432892,0,0,78,310,78,310,78,310,78,310,78,310,78,310,-364,-57,24,556,24,556,0,-810
3,1455.5895712734412,0.979293509112987,0,0,53,369,53,369,53,369,53,369,53,369,53,369,-267,116,20,576,20,576,0,-732
4,1421.6550214450763,0.9782335945778897,0,0,50,366,50,366,50,366,50,366,50,366,50,366,-243,131,15,553,15,553,0,-717
5,1247.1383243249322,0.9794268756147003,0,0,44,324,44,324,44,324,44,324,44,324,44,324,-218,114,15,484,15,484,0,-620
6,1232.9172721638706,0.9783748326165943,0,0,47,323,47,323,47,323,47,323,47,323,47,323,-200,130,15,477,15,477,0,-607
7,1228.5910629660302,0.9778518874770522,0,0,34,319,34,319,34,319,34,319,34,319,34,319,-190,139,16,486,16,486,0,-603
8,1153.4955569918768,0.9783629542711857,1,1,51,257,51,257,51,257,51,257,51,257,51,257,-246,70,15,489,15,489,0,-612
9,933.9186260054995,0.9818016966329746,0,0,56,192,56,192,56,192,56,192,56,192,56,192,-219,27,15,398,15,398,0,-516
10,900.6103485969945,0.9805305778339969,0,0,45,178,45,178,45,178,45,178,45,178,45,178,-217,13,20,391,20,391,0,-505
11,848.7797122928894,0.9810272488772844,0,0,52,177,52,177,52,177,52,177,52,177,52,177,-191,20,19,355,19,355,0,-476
12,877.597857791369,0.9810496480084511,1,1,47,195,47,195,47,195,47,195,47,195,47,195,-194,43,18,360,18,360,0,-479
13,956.4235463433552,0.9793692734328603,1,1,52,186,52,186,52,186,52,186,52,186,52,186,-229,24,18,424,18,424,0,-527
14,991.6692997163924,0.9787093704219797,0,1,54,215,54,215,54,215,54,215,54,215,54,215,-227,38,19,411,19,411,0,-545
15,949.1311816603646,0.9793793737024868,0,0,56,177,56,177,56,177,56,177,56,177,56,177,-236,7,22,419,22,419,0,-535
16,1007.1802222045467,0.9759763273967453,1,1,36,169,36,169,36,169,36,169,36,169,36,169,-292,16,13,468,13,468,0,-558
17,1130.986737322768,0.9763384840076541,1,1,75,212,75,212,75,212,75,212,75,212,75,212,-260,44,21,477,21,477,0,-671
18,1242.8503530192202,0.972593633877613,1,1,74,171,74,171,74,171,74,171,74,171,74,171,-379,-12,18,561,18,561,0,-750
19,1333.4560360206856,0.9709130739322556,1,1,73,183,73,183,73,183,73,183,73,183,73,183,-407,-10,21,609,21,609,0,-798
20,1336.566122569325,0.9738186060659321,1,1,75,208,75,208,75,208,75,208,75,208,75,208,-395,-4,21,598,21,598,0,-788
21,1434.5204773721428,0.9722885427379641,1,1,65,171,65,171,65,171,65,171,65,171,65,171,-495,-79,18,675,18,675,0,-833
22,1436.3248239865522,0.9723173431995502,0,0,61,190,61,190,61,190,61,190,61,190,61,190,-477,-55,15,673,15,673,0,-829
23,1375.6809223072041,0.9757441701909965,0,0,71,243,71,243,71,243,71,243,71,243,71,243,-393,7,14,614,14,614,0,-774
24,1353.728924120335,0.9751404775468814,0,0,55,260,55,260,55,260,55,260,55,260,55,260,-341,29,19,606,19,606,0,-746
25,1212.5856670767637,0.9763723718206477,0,0,58,223,58,223,58,223,58,223,58,223,58,223,-348,-16,15,534,15,534,0,-678
26,1199.3489900775337,0.9764951779558274,0,0,67,234,67,234,67,234,67,234,67,234,67,234,-295,17,17,520,17,520,0,-674
27,1123.6663205774212,0.9762938802474425,0,0,64,238,64,238,64,238,64,238,64,238,64,238,-256,43,16,478,16,478,0,-611
28,1023.1021454380789,0.9777688333808657,0,0,49,245,49,245,49,245,49,245,49,245,49,245,-190,78,14,415,14,415,0,-534
29,917.2208022063172,0.9787534293940279,0,0,41,187,41,187,41,187,41,187,41,187,41,187,-221,27,8,396,8,396,0,-508
30,877.0279357010243,0.9777922775583404,0,0,46,187,46,187,46,187,46,187,46,187,46,187,-196,36,12,378,12,378,0,-470
31,837.3356555169498,0.979308067161179,0,0,54,165,54,165,54,165,54,165,54,165,54,165,-195,5,11,354,11,354,0,-481
32,819.4144250621904,0.9795344479281426,0,0,55,169,55,169,55,169,55,169,55,169,55,169,-188,16,13,345,13,345,0,-456
33,717.9498589734523,0.982889754067652,1,0,36,125,36,125,36,125,36,125,36,125,36,125,-208,-31,11,323,11,323,0,-401
34,742.5388878705277,0.9832097949504248,0,0,35,159,35,159,35,159,35,159,35,159,35,159,-179,6,12,313,12,313,0,-405
35,744.9771808585817,0.9827268671219029,0,1,45,145,45,145,45,145,45,145,45,145,45,145,-182,-6,17,314,17,314,0,-431
36,706.3462323818256,0.9839766962036665,1,0,38,121,38,121,38,121,38,121,38,121,38,121,-183,-16,21,326,21,326,0,-394
37,738.4659775507603,0.9838588886715343,1,1,52,138,52,138,52,138,52,138,52,138,52,138,-180,1,16,309,16,309,0,-437
38,670.2119067876965,0.984859059467109,0,0,36,104,36,104,36,104,36,104,36,104,36,104,-189,-18,15,298,15,298,0,-403
39,665.4449639151235,0.9844039903105238,0,0,45,114,45,114,45,114,45,114,45,114,45,114,-169,5,18,296,18,296,0,-385
40,682.5606200184714,0.982822672436905,0,0,44,115,44,115,44,115,44,115,44,115,44,115,-182,-5,17,310,17,310,0,-386
41,651.6356343847381,0.9842279255291289,0,0,41,114,41,114,41,114,41,114,41,114,41,114,-171,-11,13,287,13,287,0,-377
42,625.2103645973889,0.9827010956666323,0,0,35,119,35,119,35,119,35,119,35,119,35,119,-153,8,14,279,14,279,0,-345
43,588.2737458020713,0.9844259523004907,0,0,32,126,32,126,32,126,32,126,32,126,32,126,-137,26,9,247,9,247,0,-321
44,553.8998104350642,0.9840158490509145,0,0,25,119,25,119,25,119,25,119,25,119,25,119,-118,25,7,233,7,233,0,-308
45,503.2643440578718,0.9852591511352451,0,0,23,107,23,107,23,107,23,107,23,107,23,107,-108,22,8,211,8,211,0,-283
46,578.6501533742128,0.9837199635393372,1,1,37,126,37,126,37,126,37,126,37,126,37,126,-107,35,5,211,5,211,0,-360
47,696.2995045237358,0.9793534538705233,1,1,34,169,34,169,34,169,34,169,34,169,34,169,-103,75,8,262,8,262,0,-391
48,821.7791674166485,0.9738790608461022,0,1,33,200,33,200,33,200,33,200,33,200,33,200,-99,114,12,313,12,313,0,-458
