Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,1.0559796437659033,4,0.0013451969984279023,-0.03662122811772561,0.0,0.0006725984992139512,375,782,786,415,1.0,-1.0,1.0,-1.0,1.0
3,1.0443213296398892,4,0.0014484345764769614,-0.024877834529522715,0.0,0.0007242172882384807,347,720,722,377,1.0,-1.0,1.0,-1.0,0.0
4,1.5453976205385096,16,0.00048399549656702467,-0.14527330378006093,0.013828026456468698,0.00024199774828351234,789,3165,3194,2468,1.9129311827723892,1.3247179572447454,1.3247179572447434,-1.0000000000000036,1.0000000000000027
5,1.5933147632311977,23,0.0002774359678271283,-0.14767330058653177,0.017735710599708007,0.00013871798391356416,1359,5627,5744,4576,3.894371040583424,-1.4142135623730951,1.4142135623730938,1.3247179572447483,1.3247179572447476
6,1.6269305742989955,25,0.00024399078798725184,-0.15582556607565665,0.019624654066954163,0.00012199539399362593,1526,6532,6669,5425,4.064323460828092,1.618033988749896,-1.419667033505368,-1.4142135623730974,1.4142135623730965
7,1.6481658257193508,28,0.00022479075637197912,-0.1593396658789638,0.021398518332029104,0.00011239537818598956,1622,7174,7333,6043,4.234581386652686,2.103803402735534,-1.4194026562511484,1.4142135623730974,-1.4142135623730956
8,1.6716840344783224,30,0.00021509058601110686,-0.1612745462872356,0.024266796285500734,0.00010754529300555343,1675,7571,7773,6497,4.472966088487098,2.332192320401141,-1.5357440695647924,-1.5357440695647924,-1.417837980533267
9,1.6762536873156342,29,0.00020605454054279466,-0.16255914616337522,0.02519780667430608,0.0001030272702713973,1743,7915,8136,6819,4.754080449532299,2.406659140027368,1.7320508075688825,-1.732050807568879,-1.696100575253464
10,1.7025652877282182,31,0.0001967601164599813,-0.1630842420165091,0.027250086433238282,9.838005822999064e-05,1798,8379,8654,7367,4.947802700061457,2.5987027332872956,1.9365286232290146,1.7320508075688839,-1.7320508075688785
11,1.64872120955207,32,0.00023300186681063733,-0.14238838677215643,0.021723917951475415,0.0001165009334053187,1638,6876,7077,5834,4.321447540080197,2.7107151584813565,2.2066562614668475,1.7320508075688776,-1.7320508075688759
12,1.6346650765255417,25,0.00032498311660547553,-0.16186802371652842,0.017554504540337926,0.00016249155830273774,1175,4922,5031,4112,3.0451705561978066,2.488349604291333,2.080083823051906,-1.6903263835515971,-1.346246337170282
13,1.625520110957004,24,0.00037584280022127253,-0.17277780113491095,0.01714317297213446,0.00018792140011063632,1023,4233,4326,3516,2.766054098735946,2.466820290478039,1.7720290019648721,-1.4995538204539192,-1.4995538204539192
14,1.618424496205182,23,0.0004236713340851262,-0.17742934178315295,0.01642066596475214,0.00021183566704256307,922,3733,3821,3092,2.648757191622468,2.4891585802466065,1.6632519387714673,-1.519393030474428,1.477616501769358
15,1.608793686583991,18,0.0004535646142046775,-0.1860020971958814,0.01570115602753887,0.00022678230710233873,869,3493,3548,2854,2.458005178843674,1.4422495703074094,1.4422495703074092,-1.414213562373095,1.414213562373095
16,1.6023391812865497,21,0.00046865726273370863,-0.1893204196291505,0.01422287122332688,0.0002343286313668543,840,3359,3420,2740,2.473293158006981,-2.199438297050867,2.0000000000000027,1.4422495703074074,1.4142135623730976
17,1.6020738820479585,19,0.0005193108207610886,-0.19984933305008853,0.01371081753067638,0.00025965541038054435,762,3022,3086,2472,2.061524991747309,2.011538833240727,-1.936525230163381,1.6137300754312451,-1.4142135623730965
18,1.5789473684210527,19,0.0005733287467033597,-0.19700537552531108,0.01713784770626804,0.00028666437335167987,704,2715,2755,2175,2.1544346900318856,1.9999999999999962,-1.4142135623730931,1.4142135623730931,1.259921049894876
19,1.5662745098039215,19,0.0006144662651251163,-0.190502895000934,0.01813332489627466,0.00030723313256255817,667,2507,2550,1997,2.154434690031885,1.8171205928321448,-1.4142135623730965,1.4142135623730943,1.2599210498948732
20,1.5575657894736843,19,0.0006407099092857607,-0.1884666443922732,0.015988974493887944,0.00032035495464288033,648,2390,2432,1894,1.8171205928321386,1.709975946676701,1.4655712318767673,1.4142135623730976,-1.4142135623730951
21,1.5515151515151515,18,0.0006719424649264408,-0.19060983581064578,0.015348615615782144,0.00033597123246322034,624,2270,2310,1792,1.8171205928321368,1.5874010519682002,1.465571231876769,1.4422495703074083,1.000000000000002
22,1.5406654343807764,19,0.0007122817542213482,-0.19008985671037473,0.012070132720067328,0.00035614087711067415,590,2136,2164,1667,1.7099759466766946,1.4655712318767709,1.2599210498948756,1.2599210498948734,1.0000000000000009
