Subgraph 1,Subgraph 2,Subgraph 3,Subgraph 4
34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348563,8853,71938948,196,8,6224,1362107,2061485292,243,177,60,385,13,52,9,11,3,2,20,0,5
528782,94416,134192020,9780,20,11876,20058929,24493265555,474,526,840,3411275,1791,7084,1770,1220,21,17,27,0,5
614478,165689,165237360,53372,108,149412,37297338,32306872665,19530,14450,5720,20482285,1923,7612,39381,27214,180,123,27,75,5
619818,185937,165372252,53628,108,198300,40976238,32312111952,19965,14963,6612,20489490,1924,7616,39381,27214,231,157,27,75,5
704911,228762,200878140,62572,112,247360,53467786,41874340014,25326,19022,8552,25567675,6053,24132,44034,30531,267,193,35,75,5
771557,279296,228245540,68316,112,277304,66585737,49621026669,31680,23627,10028,29065335,6318,25192,45948,31922,282,203,35,75,5
849364,391492,263218540,83280,136,389884,98348056,60021471790,35136,27191,15068,37281700,7063,28172,61314,42646,300,218,37,95,5
175553,136962,16958132,14176,56,394084,8312599,1409441967,27582,19429,4164,2111685,4913,18712,9573,6567,456,394,70,50,0
143795,221590,9445228,11684,72,828048,13127421,517191556,257613,173859,8468,1025925,10652,41268,12054,8106,693,672,325,100,50
156239,320414,11303624,23316,236,1082744,24587291,641243865,755409,508741,20540,2441615,23846,93404,52608,35512,1431,1719,1040,825,150
188701,418297,16184396,30876,380,1273136,38699705,1090112499,1257927,845353,26940,3909775,35311,139004,100230,67335,1743,2422,1650,1820,200
169845,430389,15111176,30864,380,1242264,42214407,1105086999,1350747,907274,27104,4124910,40164,158616,104829,70391,1743,2695,1847,1820,200
178870,453208,17072900,32612,384,1203124,46282474,1313432912,1414779,950890,30816,4621270,44154,174816,108981,73184,2091,2969,2105,1820,265
153096,359799,13856292,29736,384,1056780,36016593,1013957172,1315956,882642,21352,3943465,30638,121352,104046,69784,2040,2320,1500,1820,265
98724,196632,7656504,16300,120,527616,16538640,488732764,436242,294154,13304,1852090,18248,72772,25515,17360,426,959,850,280,35
64599,105462,4585008,7376,16,373440,7167324,263560161,58383,40430,6032,788430,16986,67704,1968,1482,27,882,791,5,0
39583,46633,2102692,1412,4,179720,2346686,91307449,6300,4518,1272,104645,6481,25924,12,18,3,260,302,0,0
26272,19055,1002236,636,4,127292,685382,31929586,828,712,640,32470,4992,19968,12,13,3,260,252,0,0
30576,38823,1250296,528,4,147808,1606039,43797398,393,376,456,34580,3798,14632,15,10,3,113,74,0,0
53832,133252,2517432,48,4,279140,8531306,96485499,39,413,1548,60,8661,33024,15,10,3,275,182,0,0
69532,170359,3905952,5036,32,317716,12598462,174711752,230574,154940,4896,424145,8211,31404,5370,3585,453,530,237,20,15
84552,179947,5124492,10260,96,401724,14411124,244065207,448992,301012,6736,932135,12517,48908,19224,12871,1488,1391,531,175,105
91211,187416,5840464,13792,156,418704,15676089,295089232,609012,408141,8532,1318770,9017,35148,33345,22355,1632,1283,390,420,115
112919,234294,8607488,22032,276,543168,21940596,521508556,957615,641929,14076,2479950,14503,57132,66669,44856,1929,1682,629,1100,185
118006,233154,9281296,27908,436,525868,22411852,577833020,1213197,812688,15560,3221515,13639,53936,107469,72206,2178,1842,570,2275,310
105898,205811,8291308,26644,436,373980,18794763,519775497,1005357,673875,14548,3003205,8209,32476,100212,67368,1887,1429,354,2275,295
84921,123374,7859332,15832,76,337212,10178604,553690799,73893,51651,9556,2125785,12099,47976,13293,9352,267,538,455,100,105
62535,86971,4850668,12480,52,250044,6100263,289395603,18792,14493,7860,1445265,8456,33644,7440,5440,93,314,348,50,65
56605,70731,4269916,9016,24,216516,4761471,244262563,7707,6470,5328,1003245,5131,20384,3279,2456,39,131,175,5,30
62781,133635,4345812,10316,68,282704,9141278,241417798,207390,140055,7180,1021445,7719,30196,11871,8109,447,496,507,100,50
70198,191863,4459556,11120,92,396532,13818865,224291433,387273,260307,8500,1036985,12588,49312,18267,12333,777,908,780,175,60
78276,219690,5409204,12968,120,390084,16594830,296411936,482085,323886,9984,1291615,12228,48072,25212,16978,954,1008,883,280,70
76788,213843,5029600,11588,92,412412,15854720,264010508,419337,281836,9112,1126370,12704,49796,18945,12785,912,998,800,175,60
78865,218083,5294148,11400,68,490328,16553222,284118695,374082,251658,9080,1152545,15617,61468,13608,9297,1062,1173,890,100,30
89270,241615,6636368,16232,124,537252,19645053,392377185,534819,359665,12476,1785710,19132,75488,26814,18256,1533,1634,1163,280,85
92808,237746,7076200,21432,192,395120,20423168,425981407,688092,462800,16288,2407060,17639,69996,42960,29365,1725,1750,1050,600,120
76851,170471,6159184,19296,160,246156,13435098,390787446,342267,231954,15104,2222275,12990,51720,29781,20589,1494,1503,613,420,135
67247,134230,5452024,13308,48,226848,9777318,341979319,87753,61333,11324,1576230,14767,58828,7836,5729,306,864,595,50,40
69656,127517,5777752,19496,136,230488,9401782,368673530,127845,88900,14680,2327995,14506,57564,21570,15310,1146,1394,560,280,230
68443,128093,5693752,16180,76,231580,9508693,362111412,114150,79453,13412,1924190,10485,41360,12609,9076,417,638,405,100,100
60337,113138,4610996,14336,80,214312,7791607,272712626,102249,71186,12080,1575835,6581,25864,12330,8795,405,438,257,100,100
85035,172277,7539072,25112,292,445968,13730148,519192979,360720,245271,19164,3100485,25842,103088,54597,37448,1605,2399,1556,1100,305
