Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,1.7592752372735116,13,0.0007592901326169666,-0.2118678658386708,0.018974332976865533,0.0003796450663084833,387,2282,2318,2039,2.6336504137445296,-1.3168252068722635,-1.3168252068722635,-1.0000000000000009,1.0000000000000009
3,1.7817028985507246,10,0.0008072962838924898,-0.21313712466510928,0.01955376259370535,0.00040364814194624485,336,2178,2208,1967,2.3736498222558176,-1.1868249111279066,-1.1868249111279066,1.000000000000001,-1.0000000000000009
4,1.7540322580645162,8,0.0008845346737592114,-0.2318841250670853,0.017305387130374193,0.0004422673368796057,327,1963,1984,1740,2.086745339882663,-1.0433726699413333,-1.0433726699413333,1.0000000000000009,1.0000000000000009
5,1.7667364016736402,9,0.000924508844413208,-0.23743703872788693,0.021095158468396154,0.00046225442220660393,308,1893,1912,1689,1.9999999999999991,-1.0000000000000004,-1.0000000000000004,1.0000000000000002,1.0000000000000002
6,1.7579957356076759,9,0.0009375977256574272,-0.22916827915049962,0.019190051449168,0.00046879886282871357,304,1859,1876,1649,1.9041608591349186,-1.0000000000000004,1.0000000000000002,-1.0000000000000002,1.0
7,1.8472449536279323,9,0.001008321481237954,-0.3249766168800112,0.04850030680586092,0.0005041607406189772,277,1758,1833,1693,3.1762476413726475,1.996211445361119,-1.5880955729598063,-1.5880955729598063,1.0000000000000009
8,1.8293431553100061,9,0.001123675156824328,-0.31095163910044016,0.045959404521087446,0.000561837578412164,267,1553,1629,1490,3.2100374200509365,1.7878329477761448,-1.6049782329148372,-1.6049782329148372,1.414213562373097
9,1.8345370978332238,9,0.0012053463192071116,-0.32029243138968916,0.04504346618272367,0.0006026731596035558,244,1455,1523,1397,3.109780830510425,-1.5548904152552145,-1.5548904152552145,1.4303130746383055,1.4142135623730945
10,1.8213296398891967,9,0.001262182702625916,-0.3176513182074806,0.04277563892442406,0.000631091351312958,236,1372,1444,1315,3.1151102920814355,-1.5575551460407224,-1.5575551460407224,1.5565444338088001,-1.4142135623730958
11,1.8151373074346953,9,0.0012165799647685625,-0.31723721472841254,0.03784404558096831,0.0006082899823842813,245,1421,1493,1355,3.12708510491322,-1.563785525065903,-1.563785525065903,1.5324215292386936,1.0000000000000022
12,1.8587786259541985,12,0.0011831818115558234,-0.3307452321131458,0.047036732010508134,0.0005915909057779117,251,1477,1572,1461,3.792025216589896,-1.8960712850992454,-1.8960712850992454,1.3852786278683655,-1.0000000000000007
13,1.8411507191994998,12,0.0011521593987481227,-0.3337986528589834,0.04192718169590812,0.0005760796993740612,250,1512,1599,1472,3.69454674385148,-1.8464347096737046,-1.8464347096737046,1.6396416583334321,-1.0000000000000009
14,1.8528470889315418,14,0.0011862017214670562,-0.30425776714681074,0.04775854721010924,0.0005931008607335281,254,1474,1563,1448,3.871284916382664,-1.925396332440632,-1.925396332440632,1.6078669699866188,-1.000000000000001
15,1.967005076142132,18,0.0012488921118362741,-0.3216040797192553,0.08957601810592127,0.0006244460559181372,217,1417,1576,1550,4.960176065063014,-2.371168572210258,-2.371168572210258,2.0472651328395095,-1.0296993936171104
16,1.9636363636363636,19,0.0011163367615897465,-0.3005176549776539,0.0826116883669269,0.0005581683807948731,227,1599,1760,1728,4.991705263210976,-2.3776320026911875,-2.3776320026911875,2.1677560706975165,-1.1058993920201337
17,2.069151809832523,19,0.0011184604377473095,-0.3517085500274656,0.1315234021668452,0.0005592302188736548,233,1587,1851,1915,6.0706120132976995,-2.9123916980429394,-2.9123916980429394,2.16659039284772,-1.103457255360932
18,2.077720207253886,19,0.0010770970488615276,-0.36136755849740426,0.1364790405816299,0.0005385485244307636,239,1644,1930,2005,6.146504757922628,-2.9426565873603647,-2.9426565873603647,2.4151700577572743,-1.414213562373096
19,2.028727092620109,17,0.0010053157049653664,-0.3591342546147246,0.09507758311438039,0.0005026578524826831,258,1761,2019,2048,5.39837857743316,-2.4978340404703068,-2.4978340404703068,2.3815845033032113,1.4142135623730994
20,2.066355140186916,17,0.000966037933701223,-0.36683748931150056,0.1150047870269084,0.0004830189668506115,271,1835,2140,2211,5.83804653310677,-2.7623201708981218,-2.7623201708981218,2.2574461239705084,1.4142135623731005
21,2.0515222482435598,16,0.0009613506317917338,-0.3588622914124962,0.10004342507147333,0.0004806753158958668,266,1863,2135,2190,5.626638057463473,-2.639970856634599,-2.639970856634599,2.2570105386354244,-1.4142135623730956
22,1.9597000937207123,15,0.0009187529740837846,-0.34490063866321946,0.07125000218270193,0.0004593764870418922,305,1932,2134,2091,4.872819444159944,-2.322506085833203,-2.322506085833203,2.2058797851480487,-1.4142135623730958
23,1.9130009775171066,12,0.0009354528007418616,-0.37751491844200613,0.054194913324618815,0.0004677264003709307,278,1931,2046,1957,4.143210501459474,-2.071606980346046,-2.071606980346046,1.7000862442735465,1.4142135623730978
24,1.9177648919346337,13,0.0010114793733832456,-0.331182426567438,0.059400679519234716,0.0005057396866916228,268,1778,1897,1819,4.18161263463879,-2.0907962782443286,-2.0907962782443286,1.7189673568160104,1.4142135623730963
25,1.8954177897574125,13,0.001022339692425789,-0.3140093325643303,0.05404304892084219,0.0005111698462128944,264,1753,1855,1758,4.043573233507168,-2.0217887988010865,-2.0217887988010865,1.5767199296304222,1.414213562373099
26,1.8800232964472918,15,0.001095584671589331,-0.29339790220243267,0.04926595617392044,0.0005477923357946655,248,1629,1717,1614,3.781522322602097,-1.890765143895646,-1.890765143895646,1.4354084804020477,1.414213562373098
27,1.811272957568081,14,0.001147828236735159,-0.26526513788085354,0.024088659441885353,0.0005739141183675795,243,1535,1579,1430,2.302133831450406,1.4303857232831996,1.4142135623730967,-1.414213562373095,-1.1510759781264808
28,1.8468834688346885,13,0.001252124385650636,-0.2863407795394593,0.03776433863737424,0.000626062192825318,234,1424,1476,1363,3.1851511533084587,-1.5769505915553266,-1.5769505915553266,1.0000000000000013,1.0000000000000004
