Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
493.0,29.0,427.0,6.0,22.0,7.0
446.0,27.0,390.0,7.0,16.0,6.0
407.0,49.0,350.0,10.0,34.0,6.0
407.0,245.0,348.0,14.0,224.0,11.0
612.0,14.0,555.0,2.0,12.0,3.0
550.0,12.0,494.0,3.0,6.0,4.0
507.0,17.0,455.0,4.0,10.0,8.0
488.0,17.0,439.0,5.0,8.0,5.0
474.0,34.0,426.0,9.0,22.0,2.0
456.0,132.0,407.0,5.0,124.0,6.0
344.0,33.0,287.0,8.0,19.0,4.0
364.0,31.0,300.0,8.0,16.0,4.0
385.0,45.0,311.0,14.0,24.0,11.0
410.0,33.0,337.0,8.0,23.0,6.0
430.0,30.0,356.0,8.0,17.0,2.0
422.0,22.0,351.0,8.0,9.0,6.0
308.0,25.0,236.0,8.0,18.0,10.0
308.0,25.0,244.0,5.0,20.0,7.0
307.0,23.0,243.0,7.0,13.0,11.0
283.0,27.0,233.0,8.0,16.0,4.0
277.0,18.0,224.0,6.0,10.0,7.0
263.0,21.0,225.0,7.0,12.0,2.0
251.0,43.0,219.0,32.0,12.0,3.0
265.0,20.0,231.0,5.0,14.0,4.0
250.0,21.0,215.0,4.0,14.0,8.0
244.0,10.0,212.0,3.0,6.0,5.0
229.0,21.0,199.0,4.0,15.0,5.0
252.0,50.0,205.0,15.0,32.0,11.0
294.0,71.0,245.0,14.0,52.0,13.0
336.0,34.0,284.0,10.0,20.0,8.0
368.0,76.0,304.0,21.0,42.0,17.0
465.0,256.0,385.0,94.0,106.0,22.0
729.0,278.0,597.0,97.0,132.0,34.0
990.0,102.0,845.0,30.0,58.0,20.0
1049.0,98.0,902.0,29.0,60.0,21.0
1081.0,110.0,936.0,39.0,55.0,17.0
1168.0,107.0,1007.0,30.0,71.0,26.0
1205.0,66.0,1065.0,18.0,46.0,24.0
1056.0,109.0,935.0,29.0,76.0,32.0
914.0,122.0,809.0,35.0,78.0,44.0
993.0,254.0,878.0,63.0,190.0,86.0
1160.0,262.0,1099.0,68.0,198.0,61.0
1299.0,26.0,1310.0,12.0,4.0,0.0
1192.0,39.0,1183.0,17.0,6.0,9.0
1140.0,28.0,1115.0,11.0,9.0,1.0
1040.0,44.0,989.0,21.0,2.0,8.0
944.0,51.0,850.0,22.0,34.0,14.0
767.0,92.0,575.0,26.0,44.0,31.0
659.0,219.0,336.0,74.0,83.0,31.0
918.0,135.0,517.0,56.0,30.0,13.0
1055.0,136.0,590.0,56.0,28.0,8.0
1208.0,128.0,667.0,53.0,25.0,14.0
1360.0,217.0,741.0,90.0,75.0,20.0
1533.0,150.0,859.0,42.0,72.0,11.0
