Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.7362503798237618,14,0.0005277356777579823,-0.18064354161305132,0.05267784875093594,0.00026386783887899116,643,3121,3291,2857,4.503333462958002,-1.7320508075688805,1.732050807568876,-1.2547085994406504,-1.2547085994406504
1,1.7555303460011344,14,0.0004980227931918112,-0.18544777805426493,0.05444665769897637,0.0002490113965959056,669,3334,3526,3095,4.9246946594375505,-2.6577337096581877,-1.7320508075688792,1.7320508075688785,-1.0939635595959307
2,1.7660689655172415,16,0.0004873258734870975,-0.19171547074658907,0.055966586736664936,0.00024366293674354876,682,3415,3625,3201,5.173109736787657,-2.8916689535367657,-1.7320508075688816,1.7320508075688785,-1.092814836440012
3,1.7785977859778597,16,0.0004689158412807435,-0.19658494700676857,0.05665452775748904,0.0002344579206403717,698,3571,3794,3374,5.30876494299781,-2.8813340841042834,-2.0000000000000027,2.000000000000001,-1.184039302550718
4,1.8027626084163186,16,0.0005792938973060149,-0.22630978863571907,0.05165881376917609,0.0002896469486530075,539,2930,3113,2806,5.505634887205581,-4.0986092796606055,-1.4142135623730987,1.4142135623730951,1.0092538907138917
5,1.822635135135135,15,0.0007700190684981558,-0.24153790185327742,0.05033000902010645,0.000385009534249078,407,2220,2368,2158,5.506058089090542,-4.520822998057531,-1.003823671994062,1.0020001115195112,1.0000000000000027
6,1.7844488188976377,12,0.0008786060161977538,-0.24890314304799932,0.040649814876190064,0.00043930300809887687,365,1907,2032,1813,5.119828007589716,-4.185958833044283,-1.0051680212037228,1.0026789701266767,-1.0000000000000049
7,1.7721518987341771,10,0.0009758545697875427,-0.2565688804586774,0.04072674894817927,0.00048792728489377126,328,1694,1817,1610,5.12601158271154,-4.154279920643189,-1.0081548244524572,1.001865247761191,1.0000000000000038
8,1.755248950209958,11,0.001053570798445353,-0.25992097598587277,0.03669298638549584,0.0005267853992226765,307,1562,1667,1463,4.766093967380638,-3.858252720614484,-1.0116555630129527,1.0027151470963451,1.0000000000000027
9,1.772007599746675,11,0.0011229452469877536,-0.2685662783773873,0.038451530794945864,0.0005614726234938768,279,1478,1579,1399,4.7622815782154095,-4.008689658520602,-1.0117609207404774,1.004806202320358,-1.0000000000000018
10,1.7594086021505377,11,0.0011831934109956539,-0.2666803104790769,0.04325963623703399,0.000591596705497827,272,1390,1488,1309,4.611211348771095,-3.7904000741651016,1.0000000000000036,1.0000000000000027,-1.0000000000000024
11,1.7552498189717596,10,0.0012719201586751884,-0.26355299522174896,0.04565464634154491,0.0006359600793375941,257,1289,1381,1212,4.194467753317025,-3.1267446823647846,1.000000000007262,1.0000000000000027,-1.0000000000000016
12,1.7201986754966887,10,0.0014251853152416642,-0.26364596779775606,0.03865586985224876,0.0007125926576208321,234,1138,1208,1039,3.554221738717151,-2.298827132731271,-1.0895686271306853,-1.0000000000000016,-1.0000000000000013
13,1.70223752151463,9,0.0014661821890737557,-0.2630538850556977,0.028424333851711454,0.0007330910945368776,226,1107,1162,989,3.2973640951214804,-2.302474059380664,1.0000000021019235,1.0000000000000018,-1.0000000000000002
14,1.6485981308411215,10,0.0015421872131348192,-0.24704373073112706,0.022140251378648786,0.0007710936065674095,227,1028,1070,882,2.843606133408061,-1.7952730315662904,1.0000000017286024,1.0000000000000013,-1.0000000000000009
15,1.6136136136136137,9,0.0016168473082300739,-0.23642166109452456,0.01504341007264984,0.0008084236541150368,226,966,999,806,2.4891419353322433,-1.8846320653054123,1.0000000000000022,1.0000000000000016,-1.0000000000000013
16,1.5781584582441113,9,0.0016914881653205913,-0.2278655106465664,0.015346936984979192,0.0008457440826602954,225,906,934,737,2.3448511776916465,-1.3891303417939644,1.0000000000000004,1.0,1.0
17,1.6021739130434782,8,0.001743388371102805,-0.2381760416998261,0.015579916359407094,0.0008716941855514027,217,886,920,737,2.8406464030835057,-2.3671945000160055,-1.0000000000000013,1.000000000000001,-1.000000000000001
18,1.6091428571428572,8,0.0018411245505067012,-0.24774265278929622,0.01638117269076305,0.0009205622752533508,206,841,875,704,2.9573381966097307,-2.5337865683013683,-1.0000000000000002,-1.0000000000000002,1.0
19,1.6257449344457688,8,0.001940029754708555,-0.2505972615796774,0.019467908677425046,0.0009700148773542773,196,800,839,682,3.041151658339908,-2.5698594466467055,-1.0000000000000007,1.0000000000000004,-1.0000000000000002
20,1.6004842615012107,7,0.0019399809230317708,-0.25215566817977625,0.01977431690983067,0.0009699904615158853,200,789,826,661,2.9230712925298983,-2.3962070005067266,1.0000000000000007,1.0000000000000004,-1.0000000000000004
21,1.722905027932961,8,0.0019271868321397768,-0.31582827136059205,0.020484321084202305,0.0009635934160698886,166,853,895,771,3.081309666960146,-2.5473959907187718,-1.000000000000001,1.0000000000000009,1.0000000000000009
22,1.7735449735449735,7,0.001878755268585777,-0.3311083800924301,0.027161021780264187,0.0009393776342928885,160,895,945,838,3.7852165561872844,-3.383906202070154,1.000000000000001,-1.0000000000000009,-1.0000000000000009
23,1.7897959183673469,9,0.0018281878635008652,-0.32714699847318496,0.030832003605283397,0.0009140939317504326,159,926,980,877,3.726535168023098,-3.104391218290378,1.0000000000000004,1.0000000000000002,1.0000000000000002
24,1.8050251256281407,8,0.0018159206495252924,-0.32998995163259487,0.0317078925888253,0.0009079603247626462,146,947,995,898,3.2403959996996385,-2.4076674023033533,1.0000000000000004,-1.0000000000000004,1.0
25,1.794392523364486,8,0.001865272893310276,-0.33416762821421747,0.04037719950253077,0.0009326364466551383,146,912,963,864,3.12325177276587,-1.4494334120436687,-1.4494334120436687,1.0000000000000018,1.000000000000001
26,1.7938775510204081,9,0.001832357049050468,-0.32331684766870383,0.04205758628083302,0.000916178524525234,149,931,980,879,3.030203321168591,-1.289669296051445,-1.289669296051445,-1.000000000000002,-1.0000000000000007
27,1.812889812889813,9,0.0018864618240268607,-0.3258214102533248,0.04210255562721327,0.0009432309120134303,142,906,962,872,2.9939821446785375,-1.0579924234465907,-1.0579924234465907,-1.0000000000000009,1.0000000000000007
28,1.805045871559633,11,0.0020723833198158814,-0.27326438501846523,0.041287438539919535,0.001036191659907941,137,816,872,787,2.88779484686082,-1.2892892889408063,1.0000000000000018,-1.0000000000000013,-1.0000000000000009
29,1.7809867629362215,10,0.002145767184260508,-0.2658532652085542,0.04092086460677291,0.0010728835921302539,135,782,831,740,2.7151075314630138,-1.0000000000000016,1.0000000000000013,1.0000000000000013,1.0000000000000009
30,1.7410604192355117,10,0.0021494573076981625,-0.270457547258924,0.02610882041413412,0.0010747286538490813,138,773,811,706,2.7053717851142074,-1.7354386241532487,1.0000000000000009,0.9999999999999998,-0.9999999999999998
31,1.7236842105263157,8,0.0022709936897579923,-0.26494128114641236,0.018202014243666836,0.001135496844878996,128,736,760,655,2.61603028446697,-2.0155668030421823,-1.0000000000000004,1.0,0.9999999999999998
