Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,1.8795620437956204,14,0.0034361280508146625,-0.35503980477894004,0.017391969958820235,0.0017180640254073312,76,518,548,515,4.49692939245244,-4.446923140107519,-1.4142135623730945,1.4142135623730936,1.0000000000000007
3,1.7057793345008756,11,0.002992595323685747,-0.3869128677652837,0.013426915406430345,0.0014962976618428734,98,563,571,487,-1.4142135623730951,1.414213562373095,1.0,-1.0,1.0
4,1.7751277683134583,10,0.003029228273572454,-0.4328316800625521,0.009653681368748125,0.0015146141367862272,79,580,587,521,1.0,-1.0,1.0,-1.0,1.0
5,1.790625,10,0.002802230046948357,-0.4420441834290736,0.013802189892247626,0.0014011150234741784,82,633,640,573,1.0,-1.0,1.0,-1.0,1.0
6,1.806547619047619,10,0.002692321339862323,-0.4099873687026515,0.019593354624046586,0.0013461606699311617,82,664,672,607,1.0,-1.0,1.0,-1.0,1.0
7,1.8409090909090908,10,0.0026186473554894603,-0.4084172761240641,0.024384582163679554,0.0013093236777447304,78,695,704,648,1.0,-1.0,1.0,-1.0,1.0
8,1.8362892223738063,9,0.002508591833843997,-0.38220358442692975,0.020236566926804832,0.0012542959169219987,80,725,733,673,1.0,-1.0,1.0,-1.0,1.0
9,1.7943615257048093,8,0.0029806669862206133,-0.3235280972854018,0.012548462604956744,0.0014903334931103066,77,599,603,541,1.0,-1.0,1.0,-1.0,1.0
10,1.7809694793536803,7,0.003203182516823166,-0.3383510384979226,0.011490247382431061,0.0016015912584115832,76,554,557,496,1.0,-1.0,1.0,-1.0,1.0
11,1.7701149425287357,7,0.0033975334789419116,-0.31812884730251256,0.016092169810638785,0.0016987667394709556,78,519,522,462,1.0,-1.0,1.0,-1.0,1.0
12,1.7716701902748415,7,0.0037535385387178852,-0.3030583540533311,0.00930246475817721,0.0018767692693589422,69,471,473,419,1.0,-1.0,1.0,-1.0,1.0
13,1.7543859649122806,6,0.003855793329477539,-0.2739440248078344,0.005482540143356167,0.00192789666473877,69,455,456,400,1.0,-1.0,1.0,0.0,0.0
14,1.8312883435582823,7,0.002813038930197053,-0.5555860088978395,0.006901967825154647,0.0014065194650985271,68,651,652,597,1.0,-1.0,1.0,0.0,0.0
15,1.8274760383386581,6,0.002923961661341853,-0.5639005883671429,0.005857446303610962,0.0014619808306709265,65,625,626,572,1.0,-1.0,1.0,0.0,0.0
16,1.804270462633452,7,0.0032161683825908225,-0.5932423895288812,0.007117679713366563,0.0016080841912954117,60,562,562,507,1.0,0.0,0.0,0.0,0.0
17,1.8206106870229009,6,0.0034810911797761006,-0.5996116466508536,0.007633916027908418,0.0017405455898880505,52,524,524,477,0.0,0.0,0.0,0.0,0.0
18,1.80990099009901,6,0.0035910733930535907,-0.6118266893474145,0.00792118215071778,0.0017955366965267956,52,505,505,457,0.0,0.0,0.0,0.0,0.0
19,1.8070866141732282,6,0.0035642734007361515,-0.573937174839659,0.007874471104019702,0.0017821367003680753,54,508,508,459,0.0,0.0,0.0,0.0,0.0
20,1.8435374149659864,5,0.0031406088840987847,-0.618494119037868,0.003401583555006057,0.0015703044420493921,51,588,588,542,0.0,0.0,0.0,0.0,0.0
21,1.687002652519894,5,0.00448670918223376,-0.525199111787989,0.0,0.00224335459111688,60,377,377,318,0.0,0.0,0.0,0.0,0.0
22,1.660759493670886,5,0.004215125618454026,-0.5077080825321347,0.0,0.002107562809227013,69,395,395,328,0.0,0.0,0.0,0.0,0.0
23,1.6744186046511629,5,0.0039030736705155298,-0.4763801691375524,0.010853507977130987,0.0019515368352577655,76,429,430,360,1.0,-1.0,1.0,0.0,0.0
24,1.6884875846501128,5,0.0038201076575794407,-0.4714378021844981,0.01053492238833961,0.0019100538287897205,75,442,443,374,1.0,-1.0,1.0,1.0,0.0
