dataset,hidden_dim_1,hidden_dim_2,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,32,0.0001,500,3,0.6785714285714286,10939.413736979166
CollegeMsg,64,32,0.0001,750,3,0.6785714285714286,19229.527018229168
CollegeMsg,64,32,0.0001,1000,3,0.6785714285714286,24742.574869791668
CollegeMsg,64,32,0.001,500,3,0.6785714285714286,41018.389322916664
CollegeMsg,64,32,0.001,750,3,0.7029914529914529,40960.888020833336
CollegeMsg,64,32,0.001,1000,3,0.6785714285714286,40938.263020833336
CollegeMsg,64,64,0.0001,500,3,0.6785714285714286,18485.667317708332
CollegeMsg,64,64,0.0001,750,3,0.6785714285714286,26266.994791666668
CollegeMsg,64,64,0.0001,1000,3,0.65,31887.91796875
CollegeMsg,64,64,0.001,500,3,0.644927536231884,11209.109700520834
CollegeMsg,64,64,0.001,750,3,0.5757575757575758,11585.9951171875
CollegeMsg,64,64,0.001,1000,3,0.6923076923076923,30884.501953125
CollegeMsg,64,128,0.0001,500,3,0.7155172413793104,25705.311197916668
CollegeMsg,64,128,0.0001,750,3,0.7016129032258064,33444.795572916664
CollegeMsg,64,128,0.0001,1000,3,0.7016129032258064,37543.39453125
CollegeMsg,64,128,0.001,500,3,0.6785714285714286,40970.604166666664
CollegeMsg,64,128,0.001,750,3,0.6785714285714286,40922.890625
CollegeMsg,64,128,0.001,1000,3,0.6785714285714286,40900.12890625
CollegeMsg,64,256,0.0001,500,3,0.7016129032258064,32653.90625
CollegeMsg,64,256,0.0001,750,3,0.7016129032258064,38425.67578125
CollegeMsg,64,256,0.0001,1000,3,0.65,40428.1875
CollegeMsg,64,256,0.001,500,3,0.6785714285714286,40966.404947916664
CollegeMsg,64,256,0.001,750,3,0.6785714285714286,40954.2265625
CollegeMsg,64,256,0.001,1000,3,0.6785714285714286,40951.875
CollegeMsg,128,32,0.0001,500,3,0.6785714285714286,10899.20703125
CollegeMsg,128,32,0.0001,750,3,0.6785714285714286,19205.520182291668
CollegeMsg,128,32,0.0001,1000,3,0.6785714285714286,24688.964192708332
CollegeMsg,128,32,0.001,500,3,0.6785714285714286,41015.354166666664
CollegeMsg,128,32,0.001,750,3,0.7029914529914529,40972.83203125
CollegeMsg,128,32,0.001,1000,3,0.7029914529914529,40939.033854166664
CollegeMsg,128,64,0.0001,500,3,0.6785714285714286,18470.616861979168
CollegeMsg,128,64,0.0001,750,3,0.6785714285714286,26041.297526041668
CollegeMsg,128,64,0.0001,1000,3,0.6785714285714286,31707.436197916668
CollegeMsg,128,64,0.001,500,3,0.6785714285714286,40994.34375
CollegeMsg,128,64,0.001,750,3,0.6785714285714286,40934.96484375
CollegeMsg,128,64,0.001,1000,3,0.7029914529914529,40910.196614583336
CollegeMsg,128,128,0.0001,500,3,0.7016129032258064,25527.533203125
CollegeMsg,128,128,0.0001,750,3,0.7016129032258064,33312.0625
CollegeMsg,128,128,0.0001,1000,3,0.7155172413793104,37502.952473958336
CollegeMsg,128,128,0.001,500,3,0.6785714285714286,40977.348958333336
CollegeMsg,128,128,0.001,750,3,0.6785714285714286,40922.569010416664
CollegeMsg,128,128,0.001,1000,3,0.6785714285714286,40885.787760416664
CollegeMsg,128,256,0.0001,500,3,0.7016129032258064,33194.825520833336
CollegeMsg,128,256,0.0001,750,3,0.7016129032258064,38598.049479166664
CollegeMsg,128,256,0.0001,1000,3,0.7016129032258064,40415.015625
CollegeMsg,128,256,0.001,500,3,0.6785714285714286,40965.958333333336
CollegeMsg,128,256,0.001,750,3,0.6785714285714286,40959.8125
CollegeMsg,128,256,0.001,1000,3,0.6785714285714286,40950.07421875
CollegeMsg,256,32,0.0001,500,3,0.6785714285714286,10706.166829427084
CollegeMsg,256,32,0.0001,750,3,0.6785714285714286,19180.08984375
CollegeMsg,256,32,0.0001,1000,3,0.6785714285714286,24798.366536458332
CollegeMsg,256,32,0.001,500,3,0.7029914529914529,41020.614583333336
CollegeMsg,256,32,0.001,750,3,0.7029914529914529,40959.923177083336
CollegeMsg,256,32,0.001,1000,3,0.6785714285714286,40942.328125
CollegeMsg,256,64,0.0001,500,3,0.6785714285714286,18486.540364583332
CollegeMsg,256,64,0.0001,750,3,0.6785714285714286,26133.546223958332
CollegeMsg,256,64,0.0001,1000,3,0.6785714285714286,31605.966796875
CollegeMsg,256,64,0.001,500,3,0.6785714285714286,40995.709635416664
CollegeMsg,256,64,0.001,750,3,0.7029914529914529,40934.802083333336
CollegeMsg,256,64,0.001,1000,3,0.6785714285714286,40908.81640625
CollegeMsg,256,128,0.0001,500,3,0.65,25758.009114583332
CollegeMsg,256,128,0.0001,750,3,0.7016129032258064,33006.9375
CollegeMsg,256,128,0.0001,1000,3,0.7016129032258064,37584.266927083336
CollegeMsg,256,128,0.001,500,3,0.6785714285714286,40977.509114583336
CollegeMsg,256,128,0.001,750,3,0.6785714285714286,40921.423177083336
CollegeMsg,256,128,0.001,1000,3,0.6785714285714286,40897.919270833336
CollegeMsg,256,256,0.0001,500,3,0.7016129032258064,32513.26953125
CollegeMsg,256,256,0.0001,750,3,0.7016129032258064,38574.24609375
CollegeMsg,256,256,0.0001,1000,3,0.7016129032258064,40422.545572916664
CollegeMsg,256,256,0.001,500,3,0.6785714285714286,40963.73828125
CollegeMsg,256,256,0.001,750,3,0.6785714285714286,40959.102864583336
CollegeMsg,256,256,0.001,1000,3,0.6785714285714286,40949.7578125
CollegeMsg,512,32,0.0001,500,3,0.6785714285714286,10740.766764322916
CollegeMsg,512,32,0.0001,750,3,0.6785714285714286,19255.552083333332
CollegeMsg,512,32,0.0001,1000,3,0.6785714285714286,24646.78125
CollegeMsg,512,32,0.001,500,3,0.7029914529914529,41014.265625
CollegeMsg,512,32,0.001,750,3,0.6785714285714286,40969.8828125
CollegeMsg,512,32,0.001,1000,3,0.6785714285714286,40936.5078125
CollegeMsg,512,64,0.0001,500,3,0.6785714285714286,18531.848958333332
CollegeMsg,512,64,0.0001,750,3,0.6785714285714286,26313.80859375
CollegeMsg,512,64,0.0001,1000,3,0.65,31975.088541666668
CollegeMsg,512,64,0.001,500,3,0.6785714285714286,40988.653645833336
CollegeMsg,512,64,0.001,750,3,0.6785714285714286,40939.252604166664
CollegeMsg,512,64,0.001,1000,3,0.6785714285714286,40911.31640625
CollegeMsg,512,128,0.0001,500,3,0.7016129032258064,26010.740234375
CollegeMsg,512,128,0.0001,750,3,0.65,33273.302083333336
CollegeMsg,512,128,0.0001,1000,3,0.7016129032258064,37675.458333333336
CollegeMsg,512,128,0.001,500,3,0.6785714285714286,40967.286458333336
CollegeMsg,512,128,0.001,750,3,0.6785714285714286,40921.368489583336
CollegeMsg,512,128,0.001,1000,3,0.6785714285714286,40895.8125
CollegeMsg,512,256,0.0001,500,3,0.7016129032258064,32879.233072916664
CollegeMsg,512,256,0.0001,750,3,0.7016129032258064,38438.106770833336
CollegeMsg,512,256,0.0001,1000,3,0.7155172413793104,40404.32421875
CollegeMsg,512,256,0.001,500,3,0.6785714285714286,40964.302083333336
CollegeMsg,512,256,0.001,750,3,0.6785714285714286,40959.591145833336
CollegeMsg,512,256,0.001,1000,3,0.6785714285714286,40950.6171875
networkadex,64,32,0.0001,500,3,0.49245283018867925,182872.826171875
networkadex,64,32,0.0001,750,3,0.49245283018867925,411369.5078125
networkadex,64,32,0.0001,1000,3,0.5507246376811594,457688.21875
networkadex,64,32,0.001,500,3,0.5424242424242425,468085.3203125
networkadex,64,32,0.001,750,3,0.5488095238095239,469112.265625
networkadex,64,32,0.001,1000,3,0.4748549323017408,468658.9140625
networkadex,64,64,0.0001,500,3,0.49245283018867925,388010.2890625
networkadex,64,64,0.0001,750,3,0.4537037037037037,446315.65625
networkadex,64,64,0.0001,1000,3,0.5424242424242425,433736.5
networkadex,64,64,0.001,500,3,0.4748549323017408,468664.34375
networkadex,64,64,0.001,750,3,0.4915966386554621,468485.8984375
