Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.0769230769230769,2,0.04307692307692308,,0.0,0.021538461538461538,12,26,26,14,0.0,0.0,0.0,0.0,0.0
1,1.04,2,0.04333333333333333,,0.0,0.021666666666666667,12,25,25,13,0.0,0.0,0.0,0.0,0.0
2,1.0196078431372548,2,0.0203921568627451,,0.0,0.01019607843137255,25,51,51,26,0.0,0.0,0.0,0.0,0.0
3,1.0526315789473684,2,0.014035087719298251,,0.0,0.007017543859649123,36,76,76,40,0.0,0.0,0.0,0.0,0.0
4,1.054945054945055,2,0.01172161172161172,,0.0,0.005860805860805861,43,91,91,48,0.0,0.0,0.0,0.0,0.0
5,1.0679611650485437,3,0.010470207500475916,-inf,0.0,0.005235103750237959,48,103,103,55,0.0,0.0,0.0,0.0,0.0
6,1.0463576158940397,3,0.006975717439293601,,0.0,0.003487858719646799,72,151,151,79,0.0,0.0,0.0,0.0,0.0
7,1.052132701421801,3,0.005010155721056194,,0.0,0.0025050778605280976,100,211,211,111,0.0,0.0,0.0,0.0,0.0
8,1.0509803921568628,3,0.004137718079357727,-inf,0.0,0.0020688590396788636,121,255,255,134,0.0,0.0,0.0,0.0,0.0
9,1.0476190476190477,3,0.0035754916300991383,-0.04813640554261594,0.0,0.0017877458150495694,140,294,294,154,0.0,0.0,0.0,0.0,0.0
10,1.0457516339869282,2,0.0034286938819243547,0.10292980286743934,0.0,0.0017143469409621772,146,306,306,160,0.0,0.0,0.0,0.0,0.0
11,1.0485436893203883,3,0.003404362627663599,0.08119207648946755,0.0,0.0017021813138317992,147,309,309,162,0.0,0.0,0.0,0.0,0.0
12,1.0491803278688525,3,0.0034512510785159618,0.08069345746862834,0.0,0.001725625539257981,145,305,305,160,0.0,0.0,0.0,0.0,0.0
13,1.049429657794677,3,0.004005456709139987,0.08526645319387961,0.0,0.002002728354569994,125,263,263,138,0.0,0.0,0.0,0.0,0.0
14,1.0471698113207548,3,0.004962890101046233,0.0964449605460344,0.0,0.0024814450505231153,101,212,212,111,0.0,0.0,0.0,0.0,0.0
15,1.0454545454545454,3,0.005974025974025975,0.10635890745287911,0.0,0.0029870129870129872,84,176,176,92,0.0,0.0,0.0,0.0,0.0
16,1.0333333333333334,3,0.008683473389355741,,0.0,0.004341736694677871,58,120,120,62,0.0,0.0,0.0,0.0,0.0
17,1.0112359550561798,2,0.011491317671092956,,0.0,0.005745658835546476,44,89,89,45,0.0,0.0,0.0,0.0,0.0
18,1.0,1,0.015873015873015872,,0.0,0.007936507936507936,32,64,64,32,0.0,0.0,0.0,0.0,0.0
19,1.0,1,0.0196078431372549,,0.0,0.00980392156862745,26,52,52,26,0.0,0.0,0.0,0.0,0.0
20,1.0,1,0.020408163265306117,,0.0,0.01020408163265306,25,50,50,25,0.0,0.0,0.0,0.0,0.0
21,1.0,1,0.022222222222222227,,0.0,0.011111111111111112,23,46,46,23,0.0,0.0,0.0,0.0,0.0
22,1.0,1,0.023255813953488372,,0.0,0.011627906976744186,22,44,44,22,0.0,0.0,0.0,0.0,0.0
23,1.0232558139534884,2,0.024363233665559245,,0.0,0.012181616832779624,21,43,43,22,0.0,0.0,0.0,0.0,0.0
24,1.0196078431372548,2,0.0203921568627451,,0.0,0.01019607843137255,25,51,51,26,0.0,0.0,0.0,0.0,0.0
25,1.04,2,0.014054054054054058,,0.0,0.007027027027027027,36,75,75,39,0.0,0.0,0.0,0.0,0.0
26,1.5233545647558386,14,0.0008090040173955595,-0.17965898638020888,0.0074848806536704626,0.0004045020086977798,476,1875,1884,1435,1.0,-1.0,1.0,-1.0,1.0
27,1.5373737373737373,17,0.0005178086013384094,-0.14798784257366054,0.012628651166364175,0.00025890430066920466,754,2947,2970,2283,-1.4142135623730951,1.414213562373095,1.0000000036692547,1.0,-1.0
28,1.5707013574660633,21,0.0004443285311077972,-0.14016631902155371,0.02150131852198118,0.00022216426555389862,868,3498,3536,2777,-1.4142135623730951,1.414213562373095,1.324717957244746,1.0,-1.0
29,1.5738922791191297,21,0.00041769964944775203,-0.13984629542842342,0.02142833484175729,0.00020884982472387602,920,3728,3769,2966,1.4142135623730967,-1.414213562373094,1.3247179572447463,1.0000000000000018,1.0000000000000018
30,1.5808080808080809,21,0.00039929479181815636,-0.13795116179835268,0.02132068774727969,0.00019964739590907815,956,3916,3960,3130,-1.4142135623730951,1.414213562373095,1.324717957244746,1.0,-1.0
31,1.5897803247373448,22,0.00037969436941422135,-0.1361789773564506,0.021078466670552902,0.00018984718470711068,993,4139,4188,3329,-1.4142135623730951,1.414213562373095,1.324717957244746,1.0,-1.0
32,1.6077199281867145,22,0.00036087989409353867,-0.13553943299860938,0.02061862340802686,0.0001804399470467693,1028,4398,4456,3582,-1.4142135623730951,1.414213562373095,1.3247179572447454,1.0000000000000009,-1.0000000000000007
33,1.5363553392150897,18,0.0004675457514349025,-0.13493450396985932,0.018133442482034405,0.00023377287571745128,875,3238,3287,2525,1.6180339887498916,1.3247179572447432,-1.000000000000003,1.0000000000000016,-1.0000000000000013
34,1.5903712770297838,16,0.0006491311334815443,-0.18529148298055714,0.018639675709164784,0.00032456556674077217,610,2403,2451,1949,1.8830398013067162,1.3247179572447436,-1.2954443195735428,-1.0000000000000018,-1.0000000000000018
35,1.6370887337986042,13,0.000816503109126486,-0.22189377794721224,0.018232509703093272,0.0004082515545632429,464,1954,2006,1642,2.449580197826345,-1.4142135623730945,1.414213562373093,-1.1035658731271523,1.0000000000000024
36,1.7108825121819167,12,0.0009268052612036384,-0.25092112635019753,0.018471365839091536,0.00046340263060181926,373,1796,1847,1580,2.470942003984548,-1.194313689900682,1.000000000000001,-1.0000000000000009,1.0000000000000009
37,1.7079697498545665,12,0.0009941616704624953,-0.2620560662361106,0.01987452373359339,0.0004970808352312476,344,1673,1719,1468,2.4623492972707366,-1.2590445028045123,1.000000000000002,-1.0000000000000018,1.0000000000000009
38,1.726775956284153,12,0.0010490740925177115,-0.26421140861783254,0.020855990371865935,0.0005245370462588557,321,1590,1647,1422,2.5903523310964527,2.236067977499794,-2.236067977499793,-1.4296233854960627,1.0000000000000013
39,1.7018132975151108,12,0.0011436917322010154,-0.27525654514838627,0.020964890305919182,0.0005718458661005077,314,1431,1489,1267,-3.6055512754639896,3.6055512754639896,2.4526053744983822,-1.4819111616979106,-1.000000000000003
40,1.627906976744186,12,0.0012221523849430826,-0.23757244549605352,0.02364480715024853,0.0006110761924715413,326,1283,1333,1085,4.123105625617665,-4.123105625617659,2.1501639559093144,-1.129580009666581,-1.000000000000002
41,1.5372616984402079,12,0.0013332712041979253,-0.19080059024542673,0.01611099670346727,0.0006666356020989627,318,1124,1154,887,-3.316624790355399,3.316624790355399,1.908974861222303,-1.0000000000000009,1.0000000000000007
42,1.4740957966764419,11,0.001442363793225481,-0.16410430626066747,0.008500636526726122,0.0007211818966127406,307,1001,1023,754,3.4641016151377553,-3.464101615137755,1.189207115002721,-1.1892071150027208,1.0
43,1.4012219959266803,10,0.0014283608521169018,-0.13546449759415666,0.006717824233099182,0.0007141804260584507,328,965,982,688,-3.464101615137757,3.4641016151377553,-1.0,1.0,-1.0
44,1.4907597535934292,11,0.0015321271876602564,-0.19026523109770507,0.008482592215530976,0.0007660635938301281,292,948,974,726,4.242640687119286,-4.242640687119285,-1.189207115002722,1.1892071150027215,-1.0000000000000004
45,1.6335078534031413,11,0.0017122723830221612,-0.2248996429946661,0.007429568686113188,0.0008561361915110804,207,941,955,780,1.4953487812212205,-1.4953487812212203,1.0,-1.0,1.0
46,1.6748466257668713,12,0.0017142749496078518,-0.24275293577317592,0.008789497943981693,0.0008571374748039259,191,968,978,819,1.5337511687552037,-1.2837816658635373,1.0,-1.0,-0.12498475144583321
47,1.6884422110552764,12,0.0016986340151461535,-0.30015762030310733,0.010555637944127588,0.0008493170075730766,193,979,995,840,1.9584332948345025,-1.2927538158526188,-1.0000000000000004,-1.0,1.0
48,1.705179282868526,13,0.0017000790457313317,-0.31559558542999033,0.013117024271012967,0.0008500395228656659,186,988,1004,856,1.9584332948345,-1.2927538158526195,1.0000000000000009,1.0000000000000004,-1.0000000000000002
