number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_decay_factor,state
0,0.11574626660525071,2026-04-22 00:12:26.722849,2026-04-22 00:12:27.622475,0 days 00:00:00.899626,3.787305188000354,0.22574270634429405,0.4720284511701692,COMPLETE
1,0.15386600302824838,2026-04-22 00:12:27.622541,2026-04-22 00:12:28.105448,0 days 00:00:00.482907,3.84264979934989,5.0048889002914425,0.21099834335196122,COMPLETE
2,0.17041002378448034,2026-04-22 00:12:28.105481,2026-04-22 00:12:28.594192,0 days 00:00:00.488711,2.046029845158187,9.587832187263043,0.49164876349695175,COMPLETE
3,0.15959888300739908,2026-04-22 00:12:28.594226,2026-04-22 00:12:29.072022,0 days 00:00:00.477796,3.940024753897621,6.735415745499591,0.2293264881582403,COMPLETE
4,0.10611378772862369,2026-04-22 00:12:29.072057,2026-04-22 00:12:29.561435,0 days 00:00:00.489378,7.219808697984957,4.316299075874507,0.24184610985366672,COMPLETE
5,0.16624079509341042,2026-04-22 00:12:29.561468,2026-04-22 00:12:30.039477,0 days 00:00:00.478009,0.7310242602132189,5.6950632746862615,0.5469475352161104,COMPLETE
6,0.10351546552912891,2026-04-22 00:12:30.039509,2026-04-22 00:12:30.517631,0 days 00:00:00.478122,7.0259659975451925,3.2545942900058256,0.26477067197599746,COMPLETE
7,0.16890573718213803,2026-04-22 00:12:30.517665,2026-04-22 00:12:30.999103,0 days 00:00:00.481438,1.2979101996048736,9.458191311415808,0.6011369873080528,COMPLETE
8,0.11398407795588374,2026-04-22 00:12:30.999136,2026-04-22 00:12:31.471312,0 days 00:00:00.472176,9.10405521408176,8.244208102035078,0.49436251834910294,COMPLETE
9,0.1311745299238203,2026-04-22 00:12:31.471345,2026-04-22 00:12:31.943923,0 days 00:00:00.472578,7.421584903583154,7.909371900240351,0.4838044376881423,COMPLETE
10,0.16948573620897125,2026-04-22 00:12:31.943957,2026-04-22 00:12:32.433066,0 days 00:00:00.489109,2.2473628599552375,9.949488569127942,0.9991258241194805,COMPLETE
11,0.1688417421257718,2026-04-22 00:12:32.433100,2026-04-22 00:12:32.924200,0 days 00:00:00.491100,2.07300377598353,9.991860515860274,0.9308159087069042,COMPLETE
12,0.16839428468858206,2026-04-22 00:12:32.924233,2026-04-22 00:12:33.405224,0 days 00:00:00.480991,2.631078487994982,8.290417176696174,0.9880775209673436,COMPLETE
13,0.16649956386022613,2026-04-22 00:12:33.405257,2026-04-22 00:12:33.909454,0 days 00:00:00.504197,0.09016424218353869,9.884024346961313,0.7626599313473914,COMPLETE
14,0.026475271987637022,2026-04-22 00:12:33.909486,2026-04-22 00:12:34.377448,0 days 00:00:00.467962,5.4711176307905225,6.913336171671707,0.011536841780796558,COMPLETE
15,0.14652587725510774,2026-04-22 00:12:34.377482,2026-04-22 00:12:34.862831,0 days 00:00:00.485349,2.4718241958855027,2.2921038633884656,0.7387589349244288,COMPLETE
16,0.16192044709275072,2026-04-22 00:12:34.862864,2026-04-22 00:12:35.358052,0 days 00:00:00.495188,5.169498464530273,9.017837057554194,0.806803031116966,COMPLETE
17,0.16719515044513683,2026-04-22 00:12:35.358084,2026-04-22 00:12:35.861763,0 days 00:00:00.503679,1.6057236947138152,6.889318258444174,0.36569701493009543,COMPLETE
