model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.001,64,16,1,0,32,21,MLP,0.6585401998790401,0.6956316273946028,0.752161830663681,0.6413942989506681,0.5543156773931854,0.47247889781031144,0.6525764895330113,0.527970600244998,0.4916550764951321,0.42000259100919807,0.626453488372093,0.6290035587188612,0.511074328052337,0.5730113006869045,0.5519125683060109
GCN_binary_lr0.001,0.001,64,16,2,0,32,44,MLP,0.6440068990547464,0.7552807638278374,0.8096571332878537,0.6694805164181082,0.5356491966378223,0.5103045332505921,0.595459120903702,0.50553972776195,0.5008450704225352,0.6897266485296023,0.7737403100775194,0.7909252669039146,0.6391356542617047,0.6115259429446678,0.6133149361848913
GCN_binary_lr0.001,0.001,64,16,3,0,32,84,MLP,0.6328810614458522,0.7632284269883083,0.7845915266209178,0.6840225009965517,0.5385199065936542,0.5565955819961754,0.6241956241956242,0.5068149210903874,0.5254237288135594,0.6283197305350434,0.684593023255814,0.6895017793594306,0.6262508877267738,0.5824402308326463,0.596383224317045
GCN_binary_lr0.001,0.001,64,16,1,0.1,32,249,MLP,0.6192149543367311,0.8208424132603865,0.8491754598087735,0.7056541298778354,0.5324728597665405,0.5478828155671788,0.675039494470774,0.5196285352469396,0.520904729266621,0.5535691151703589,0.5964147286821705,0.6761565836298933,0.6082995230977294,0.5553801037672006,0.5884630274874177
GCN_binary_lr0.001,0.001,64,16,2,0.1,32,22,MLP,0.6527840966516893,0.7127375011260693,0.7481775631507238,0.6495668786920475,0.5461064727179856,0.5195709749116653,0.6286644951140065,0.5224223840551936,0.5232477446217905,0.5000647752299521,0.6603682170542635,0.6708185053380783,0.5570387473843712,0.5833511662743419,0.5879142300194932
GCN_binary_lr0.001,0.001,64,16,3,0.1,32,178,MLP,0.6233716995819755,0.752707198032966,0.7500295788049698,0.7009869146986503,0.5343009875833784,0.5599378174035283,0.6803614047050801,0.5190089705254165,0.5442122186495176,0.5170358854773934,0.5886627906976745,0.6023131672597865,0.5875598086124402,0.5516458569807038,0.5717905405405406
GCN_binary_lr0.001,0.001,64,16,1,0.2,32,111,MLP,0.6407368483627311,0.8601398720191076,0.8634806821743647,0.6798656414541063,0.5331237840649601,0.5156845626321855,0.580293417922284,0.5040854808296669,0.5064141722663409,0.7583883922787926,0.7771317829457365,0.7375444839857651,0.6574942438366934,0.6115135341212352,0.6005070626584571
GCN_binary_lr0.001,0.001,64,16,2,0.2,32,58,MLP,0.6404708174691685,0.7764703892744504,0.8243486434221268,0.6732419105522466,0.5259325141968632,0.5001951121439698,0.6083983203359328,0.5052531041069723,0.5058339052848319,0.6569503821738567,0.7688953488372093,0.655693950177936,0.6317428678211038,0.6097982708933718,0.5710964742347927
GCN_binary_lr0.001,0.001,64,16,3,0.2,32,173,MLP,0.6206978218896049,0.7860177512352283,0.8374570856491724,0.7016009744799356,0.5504056716092782,0.5206870322057725,0.65465032444124,0.5200323755564549,0.5088809946714032,0.5881590879647622,0.622577519379845,0.5097864768683275,0.619626040671489,0.5667034178610805,0.5093333333333333
GCN_binary_lr0.001,0.001,64,16,1,0.3,32,65,MLP,0.6351632815216885,0.7466547457071451,0.748393542236752,0.6804126938236588,0.5325356517787393,0.5658406523473614,0.6167723061921014,0.5068232307204062,0.5372307692307692,0.6555253271149113,0.7737403100775194,0.7766903914590747,0.6355586258870816,0.6124640460210931,0.6351400509276101
