graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,136.8575902169843,0.9917112997860019,1,1,6,30,6,30,6,30,6,30,6,30,6,30,6,30,6,30,9,69,0,-80
2,163.92986305124518,0.990175734769394,1,1,7,41,7,41,7,41,7,41,7,41,7,41,7,41,7,41,15,82,0,-78
3,212.74632781789677,0.9911193911905487,1,1,26,43,26,43,26,43,26,43,26,43,26,43,26,43,26,43,10,65,0,-144
4,313.0,0.9835208075074738,0,0,11,87,11,87,11,87,11,87,11,87,11,87,11,87,11,87,5,118,0,-150
5,383.59092794277603,0.9764809497393617,0,1,12,105,12,105,12,105,12,105,12,105,12,105,12,105,12,105,9,147,0,-190
6,468.3278765992902,0.9708817803226327,1,1,13,134,13,134,13,134,13,134,13,134,13,134,13,134,13,134,5,175,0,-209
7,529.9594324096893,0.9673018414632132,1,1,22,154,22,154,22,154,22,154,22,154,22,154,22,154,22,154,9,190,0,-226
8,556.9201019895044,0.96587325354883,1,1,18,159,18,159,18,159,18,159,18,159,18,159,18,159,18,159,10,216,0,-242
9,583.4389428209262,0.9657774396290102,1,1,23,169,23,169,23,169,23,169,23,169,23,169,23,169,23,169,4,204,0,-257
10,410.33035471434476,0.9742137846105536,0,0,18,114,18,114,18,114,18,114,18,114,18,114,18,114,18,114,13,161,0,-189
11,299.9366599800698,0.9829169462613406,1,0,7,84,7,84,7,84,7,84,7,84,7,84,7,84,7,84,4,115,0,-141
12,260.36320784627003,0.9848132826847913,0,0,3,69,3,69,3,69,3,69,3,69,3,69,3,69,3,69,3,108,0,-134
13,267.65276012027226,0.9811874826642248,0,0,11,70,11,70,11,70,11,70,11,70,11,70,11,70,11,70,7,110,0,-139
14,216.5502251211021,0.9868097093125603,0,0,11,54,11,54,11,54,11,54,11,54,11,54,11,54,11,54,6,89,0,-121
15,448.36257649362307,0.975515385902638,1,1,44,105,44,105,44,105,44,105,44,105,44,105,44,105,44,105,11,98,0,-296
16,520.3210547344784,0.9631998410861395,1,0,10,150,10,150,10,150,10,150,10,150,10,150,10,150,10,150,7,197,0,-226
17,483.44803236749243,0.9624291826215309,0,0,10,142,10,142,10,142,10,142,10,142,10,142,10,142,10,142,1,172,0,-205
18,460.98481536814205,0.9602661317576137,0,0,10,134,10,134,10,134,10,134,10,134,10,134,10,134,10,134,3,171,0,-197
19,460.4964712134068,0.9584781196945535,0,0,8,136,8,136,8,136,8,136,8,136,8,136,8,136,8,136,3,168,0,-188
20,413.9384012144802,0.9648212633571036,1,1,4,119,4,119,4,119,4,119,4,119,4,119,4,119,4,119,1,162,0,-178
21,490.4783379518406,0.9640669077850476,0,1,19,134,19,134,19,134,19,134,19,134,19,134,19,134,19,134,1,156,0,-264
22,272.8314498000551,0.9736097883263609,0,0,6,80,6,80,6,80,6,80,6,80,6,80,6,80,6,80,0,95,0,-118
