,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,309,0,287,0,0
1,42,47,26,16,33,6
2,35,36,20,11,20,5
3,25,22,12,5,21,4
4,21,23,13,9,15,1
5,73,46,14,21,63,3
6,33,41,19,10,41,4
7,69,81,47,28,52,11
8,42,28,27,7,24,5
9,30,28,19,10,20,1
10,34,22,27,5,22,2
11,37,34,26,11,24,9
12,48,25,40,7,18,5
13,35,19,25,5,13,6
14,23,10,17,2,8,0
15,57,7,8,2,6,46
16,15,9,7,1,11,2
17,12,6,3,1,5,2
18,10,8,3,2,6,3
19,20,9,11,0,11,0
20,14,11,8,3,11,1
21,18,2,13,0,2,3
22,17,5,13,1,3,0
23,10,7,7,0,7,1
24,18,10,13,3,7,0
25,18,11,10,3,15,1
26,17,11,11,1,12,2
27,7,9,4,2,6,0
28,19,7,10,1,8,2
29,27,16,5,8,23,1
30,43,47,10,14,34,24
31,25,16,10,1,17,7
32,22,18,9,2,17,6
33,16,16,10,6,12,2
34,22,19,15,6,14,4
35,24,8,17,0,9,4
36,13,19,11,4,15,0
37,22,29,11,4,24,2
38,23,30,11,2,29,6
39,13,18,8,8,8,0
40,17,34,9,0,34,0
41,11,9,4,1,13,0
42,30,27,13,2,25,5
43,10,15,4,5,8,0
44,17,11,6,2,9,2
45,51,39,22,3,50,4
46,48,57,22,7,76,8
47,32,20,17,5,17,5
48,49,34,27,5,39,7
49,43,36,21,6,34,9
50,41,45,15,6,46,1
51,32,34,21,4,38,4
52,28,20,17,2,18,2
53,17,9,10,1,10,2
54,25,20,15,3,19,1
55,24,15,15,3,12,2
56,15,4,10,1,3,3
57,13,16,6,4,13,0
58,15,4,7,0,4,2
59,9,16,5,7,6,1
60,13,21,4,7,16,1
61,13,5,6,0,6,1
62,8,9,4,1,8,0
63,9,8,5,0,8,0
64,13,13,6,3,10,3
65,15,3,7,0,5,2
66,12,8,5,2,7,2
67,19,15,10,2,16,2
68,3,8,2,5,1,0
69,22,12,11,1,10,1
70,8,7,2,2,4,1
71,7,3,2,0,4,1
72,6,2,2,0,4,0
73,11,5,6,1,6,0
74,11,4,4,1,4,1
75,10,6,3,0,8,0
76,12,5,7,1,4,3
77,19,4,12,0,5,2
78,6,5,2,2,3,1
79,5,8,2,3,4,0
80,6,8,2,3,3,1
81,6,7,4,2,6,0
82,8,7,3,1,7,0
83,5,8,1,3,6,0
84,11,9,6,1,8,0
85,14,7,4,0,9,3
86,8,17,2,1,16,0
87,8,4,5,1,3,0
88,20,21,7,5,13,2
89,11,14,0,4,12,2
90,21,18,11,5,12,2
91,14,17,4,4,12,2
92,19,10,8,2,9,2
93,14,35,6,28,4,2
94,18,13,11,4,8,2
95,23,22,10,3,18,2
96,19,10,14,1,9,2
97,16,14,10,5,7,4
98,25,11,18,1,11,0
99,12,6,8,1,6,0
100,11,5,10,1,3,0
101,8,15,4,9,5,0
102,17,15,6,1,16,3
103,12,6,5,0,6,1
104,9,2,5,0,3,2
105,8,13,4,5,7,0
106,21,14,17,1,12,0
107,16,2,12,0,2,2
108,12,6,5,0,8,1
109,13,5,8,0,7,1
110,14,12,4,0,14,1
111,12,7,7,2,5,1
112,10,7,4,1,6,0
113,7,0,3,0,0,1
114,7,3,3,1,2,0
115,15,7,8,2,4,1
116,12,6,5,2,5,3
117,17,2,9,0,2,2
118,17,6,9,0,7,3
119,19,9,15,2,11,2
120,22,4,18,1,3,7
121,10,4,9,0,6,1
122,16,4,10,0,6,0
123,18,9,13,0,10,0
124,18,4,14,0,4,2
125,11,7,6,1,5,0
126,13,8,5,2,5,2
127,4,5,1,2,2,0
128,8,3,3,0,4,2
129,12,10,5,2,6,2
130,27,6,19,2,5,5
131,20,3,14,0,3,3
132,7,3,5,1,3,1
133,10,2,7,0,3,0
134,7,8,3,3,6,0
135,11,7,7,1,7,0
136,23,7,19,2,4,0
137,22,10,16,2,8,0
138,32,8,29,3,5,3
139,41,28,28,8,30,9
140,42,30,35,8,27,0
141,34,26,28,4,21,2
142,25,19,19,7,8,1
143,13,10,6,3,8,2
144,69,59,40,11,58,4
145,43,30,40,6,29,7
146,28,24,15,5,16,4
147,24,3,24,0,4,3
148,21,18,20,5,12,0
149,21,18,16,5,11,0
150,28,6,11,0,7,12
151,27,9,26,1,9,2
152,22,15,14,5,7,5
153,18,9,11,2,10,4
154,20,12,12,1,11,1
155,17,9,9,1,9,1
156,16,10,14,4,6,0
157,15,8,11,2,5,3
158,11,5,4,1,7,1
159,5,8,0,4,6,0
160,17,14,9,2,12,4
161,17,11,11,4,5,1
162,33,25,14,11,21,14
163,17,11,10,0,11,4
164,19,10,13,1,9,1
165,25,9,15,1,9,5
166,21,12,6,0,19,6
167,3,1,0,0,1,1
168,8,7,3,1,6,2
169,1,2,0,0,2,0
170,18,5,10,0,5,2
171,14,4,9,0,6,2
172,16,6,12,0,6,1
173,23,10,10,1,13,8
174,23,13,15,1,18,4
175,11,8,8,0,14,0
176,29,8,20,0,12,1
177,21,11,9,1,12,5
178,21,6,15,0,10,0
179,24,9,10,1,11,4
180,12,9,9,4,4,0
181,16,1,12,0,2,1
182,18,10,10,3,15,3
183,15,8,8,0,10,2
184,14,1,12,0,1,0
185,18,9,9,1,14,2
186,17,2,10,0,4,1
187,17,10,8,4,7,3
188,12,5,8,1,4,0
189,19,4,11,0,4,0
190,12,0,9,0,0,0
191,16,10,10,2,8,2
192,14,6,7,0,8,1
193,19,4,11,1,5,4
194,19,14,12,3,10,2
195,15,5,10,1,4,3
196,17,5,10,0,6,0
197,15,7,8,0,11,4
198,26,6,14,0,8,4
199,19,5,12,1,7,0
200,23,14,15,2,15,1
201,15,4,11,0,6,2
202,22,5,16,2,6,2
203,12,2,7,1,1,2
204,13,7,8,1,6,0
205,9,4,3,0,5,1
206,10,3,5,0,4,1
207,21,10,13,1,10,3
208,5,2,2,1,0,2
209,8,2,4,0,3,1
210,6,1,2,0,1,3
211,13,9,7,4,7,1
212,7,2,5,0,2,0
213,14,6,10,2,4,2
214,15,7,8,1,6,2
215,13,6,7,1,7,1
216,14,7,8,0,10,1
217,12,6,5,1,8,2
218,13,8,6,0,12,1
219,44,23,31,1,37,2
220,20,10,14,3,9,3
221,19,6,13,0,8,2
222,15,5,12,0,7,0
223,13,8,7,0,10,0
224,10,4,3,0,4,2
225,9,2,6,0,2,0
226,13,7,5,0,11,0
227,20,8,14,1,9,3
228,19,4,16,1,3,2
229,12,8,6,0,9,0
230,15,7,9,1,8,1
231,9,4,4,1,3,1
232,6,4,1,1,3,1
233,9,1,6,0,1,1
234,14,3,12,0,4,1
235,21,10,11,2,10,6
236,21,6,8,0,11,7
237,17,8,8,1,8,3
238,5,2,4,0,3,0
239,9,8,4,2,5,1
240,11,9,4,4,5,2
241,8,5,3,2,4,1
242,29,9,7,4,7,16
243,14,11,5,0,19,2
244,21,14,7,0,17,5
245,19,9,9,0,15,7
246,18,12,12,1,19,1
247,15,9,5,1,12,2
248,26,7,17,0,10,4
249,27,11,15,1,12,3
250,16,7,11,2,6,2
251,21,13,9,1,16,5
252,18,10,13,1,9,0
253,10,10,9,1,11,0
254,17,15,14,2,14,2
255,20,8,20,1,8,1
256,20,4,15,0,4,1
257,16,13,5,4,10,5
