,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,524,0,575,0,0
1,345,81,345,28,52,11
2,381,28,381,7,24,5
3,377,28,380,10,20,1
4,389,22,384,5,22,2
5,391,34,380,11,24,9
6,356,25,357,7,18,5
7,350,19,345,5,13,6
8,265,10,264,2,8,0
9,268,7,243,2,6,46
10,245,9,263,1,11,2
11,225,6,238,1,5,2
12,199,8,203,2,6,3
13,177,9,173,0,11,0
14,156,11,147,3,11,1
15,153,2,141,0,2,3
16,101,5,90,1,3,0
17,99,7,85,0,7,1
18,103,10,86,3,7,0
19,106,11,88,3,15,1
20,98,11,93,1,12,2
21,98,9,97,2,6,0
22,106,7,98,1,8,2
23,120,16,103,8,23,1
24,153,47,130,14,34,24
25,195,16,190,1,17,7
26,203,18,199,2,17,6
27,210,16,208,6,12,2
28,222,19,222,6,14,4
29,234,8,235,0,9,4
30,217,19,218,4,15,0
31,174,29,164,4,24,2
32,181,30,165,2,29,6
33,188,18,177,8,8,0
34,189,34,173,0,34,0
35,200,9,182,1,13,0
36,204,27,183,2,25,5
37,210,15,191,5,8,0
38,200,11,176,2,9,2
39,195,39,158,3,50,4
40,231,57,199,7,76,8
41,259,20,257,5,17,5
42,285,34,276,5,39,7
43,305,36,298,6,34,9
44,342,45,337,6,46,1
45,382,34,384,4,38,4
46,371,20,379,2,18,2
47,329,9,316,1,10,2
48,315,20,304,3,19,1
49,280,15,268,3,12,2
50,248,4,235,1,3,3
51,189,16,182,4,13,0
52,160,4,145,0,4,2
53,135,16,124,7,6,1
54,140,21,123,7,16,1
55,136,5,118,0,6,1
56,124,9,109,1,8,0
57,122,8,107,0,8,0
58,113,13,97,3,10,3
59,118,3,104,0,5,2
60,102,8,92,2,7,2
61,96,15,83,2,16,2
62,99,8,92,5,1,0
63,103,12,92,1,10,1
64,111,7,98,2,4,1
65,101,3,88,0,4,1
66,96,2,83,0,4,0
67,94,5,79,1,6,0
68,79,4,64,1,4,1
69,80,6,63,0,8,0
70,70,5,57,1,4,3
71,80,4,69,0,5,2
72,81,5,70,2,3,1
73,83,8,73,3,4,0
74,81,8,70,3,3,1
75,82,7,72,2,6,0
76,82,7,72,1,7,0
77,79,8,67,3,6,0
78,73,9,63,1,8,0
79,85,7,68,0,9,3
80,85,17,72,1,16,0
81,93,4,81,1,3,0
82,105,21,82,5,13,2
83,121,14,91,4,12,2
84,141,18,110,5,12,2
85,152,17,118,4,12,2
86,161,10,122,2,9,2
87,159,35,122,28,4,2
88,189,13,152,4,8,2
89,181,22,148,3,18,2
90,187,10,158,1,9,2
91,172,14,147,5,7,4
92,170,11,149,1,11,0
93,167,6,152,1,6,0
94,135,5,124,1,3,0
95,127,15,117,9,5,0
96,122,15,109,1,16,3
97,122,6,111,0,6,1
98,114,2,99,0,3,2
99,95,13,82,5,7,0
100,104,14,92,1,12,0
101,114,2,99,0,2,2
102,103,6,91,0,8,1
103,89,5,80,0,7,1
104,87,12,83,0,14,1
105,93,7,90,2,5,1
106,93,7,88,1,6,0
107,87,0,81,0,0,1
108,76,3,68,1,2,0
109,75,7,63,2,4,1
110,73,6,58,2,5,3
111,68,2,55,0,2,2
112,69,6,55,0,7,3
113,68,9,61,2,11,2
114,91,4,87,1,3,7
115,95,4,97,0,6,1
116,89,4,95,0,6,0
117,93,9,94,0,10,0
118,101,4,102,0,4,2
119,98,7,100,1,5,0
120,96,8,88,2,5,2
121,92,5,81,2,2,0
122,94,3,77,0,4,2
123,90,10,74,2,6,2
124,92,6,75,2,5,5
125,93,3,77,0,3,3
126,89,3,76,1,3,1
127,80,2,73,0,3,0
128,76,8,71,3,6,0
129,84,7,78,1,7,0
130,88,7,87,2,4,0
131,90,10,84,2,8,0
132,102,8,95,3,5,3
133,122,28,108,8,30,9
134,161,30,160,8,27,0
135,194,26,195,4,21,2
136,216,19,218,7,8,1
137,224,10,224,3,8,2
138,257,59,242,11,58,4
139,312,30,302,6,29,7
