overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19,cosine_similarity,norm
908.8334,259.72562,890.02466,263.79764,860.7107,261.99176,933.20435,255.82367,903.80725,225.66663,931.0029,268.49683,841.42847,259.2372,1096.5828,380.64026,1107.3499,376.33917,1124.0803,985.05835,0.99906015,3321.4358
811.28674,232.59366,820.09033,226.13058,783.08777,225.72546,815.6295,209.21417,839.1449,234.69351,780.82837,211.43112,770.38403,216.48203,892.4874,322.03656,990.3583,326.2126,1005.6383,858.26074,0.998939,2932.3289
941.3019,262.48648,970.004,246.6496,976.2367,274.6753,942.31714,272.21725,998.62524,296.62704,944.595,260.17505,1002.20215,282.80475,1198.7513,391.08356,1100.757,376.37396,1172.4326,975.3191,0.9986024,3513.6787
820.5967,280.2229,871.20825,239.07336,851.5237,259.5631,856.6592,278.81247,824.7578,242.40137,845.7053,269.1575,849.40015,271.0494,1028.3981,322.49005,1063.4889,362.51007,1055.2278,911.38745,0.99811006,3140.3635
778.8618,218.98135,760.3439,231.41647,755.3468,221.12387,792.9243,202.81894,783.33704,227.77332,772.3081,188.45282,726.12244,236.74902,802.78235,294.73053,848.39685,317.37897,840.72095,684.80554,0.9956513,2680.2876
855.69763,225.70755,796.5947,269.59668,765.36255,217.93027,752.802,280.41803,813.92285,276.72452,776.09863,238.42545,814.40393,230.08087,895.427,329.7873,865.32434,327.7608,907.5072,671.7272,0.9926723,2815.136
661.53,223.35114,699.3699,224.35562,679.21277,210.9653,677.8552,193.07538,650.06433,197.46921,620.3922,202.4407,702.3717,235.7644,755.078,233.6427,776.9873,303.95767,801.0415,538.9075,0.9938974,2391.41
913.4678,253.15036,874.71094,280.35632,840.9719,288.58582,845.06726,278.24374,864.97144,289.80054,886.5261,268.7851,969.6339,257.30978,1051.556,392.44202,1054.2719,311.29825,929.781,756.9154,0.9922668,3150.6545
1098.7465,319.81482,1104.6234,338.1087,1112.1818,306.68143,1134.1373,313.0033,1077.2288,301.48022,1115.6724,309.72803,1120.8652,314.05225,1227.9368,432.391,1312.7467,449.16675,1255.5327,1018.98706,0.9953881,3942.1763
872.1017,243.893,857.0515,261.81537,897.28076,254.0469,912.9043,255.03848,898.51746,236.58057,870.09973,276.584,887.41016,270.2656,991.74963,350.8504,1092.6183,407.20508,1066.5208,906.3274,0.99792653,3220.8428
497.24316,144.06302,490.7448,153.39926,472.79974,159.56604,514.1296,154.2378,537.197,185.81189,510.09436,124.180466,528.6662,145.0048,581.3627,226.30643,563.85547,213.65164,524.99316,428.6034,0.9972403,1783.4854
900.03015,252.91986,914.6084,234.84567,925.2969,233.49667,945.62,272.04672,887.99695,259.63623,865.68274,244.16156,918.8717,235.9242,1029.7911,317.52936,1050.201,398.79803,1075.0516,914.4231,0.9981043,3259.556
725.78455,240.87552,770.48267,214.83908,755.771,235.3685,743.13525,221.26816,714.172,221.71976,741.91785,248.54926,732.1621,282.88986,866.87573,306.80835,952.64905,343.3553,903.848,725.2853,0.9974018,2730.1846
1103.7079,304.197,1105.306,317.50604,1115.3643,330.06512,1204.1534,345.26938,1127.1805,343.8205,1169.3828,346.93576,1100.8867,386.87686,1332.3956,493.97858,1436.1365,568.1967,1415.6838,1134.9675,0.99621487,4182.168
943.2748,287.5758,879.26245,289.37305,913.35376,264.79044,1023.23584,280.99908,959.7926,271.39307,928.72766,254.98233,953.0077,270.59924,1240.7393,461.29407,1157.2766,390.62598,1231.106,880.2615,0.9962985,3506.8572
913.605,309.86642,959.4033,276.643,914.0453,274.52072,895.6228,299.26724,906.3435,283.8006,952.93835,277.71683,905.0912,286.4681,1181.383,434.90204,1098.77,389.85876,1156.9524,872.8435,0.99507576,3400.4673
526.2367,175.25128,549.9336,189.99976,533.47107,226.77509,525.41516,190.24387,588.3634,192.46921,574.8397,188.63245,526.68726,213.38971,675.59753,289.64038,653.33044,230.46817,606.77954,488.66748,0.99433696,1998.4664
783.41345,244.081,861.9745,234.28671,848.86694,250.93747,801.0509,229.06665,865.2754,251.4364,816.1349,243.8772,842.61304,249.74713,1026.5433,364.53772,952.00256,313.95633,1039.9359,758.18384,0.9955189,3017.7163
1173.0808,388.49368,1115.793,377.55334,1186.4254,345.9361,1186.6891,382.86826,1196.546,356.33124,1230.195,359.41678,1222.4479,374.0042,1391.648,513.4894,1464.7136,512.9292,1428.384,1046.8605,0.9897752,4310.131
989.66223,312.1291,1001.3872,275.29114,1007.1467,287.6637,1027.7444,280.43503,939.53125,292.8474,943.3959,274.7095,967.35254,305.75134,1105.4254,383.91986,1120.269,373.63568,1106.3567,797.2455,0.98928857,3460.3757
1173.7428,303.44427,1147.6859,333.53555,1211.2064,334.16595,1183.5975,339.9297,1174.708,299.02545,1242.2278,335.89816,1186.4141,344.82648,1329.0881,448.20166,1368.8345,489.22913,1396.1294,1046.4618,0.9893159,4215.4233
