Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.6891 | Train AUCROC: 0.5085 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.6931 | Train AUCROC: 0.5243 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.6933 | Train AUCROC: 0.5745 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.6982 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 0.6882 | Train AUCROC: 0.5288 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.6930 | Train AUCROC: 0.5074 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.6796 | Train AUCROC: 0.6802 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.6934 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 0.6894 | Train AUCROC: 0.5552 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 0.6905 | Train AUCROC: 0.5415 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.6869 | Train AUCROC: 0.6713 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.6930 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-bank | Train Loss: 0.6910 | Train AUCROC: 0.5580 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-nobank | Train Loss: 0.6863 | Train AUCROC: 0.5620 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-n | Train Loss: 0.6675 | Train AUCROC: 0.6829 | GPU: 0.0MiB
Epoch: 04 | Edge Type: n-n | Train Loss: 0.6929 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-bank | Train Loss: 0.6859 | Train AUCROC: 0.5792 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-nobank | Train Loss: 0.6806 | Train AUCROC: 0.5719 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-n | Train Loss: 0.6629 | Train AUCROC: 0.6817 | GPU: 0.0MiB
Epoch: 05 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-bank | Train Loss: 0.6826 | Train AUCROC: 0.5936 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-nobank | Train Loss: 0.6759 | Train AUCROC: 0.5788 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-n | Train Loss: 0.6546 | Train AUCROC: 0.6903 | GPU: 0.0MiB
Epoch: 06 | Edge Type: n-n | Train Loss: 0.6924 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-bank | Train Loss: 0.6783 | Train AUCROC: 0.6074 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-nobank | Train Loss: 0.6708 | Train AUCROC: 0.5872 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-n | Train Loss: 0.6505 | Train AUCROC: 0.6938 | GPU: 0.0MiB
Epoch: 07 | Edge Type: n-n | Train Loss: 0.6938 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-bank | Train Loss: 0.6719 | Train AUCROC: 0.6275 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-nobank | Train Loss: 0.6647 | Train AUCROC: 0.5950 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-n | Train Loss: 0.6493 | Train AUCROC: 0.6978 | GPU: 0.0MiB
Epoch: 08 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-bank | Train Loss: 0.6620 | Train AUCROC: 0.6478 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-nobank | Train Loss: 0.6568 | Train AUCROC: 0.6067 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-n | Train Loss: 0.6461 | Train AUCROC: 0.6993 | GPU: 0.0MiB
