graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,144.63747785411636,0.9709887634330768,1,1,4,43,4,43,4,43,4,43,4,43,4,43,4,43,2,48,2,48,0,-57
2,151.43645532037522,0.969387540243612,1,1,5,46,5,46,5,46,5,46,5,46,5,46,5,46,2,49,2,49,0,-56
3,180.13328398716322,0.9700702956899706,1,1,8,51,8,51,8,51,8,51,8,51,8,51,8,51,4,60,4,60,0,-81
4,211.8088761124047,0.9652019962622467,1,1,7,58,7,58,7,58,7,58,7,58,7,58,7,58,6,80,6,80,0,-90
5,188.36400930114013,0.9753193514111524,1,1,4,46,4,46,4,46,4,46,4,46,4,46,4,46,5,77,5,77,0,-93
6,119.94165248152953,0.9875946690448455,0,0,8,22,8,22,8,22,8,22,8,22,8,22,8,22,4,53,4,53,0,-70
7,140.88293012285058,0.9837804951356527,1,1,7,29,7,29,7,29,7,29,7,29,7,29,7,29,3,60,3,60,0,-80
8,144.09718942436038,0.983750673818509,1,1,9,31,9,31,9,31,9,31,9,31,9,31,9,31,3,58,3,58,0,-82
9,172.97687706742772,0.9811650025691885,1,1,5,35,5,35,5,35,5,35,5,35,5,35,5,35,3,74,3,74,0,-101
10,180.3662939686903,0.9815783607812288,1,1,10,39,10,39,10,39,10,39,10,39,10,39,10,39,4,74,4,74,0,-101
11,199.2034136253694,0.9829572570143034,1,1,11,44,11,44,11,44,11,44,11,44,11,44,11,44,4,79,4,79,0,-113
12,221.31877462158513,0.9806636764248908,1,1,9,49,9,49,9,49,9,49,9,49,9,49,9,49,4,90,4,90,0,-124
13,249.96999819978396,0.9798665248351583,1,1,15,62,15,62,15,62,15,62,15,62,15,62,15,62,3,88,3,88,0,-136
14,295.3438673817352,0.9737729014936662,0,1,11,74,11,74,11,74,11,74,11,74,11,74,11,74,6,108,6,108,0,-157
15,318.06603088038185,0.9710849549804954,1,1,10,83,10,83,10,83,10,83,10,83,10,83,10,83,5,116,5,116,0,-159
16,331.58860052782273,0.9722891120029039,1,1,8,74,8,74,8,74,8,74,8,74,8,74,8,74,6,133,6,133,0,-189
17,384.0169267102689,0.9668422362433304,1,1,13,92,13,92,13,92,13,92,13,92,13,92,13,92,10,149,10,149,0,-206
18,373.1045429902992,0.9709838506559945,1,0,9,95,9,95,9,95,9,95,9,95,9,95,9,95,8,138,8,138,0,-193
19,447.2404275107518,0.9707120618991901,1,1,17,108,17,108,17,108,17,108,17,108,17,108,17,108,8,160,8,160,0,-255
20,494.5401904800054,0.9813468042401986,1,1,39,107,39,107,39,107,39,107,39,107,39,107,39,107,21,193,21,193,0,-280
21,422.0142177699704,0.9885380584023497,1,1,31,83,31,83,31,83,31,83,31,83,31,83,31,83,14,175,14,175,0,-248
22,413.8381326074242,0.9900591373558066,1,1,17,78,17,78,17,78,17,78,17,78,17,78,17,78,13,186,13,186,0,-239
23,417.2169699329115,0.9904393494497181,0,1,26,79,26,79,26,79,26,79,26,79,26,79,26,79,14,175,14,175,0,-253
24,353.79372521287036,0.992623862122035,1,0,17,55,17,55,17,55,17,55,17,55,17,55,17,55,10,162,10,162,0,-222
25,371.8050564475959,0.9918229411139363,0,0,28,59,28,59,28,59,28,59,28,59,28,59,28,59,10,162,10,162,0,-236
26,385.6993647907655,0.9921476055152224,0,1,32,63,32,63,32,63,32,63,32,63,32,63,32,63,11,149,11,149,0,-263
27,655.7453774141302,0.9824220526590481,0,1,48,142,48,142,48,142,48,142,48,142,48,142,48,142,12,187,12,187,0,-450
28,1029.4134252087447,0.9686214472084439,1,1,38,277,38,277,38,277,38,277,38,277,38,277,38,277,12,316,12,316,0,-559
29,1378.2717438879752,0.9592331020739525,1,1,18,398,18,398,18,398,18,398,18,398,18,398,18,398,8,430,8,430,0,-647
30,1821.365147355137,0.9574615647663716,1,1,28,512,28,512,28,512,28,512,28,512,28,512,28,512,7,542,7,542,0,-943
31,2362.8184441467356,0.9444528569980745,1,1,19,707,19,707,19,707,19,707,19,707,19,707,19,707,6,748,6,748,0,-981
32,2764.6466320309364,0.9469359221430169,1,1,19,807,19,807,19,807,19,807,19,807,19,807,19,807,8,868,8,868,0,-1255
33,3301.550393375815,0.9462450391706428,1,1,25,966,25,966,25,966,25,966,25,966,25,966,25,966,10,1028,10,1028,0,-1500
34,3613.8541752538936,0.9387785810038692,1,1,21,1090,21,1090,21,1090,21,1090,21,1090,21,1090,21,1090,11,1154,11,1154,0,-1441
35,4202.039861781418,0.9324141580210312,1,1,13,1266,13,1266,13,1266,13,1266,13,1266,13,1266,13,1266,11,1431,11,1431,0,-1530
36,4290.917617479972,0.9435448793424739,1,1,34,1233,34,1233,34,1233,34,1233,34,1233,34,1233,34,1233,11,1388,11,1388,0,-1977
37,4779.864747040443,0.9431304083299014,1,1,43,1369,43,1369,43,1369,43,1369,43,1369,43,1369,43,1369,13,1517,13,1517,0,-2261
38,5762.535032431473,0.9372104685729173,1,1,41,1700,41,1700,41,1700,41,1700,41,1700,41,1700,41,1700,15,1822,15,1822,0,-2515
39,6392.134072436215,0.9338668208688079,1,1,41,1905,41,1905,41,1905,41,1905,41,1905,41,1905,41,1905,11,2003,11,2003,0,-2724
40,6775.62698205856,0.928086498042905,1,1,36,2048,36,2048,36,2048,36,2048,36,2048,36,2048,36,2048,10,2136,10,2136,0,-2723
