0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,572.0,128.0,82734170000000.0,701.0,241.0,115789575000000.0,721.0,607.0,401828820000000.0
786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,786.0,165.0,79515255000000.0,980.0,342.0,120602240000000.0,1007.0,860.0,432649700000000.0
828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,828.0,161.0,100588990000000.0,1061.0,370.0,140655630000000.0,1092.0,953.0,452853570000000.0
860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,860.0,155.0,484328030000000.0,1119.0,388.0,526434750000000.0,1147.0,1012.0,831111100000000.0
889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,889.0,160.0,466450430000000.0,1166.0,416.0,530159560000000.0,1191.0,1047.0,931939000000000.0
945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,945.0,163.0,462757960000000.0,1245.0,435.0,526510300000000.0,1275.0,1134.0,944512100000000.0
917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,917.0,144.0,458609260000000.0,1241.0,436.0,509842050000000.0,1271.0,1153.0,1072775600000000.0
850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,850.0,111.0,415794950000000.0,1139.0,377.0,3.3987013e+16,1165.0,1072.0,3.475759e+16
767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,767.0,87.0,30438130000000.0,1011.0,310.0,3.3992671e+16,1036.0,966.0,3.5270145e+16
892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,892.0,71.0,11271224000000.0,1219.0,354.0,3.3994887e+16,1247.0,1217.0,3.551388e+16
999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,999.0,50.0,5044551300000.0,1387.0,378.0,3.3606852e+16,1422.0,1426.0,3.5548995e+16
934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,934.0,51.0,4438705000000.0,1292.0,352.0,3.35999e+16,1325.0,1326.0,3.5414956e+16
883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,883.0,59.0,5485330700000.0,1203.0,331.0,3.3591908e+16,1231.0,1215.0,3.5412516e+16
849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,849.0,66.0,5731141000000.0,1144.0,321.0,3.3590213e+16,1168.0,1136.0,3.5154694e+16
810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,810.0,91.0,6290139000000.0,1064.0,313.0,57339500000000.0,1084.0,1020.0,1359384900000000.0
745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,745.0,116.0,7305296000000.0,973.0,304.0,48016015000000.0,995.0,920.0,861010100000000.0
691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,691.0,202.0,80734120000000.0,846.0,338.0,1.2158744e+16,859.0,676.0,1.6472977e+16
774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,774.0,346.0,1.217192e+16,864.0,438.0,2.4258875e+16,878.0,524.0,2.8067749e+16
934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,934.0,412.0,1.219206e+16,1038.0,534.0,2.4401054e+16,1053.0,616.0,2.8209554e+16
1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1068.0,464.0,1.2238505e+16,1174.0,606.0,2.4457298e+16,1191.0,682.0,2.8240647e+16
1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1199.0,522.0,1.2262466e+16,1320.0,686.0,2.448811e+16,1336.0,759.0,2.8271276e+16
1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1380.0,582.0,1.2261305e+16,1552.0,805.0,2.4797187e+16,1577.0,926.0,2.8595944e+16
1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1471.0,623.0,1.2273929e+16,1658.0,869.0,2.8508891e+16,1683.0,984.0,2.8648287e+16
2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2149.0,734.0,1.2240218e+16,2779.0,1379.0,1.3137412e+16,2842.0,2071.0,1.3718604e+16
2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2251.0,775.0,239774570000000.0,2892.0,1423.0,1077473550000000.0,2953.0,2154.0,1918143000000000.0
2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,2703.0,939.0,357910970000000.0,3384.0,1654.0,1081560400000000.0,3455.0,2456.0,1909569300000000.0
2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,2753.0,954.0,360496900000000.0,3427.0,1664.0,1085967900000000.0,3502.0,2488.0,1967686300000000.0
2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,2791.0,942.0,343102250000000.0,3510.0,1686.0,1061218240000000.0,3600.0,2608.0,1987985000000000.0
2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,2923.0,976.0,4.6895043e+16,3691.0,1768.0,4.7370603e+16,3784.0,2761.0,4.8295825e+16
2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,2975.0,998.0,4.689071e+16,3734.0,1780.0,4.7306496e+16,3834.0,2796.0,4.825164e+16
2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2290.0,842.0,4.6872885e+16,2648.0,1254.0,4.6967563e+16,2717.0,1798.0,4.7437725e+16
