,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2,0,1,0,0
1,0,98,0,89,0,0
2,7,49,2,22,11,0
3,6,31,3,9,15,1
4,5,6,0,2,2,2
5,9,40,2,8,25,5
6,19,30,2,10,21,11
7,14,24,1,8,11,5
8,17,54,2,10,42,6
9,28,39,5,9,25,9
10,24,33,4,6,21,12
11,12,36,2,6,24,2
12,18,37,4,6,29,6
13,19,73,5,15,52,7
14,20,49,6,6,39,3
15,22,68,8,13,46,7
16,23,55,9,6,44,9
17,22,56,5,6,50,9
18,26,72,11,5,64,6
19,41,67,16,7,62,9
20,22,71,7,9,55,4
21,41,127,22,17,101,11
22,96,278,23,92,141,18
23,86,147,17,48,73,33
24,92,91,33,35,47,17
25,49,71,15,13,46,13
26,56,41,18,7,30,9
27,52,51,16,6,42,16
28,49,147,13,10,128,10
29,60,317,19,7,308,11
30,69,303,26,15,275,10
31,34,306,12,17,276,1
32,57,512,15,23,484,12
33,57,283,23,5,273,7
34,74,495,20,21,461,18
35,91,635,26,30,587,16
36,66,360,23,18,326,14
37,123,621,15,550,123,11
38,167,742,100,20,714,30
39,187,904,115,13,886,30
40,130,853,68,15,835,24
41,235,843,167,12,830,30
42,149,677,105,14,666,11
43,60,426,24,16,407,12
44,96,618,43,16,601,13
45,123,303,66,18,298,12
46,100,176,31,69,112,21
47,96,156,34,30,138,36
48,134,156,55,47,118,38
49,96,133,25,14,123,27
50,89,93,27,16,77,26
51,68,46,22,9,38,16
52,78,57,22,11,47,20
53,93,92,31,27,76,13
54,94,110,20,23,92,26
55,147,214,70,64,177,21
56,171,439,62,96,327,32
57,200,281,49,65,211,82
58,142,258,38,106,136,21
59,166,270,46,36,234,40
60,207,169,64,23,140,66
61,137,144,65,21,119,18
62,115,84,34,16,62,28
63,160,148,42,28,107,24
64,161,168,48,38,130,37
65,139,130,54,19,108,16
66,149,150,57,16,140,41
67,174,149,74,11,145,36
68,152,122,58,15,109,32
69,140,116,56,29,93,20
70,156,125,59,7,126,21
71,143,119,58,13,110,23
72,148,335,62,265,80,30
73,181,115,31,12,128,45
74,112,79,36,6,78,13
75,130,101,46,11,117,32
76,143,104,60,10,103,38
77,118,64,54,9,56,27
78,111,47,45,5,50,36
79,92,49,46,6,43,20
80,101,65,58,12,56,19
81,134,62,64,8,64,30
82,116,52,62,8,48,20
83,114,75,55,9,70,17
84,151,110,59,11,108,60
85,85,56,41,8,53,14
86,78,42,38,4,40,10
87,89,58,37,8,50,13
88,92,66,34,5,67,17
89,99,49,51,9,39,15
90,111,71,61,8,72,21
91,89,52,48,5,53,9
92,81,52,53,4,56,11
93,66,51,42,11,41,12
94,77,91,33,50,56,13
95,64,35,32,6,31,17
96,80,38,36,5,32,11
97,89,60,48,11,53,14
98,78,60,26,11,51,15
99,104,68,48,10,60,13
100,86,61,47,7,54,13
101,91,93,38,37,48,20
102,105,72,47,16,52,23
103,137,229,47,44,207,48
104,88,71,33,12,68,9
