,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,180,0,148,0,0
1,178,6,147,2,2,2
2,184,40,153,8,25,5
3,224,30,191,10,21,11
4,254,24,233,8,11,5
5,202,54,173,10,42,6
6,225,39,199,9,25,9
7,242,33,218,6,21,12
8,271,36,253,6,24,2
9,277,37,246,6,29,6
10,283,73,244,15,52,7
11,327,49,296,6,39,3
12,332,68,292,13,46,7
13,354,55,312,6,44,9
14,368,56,332,6,50,9
15,390,72,369,5,64,6
16,424,67,407,7,62,9
17,432,71,417,9,55,4
18,467,127,442,17,101,11
19,557,278,512,92,141,18
20,797,147,705,48,73,33
21,917,91,804,35,47,17
22,954,71,833,13,46,13
23,964,41,829,7,30,9
24,946,51,810,6,42,16
25,892,147,737,10,128,10
26,805,317,658,7,308,11
27,976,303,841,15,275,10
28,1166,306,1028,17,276,1
29,1404,512,1250,23,484,12
30,1864,283,1722,5,273,7
31,2091,495,1937,21,461,18
32,2441,635,2289,30,587,16
33,2760,360,2597,18,326,14
34,2836,621,2649,550,123,11
35,3180,742,3048,20,714,30
36,3438,904,3299,13,886,30
37,4085,853,3938,15,835,24
38,4472,843,4310,12,830,30
39,4692,677,4550,14,666,11
40,5009,426,4873,16,407,12
41,4850,618,4712,16,601,13
42,4756,303,4603,18,298,12
43,4204,176,4052,69,112,21
44,3604,156,3447,30,138,36
45,2830,156,2698,47,118,38
46,2239,133,2126,14,123,27
47,1981,93,1880,16,77,26
48,1438,46,1362,9,38,16
49,1136,57,1056,11,47,20
50,1022,92,933,27,76,13
51,980,110,855,23,92,26
52,925,214,799,64,177,21
53,1048,439,908,96,327,32
54,1418,281,1240,65,211,82
55,1682,258,1539,106,136,21
56,1889,270,1724,36,234,40
57,2089,169,1927,23,140,66
58,2158,144,2025,21,119,18
59,2076,84,1907,16,62,28
60,1791,148,1565,28,107,24
61,1668,168,1381,38,130,37
62,1613,130,1338,19,108,16
63,1471,150,1185,16,140,41
64,1427,149,1157,11,145,36
65,1450,122,1199,15,109,32
66,1489,116,1257,29,93,20
67,1444,125,1245,7,126,21
68,1393,119,1203,13,110,23
69,1388,335,1205,265,80,30
70,1568,115,1386,12,128,45
71,1491,79,1354,6,78,13
72,1435,101,1284,11,117,32
73,1437,104,1307,10,103,38
74,1397,64,1291,9,56,27
75,1321,47,1236,5,50,36
76,1108,49,942,6,43,20
77,961,65,845,12,56,19
78,952,62,834,8,64,30
79,893,52,787,8,48,20
80,834,75,714,9,70,17
81,875,110,722,11,108,60
82,912,56,816,8,53,14
83,911,42,817,4,40,10
84,888,58,787,8,50,13
85,870,66,744,5,67,17
86,874,49,743,9,39,15
87,845,71,720,8,72,21
88,782,52,646,5,53,9
89,780,52,643,4,56,11
90,779,51,659,11,41,12
91,769,91,655,50,56,13
92,762,35,681,6,31,17
93,740,38,668,5,32,11
94,683,60,599,11,53,14
95,688,60,606,11,51,15
96,716,68,610,10,60,13
97,743,61,625,7,54,13
98,732,93,584,37,48,20
99,816,72,641,16,52,23
100,892,229,688,44,207,48
