,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2,0,1,0,0
1,0,98,0,89,0,0
2,7,49,2,22,11,0
3,6,31,3,9,15,1
4,5,6,0,2,2,2
5,9,40,2,8,25,5
6,19,30,2,10,21,11
7,13,25,1,9,10,5
8,10,61,1,14,43,2
9,20,47,5,12,28,3
10,19,38,2,9,22,10
11,10,38,1,6,26,1
12,14,41,4,8,29,4
13,17,75,5,16,53,5
14,16,53,5,8,39,2
15,19,71,7,15,45,7
16,20,58,7,7,45,9
17,20,58,4,7,50,9
18,21,77,7,9,64,6
19,32,76,13,11,63,7
20,19,74,5,10,56,4
21,28,140,17,21,106,7
22,65,309,12,125,119,18
23,65,168,15,61,70,25
24,74,109,29,43,50,10
25,40,80,14,16,49,8
26,43,54,14,16,26,8
27,42,61,12,9,46,13
28,35,161,11,19,126,5
29,26,351,8,26,306,5
30,39,333,14,29,278,5
31,23,317,10,26,269,1
32,38,531,10,36,479,9
33,33,307,14,24,265,5
34,48,521,16,35,462,7
35,64,662,20,44,588,7
36,49,377,20,27,326,8
37,80,664,8,583,103,5
38,133,776,95,43,710,16
39,155,936,109,29,888,18
40,103,880,62,28,839,13
41,197,881,165,28,837,9
42,119,707,98,29,667,2
43,40,446,19,26,407,7
44,65,649,37,34,599,3
45,73,353,51,50,291,2
46,51,225,20,109,96,8
47,37,215,19,75,137,7
48,82,208,46,82,107,23
49,62,167,18,36,121,14
50,49,133,16,37,83,10
51,44,70,16,21,39,9
52,48,87,20,30,42,8
53,55,130,23,59,57,8
54,49,155,15,66,74,6
55,78,283,29,109,178,16
56,92,518,49,161,295,12
57,131,350,42,124,189,52
58,92,308,31,151,104,15
59,117,319,35,64,231,26
60,160,216,51,55,130,57
61,97,184,52,46,116,9
62,78,121,28,38,58,16
63,87,221,32,81,79,9
64,83,246,34,98,112,9
65,86,183,34,60,91,12
66,94,205,40,59,130,25
67,97,226,47,55,151,13
68,89,185,37,45,119,13
69,85,171,35,61,91,11
70,82,199,37,71,90,15
71,80,182,39,58,95,12
72,91,392,45,302,70,20
73,145,151,22,37,120,37
74,74,117,25,28,75,5
75,77,154,31,46,108,21
76,74,173,42,53,94,22
77,57,125,33,38,66,9
78,54,104,33,27,67,9
79,47,94,21,21,61,12
80,60,106,39,32,65,9
81,79,117,52,35,69,10
82,64,104,39,39,50,10
83,56,133,38,46,60,7
84,62,199,38,45,141,14
85,48,93,25,19,69,3
86,40,80,23,22,45,2
87,49,98,26,28,52,2
88,43,115,24,41,51,7
89,45,103,32,39,40,3
90,46,136,29,39,88,6
91,38,103,23,32,54,6
92,44,89,35,24,58,7
93,33,84,25,27,46,8
94,33,135,19,77,50,6
95,36,63,22,17,39,8
96,30,88,16,30,36,2
97,41,108,26,34,59,7
98,31,107,10,37,51,5
99,36,136,22,47,60,2
100,38,109,31,35,50,5
101,40,144,20,69,47,7
102,50,127,32,48,49,9
103,50,316,29,87,225,5
104,50,109,16,33,69,4
