0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5506,6021,122432,1344,0,1532,124409,2158539,0,156,624,46050,56,224,0,75,0,0,0,0,0
5222,6831,110908,216,0,2080,138532,1921658,0,31,124,7155,0,0,0,0,0,0,0,0,0
5427,5983,122808,700,4,2444,124907,2181159,9,86,320,23100,0,0,9,21,3,2,0,0,0
19646,39306,668276,2448,0,221800,1211563,18041402,1560,1652,2448,117185,10223,40632,0,65,0,858,692,0,0
9811,17584,213076,592,0,98260,356041,3728489,111,236,648,17610,6540,26160,0,15,0,858,632,0,0
6358,9143,105788,692,4,52288,143422,1431330,0,95,380,17630,4203,16812,0,15,192,758,420,0,50
3968,6204,51324,520,0,24492,78516,564312,0,98,392,10340,1567,6108,0,10,0,168,112,0,0
1273,1238,7064,128,0,2892,7968,40360,0,19,76,1245,90,360,0,0,0,3,2,0,0
2730845,316929,1625795136,81040,188,540200,152105672,682835500958,8268,6566,4216,67189690,66840,266920,184509,123311,0,384,316,600,5
9956,12767,240060,272,0,43396,303274,4940695,0,39,156,11390,1003,3912,0,0,0,30,20,0,0
61103,57474,3064540,1232,0,675880,2879689,129604986,891,758,656,116270,24500,97440,0,5,0,1185,840,0,0
12421,9307,202496,180,0,109984,156697,2635369,0,24,96,4950,6652,26608,0,0,0,759,506,0,0
4635,5084,58292,0,0,42504,60276,617930,0,0,0,0,3067,12168,0,0,0,387,258,0,0
3298,3643,32020,96,0,25392,32856,268852,114,97,84,1155,2155,8620,0,0,0,351,269,0,0
2029,2230,14476,84,4,10348,17401,98691,105,133,252,290,602,2308,30,20,3,47,65,0,0
2982,2315,37012,60,0,11784,23607,393969,39,46,80,455,1697,6788,0,0,0,363,247,0,0
4327,4511,62776,164,0,28464,56889,748857,0,19,76,4100,2947,11568,0,0,0,501,334,0,0
2186,1536,17916,0,0,8496,13350,127634,0,0,0,0,166,644,0,0,0,3,2,0,0
1881,1876,15656,0,0,6380,15050,120800,0,0,0,0,531,2124,0,0,0,60,40,0,0
1948,988,20664,0,0,4248,10116,187661,0,0,0,0,210,840,0,0,0,6,4,0,0
1071,680,6668,0,0,1876,4486,40303,0,0,0,0,144,576,0,0,0,12,8,0,0
1078,544,4808,0,0,864,2640,21041,0,0,0,0,10,40,0,0,0,0,0,0,0
1848,2219,11852,60,0,8424,15762,76019,90,94,136,345,530,2120,0,0,0,63,72,0,0
1097,716,5512,0,0,3136,4258,26321,0,0,0,0,54,216,0,0,0,0,0,0,0
689,496,2572,0,0,1304,1958,10613,0,0,0,0,114,456,0,0,0,12,8,0,0
1296,880,7440,0,0,1692,5940,48333,0,0,0,0,72,288,0,0,0,3,2,0,0
2062,2358,15828,136,0,11956,18571,108213,159,154,192,1235,773,3092,0,0,0,75,90,0,0
1241,1032,6208,0,0,4628,6182,28660,0,0,0,0,168,672,0,0,0,12,8,0,0
994,1008,4912,0,0,3232,5788,24980,0,0,0,0,197,788,0,0,0,15,10,0,0
1358,900,9608,0,0,3560,6302,61748,0,0,0,0,246,984,0,0,0,15,10,0,0
533,343,1500,44,0,964,1096,4525,0,5,20,275,84,336,0,0,0,12,8,0,0
643,252,2460,0,0,424,736,9770,0,0,0,0,0,0,0,0,0,0,0,0,0
1791002,210574,865731532,8712,4,325788,85367487,294669834045,0,96,384,5924160,57805,230660,3267,2178,0,225,150,0,0
1571,1100,8320,0,0,4640,7022,42318,0,0,0,0,174,696,0,0,0,12,8,0,0
1309,932,6232,0,0,2928,4791,31561,0,0,0,0,150,600,0,0,0,12,8,0,0
1222,980,6016,0,0,2380,5068,29017,0,0,0,0,132,528,0,0,0,12,8,0,0
871,520,2836,0,0,1140,1980,11215,0,0,0,0,54,216,0,0,0,3,2,0,0
2300,1400,16624,0,0,6164,9314,102762,0,0,0,0,446,1784,0,0,0,42,28,0,0
1385,1372,8792,0,0,4948,7780,53262,0,0,0,0,450,1800,0,0,0,72,48,0,0
1750,1456,12776,0,0,5108,10907,88650,0,0,0,0,305,1120,0,0,0,30,20,0,0
65509,85133,3596488,564,0,1243836,4901883,166632501,168,329,868,24140,42684,170536,0,5,0,2385,1660,0,0
28708,20665,1094284,324,0,336692,713195,34057953,66,180,544,8300,30228,120912,0,0,0,4242,2868,0,0
7450,5331,153556,88,0,55652,94259,2602114,105,150,320,950,3333,13152,0,0,0,285,220,0,0
6787,4520,143600,0,0,37288,83662,2428195,0,0,0,0,2174,8696,0,0,0,171,114,0,0
12957,11686,303352,236,0,143808,260367,5592685,0,25,100,8555,6104,24416,0,0,0,507,338,0,0
57540,36056,3414124,0,0,496740,1794426,154955169,0,0,0,0,6112,24448,0,0,0,93,62,0,0
122887,71785,12270452,1580,0,1342488,5944425,937644237,0,113,452,195615,25770,102840,0,0,0,690,460,0,0
88918,49131,8257996,912,0,919836,3745008,575584781,0,45,180,129390,43558,173512,0,0,0,2478,1652,0,0
45596,18503,3192652,140,0,195836,1059944,164977675,0,17,68,2975,11855,47200,0,0,0,525,350,0,0
30398,15530,1728272,1088,0,113120,735050,72814015,0,54,216,91790,10297,41108,0,5,0,672,448,0,0
16590,7960,629304,0,0,87240,240369,18389406,0,0,0,0,4384,17536,0,0,0,255,170,0,0
20395,9936,965292,0,0,36336,398709,33639510,0,0,0,0,2142,8568,0,0,0,63,42,0,0
22844,7572,1154452,0,0,31168,312514,42689498,0,0,0,0,3291,13164,0,0,0,117,78,0,0
20070,6323,918128,76,0,45208,243277,31241395,0,8,32,855,1815,7260,0,0,0,60,40,0,0
9844,4104,297948,0,0,20152,107866,6864852,0,0,0,0,615,2460,0,0,0,12,8,0,0
11400,5644,383324,0,0,21844,164119,9759937,0,0,0,0,1151,4504,0,0,0,33,22,0,0
17805,6995,720120,0,0,55316,231974,22329160,0,0,0,0,1493,5972,0,0,0,33,22,0,0
15198,4990,578632,64,0,40280,146225,16734650,0,12,48,600,963,3852,0,0,0,15,10,0,0
15683,6767,614436,60,0,50132,222143,18227815,0,10,40,525,3181,12724,0,0,0,135,90,0,0
17503,5768,735288,0,0,50000,193796,23146424,0,0,0,0,2476,9904,0,0,0,105,70,0,0
18472,8683,819040,16,0,32304,323421,27012900,0,4,16,30,1788,7152,0,0,0,42,28,0,0
11721,4907,373216,20,0,36464,126290,9290741,0,3,12,50,1448,5792,0,0,0,42,28,0,0
9963,2600,328920,0,0,5696,73667,7956437,0,0,0,0,321,1284,0,0,0,3,2,0,0
9710,4720,305972,0,0,16872,123336,7215662,0,0,0,0,2330,9320,0,0,0,171,114,0,0
18681,6448,842100,0,0,27916,238615,27977364,0,0,0,0,2303,9212,0,0,0,72,48,0,0
12716,4448,471004,0,0,11540,143315,12871925,0,0,0,0,192,768,0,0,0,0,0,0,0
