Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0.9110967,0.08890331,0.877261,0.0071059433,0.095607236,0.02002584
0.92256343,0.07743658,0.8865295,0.00928998,0.0928998,0.01128069
0.9176627,0.08233732,0.899935,0.016244315,0.07212476,0.0116959065
0.92288244,0.07711757,0.88496655,0.00669507,0.08034084,0.027997565
0.93018866,0.06981132,0.89445436,0.007155635,0.07990459,0.01848539
0.72775096,0.272249,0.6294189,0.009345794,0.267371,0.093864284
0.7656944,0.23430565,0.6810221,0.00947459,0.2311226,0.078380704
0.8146965,0.18530351,0.7805222,0.0063514467,0.19313103,0.019995295
0.916175,0.08382498,0.88084114,0.0033984706,0.100254886,0.0155055225
0.8660981,0.13390192,0.843155,0.00543971,0.13055304,0.020852221
0.9028805,0.0971195,0.8790083,0.0029752066,0.09719008,0.020826446
0.95171255,0.048287477,0.93402064,0.0014274386,0.050118953,0.01443299
0.9522345,0.04776548,0.9388539,0.0017470301,0.052760307,0.006638714
0.9585577,0.041442286,0.93112504,0.0018178145,0.047465157,0.019592002
0.96429545,0.035704553,0.9554811,0.0019147918,0.03925323,0.0033508856
0.94977844,0.050221566,0.9348457,0.0023740437,0.05671327,0.006067001
0.90463305,0.095366925,0.8684618,0.003095017,0.101207055,0.02723615
0.89690334,0.10309668,0.85085577,0.0017464198,0.107928745,0.03946909
0.87563086,0.124369144,0.8136213,0.003654485,0.12857144,0.054152824
0.84787405,0.15212598,0.813435,0.0023467292,0.15869756,0.02552068
0.8615836,0.13841642,0.83979255,0.0021834061,0.14137554,0.016648471
0.9376424,0.06235763,0.9297167,0.002405131,0.060662746,0.007215393
0.9376424,0.06235763,0.9264392,0.0013326226,0.06609808,0.006130064
0.9455371,0.054462936,0.9342669,0.0014289797,0.05344384,0.010860246
0.9482368,0.051763184,0.93883795,0.0009174312,0.054128442,0.006116208
0.9481008,0.05189921,0.9442847,0.0014378146,0.05176132,0.0025161754
0.9307692,0.06923077,0.9152143,0.0023551579,0.071596794,0.010833726
