graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,377.1007822850544,0.9963562916329431,1,1,65,-5,65,-5,65,-5,65,-5,65,-5,65,-5,65,-5,65,-5,18,165,0,-284
2,395.5022123831926,0.9962172070965277,1,1,66,5,66,5,66,5,66,5,66,5,66,5,66,5,66,5,17,178,0,-299
3,387.74862991376256,0.9960608649965906,0,0,57,-15,57,-15,57,-15,57,-15,57,-15,57,-15,57,-15,57,-15,20,189,0,-294
4,366.337276290579,0.9964131876730297,0,0,58,-25,58,-25,58,-25,58,-25,58,-25,58,-25,58,-25,58,-25,17,169,0,-271
5,1853.8330561299204,0.9764162505996612,1,1,60,475,60,475,60,475,60,475,60,475,60,475,60,475,60,475,20,824,0,-961
6,1815.073276757718,0.9792552988134217,1,1,79,426,79,426,79,426,79,426,79,426,79,426,79,426,79,426,27,849,0,-1035
7,1621.8279810140161,0.9874208721173325,1,1,124,233,124,233,124,233,124,233,124,233,124,233,124,233,124,233,29,833,0,-1174
8,1769.7307704845955,0.9854433279354451,1,1,108,272,108,272,108,272,108,272,108,272,108,272,108,272,108,272,35,987,0,-1213
9,1689.1184091116882,0.9864963180173953,0,0,97,210,97,210,97,210,97,210,97,210,97,210,97,210,97,210,25,970,0,-1218
10,1686.8778853254316,0.9866616310211908,1,0,103,229,103,229,103,229,103,229,103,229,103,229,103,229,103,229,25,954,0,-1196
11,1722.8351633281693,0.98635607092772,0,0,93,250,93,250,93,250,93,250,93,250,93,250,93,250,93,250,27,964,0,-1212
12,714.04551675646,0.9963429648348363,0,0,58,128,58,128,58,128,58,128,58,128,58,128,58,128,58,128,24,326,0,-495
13,692.8123844158677,0.9960010255556531,0,0,61,132,61,132,61,132,61,132,61,132,61,132,61,132,61,132,18,304,0,-467
14,375.0,0.9966456936629529,0,0,31,56,31,56,31,56,31,56,31,56,31,56,31,56,31,56,17,174,0,-278
15,269.17837951811805,0.997183304901466,0,0,27,29,27,29,27,29,27,29,27,29,27,29,27,29,27,29,18,137,0,-202
16,218.80356487041064,0.9979528108497062,0,0,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,9,95,0,-173
17,220.48582720891608,0.9976621216478851,0,0,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,13,89,0,-178
18,231.68297304722245,0.9974469987617764,0,0,24,30,24,30,24,30,24,30,24,30,24,30,24,30,24,30,12,107,0,-174
19,201.12185361118767,0.9980673820781051,1,1,23,18,23,18,23,18,23,18,23,18,23,18,23,18,23,18,8,91,0,-159
20,212.07781590727495,0.9977387795622348,0,0,26,22,26,22,26,22,26,22,26,22,26,22,26,22,26,22,8,88,0,-167
21,198.84918908559823,0.9978232534466734,0,0,27,18,27,18,27,18,27,18,27,18,27,18,27,18,27,18,6,84,0,-155
22,196.14535426565678,0.998099285426114,1,1,25,21,25,21,25,21,25,21,25,21,25,21,25,21,25,21,7,86,0,-150
23,194.74598840540978,0.9981125792430553,1,1,24,9,24,9,24,9,24,9,24,9,24,9,24,9,24,9,10,89,0,-157
24,190.7537679837544,0.9981273413788134,0,0,23,13,23,13,23,13,23,13,23,13,23,13,23,13,23,13,9,89,0,-151
25,173.47622315464446,0.9981954479053786,0,0,19,3,19,3,19,3,19,3,19,3,19,3,19,3,19,3,9,83,0,-142
26,174.2096438203121,0.9980459330134808,0,0,13,19,13,19,13,19,13,19,13,19,13,19,13,19,13,19,8,82,0,-139
27,178.76520914316635,0.9979194314086087,0,0,20,16,20,16,20,16,20,16,20,16,20,16,20,16,20,16,14,88,0,-137
28,174.60240548171151,0.9979236714952284,0,0,25,17,25,17,25,17,25,17,25,17,25,17,25,17,25,17,7,66,0,-137
29,1588.255961739165,0.9623911540800033,1,1,25,456,25,456,25,456,25,456,25,456,25,456,25,456,25,456,8,601,0,-702
30,1564.1412979651168,0.9621233171073633,1,1,28,441,28,441,28,441,28,441,28,441,28,441,28,441,28,441,13,620,0,-707
