graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,976.5188170230003,0.9773520567082956,1,1,46,266,46,266,46,266,46,266,46,266,46,266,46,266,29,359,29,359,0,-429
2,1059.8683880558,0.9740073504211774,1,1,40,302,40,302,40,302,40,302,40,302,40,302,40,302,29,385,29,385,0,-419
3,869.5947331947222,0.9679720302692834,0,0,13,243,13,243,13,243,13,243,13,243,13,243,13,243,17,329,17,329,0,-353
4,728.7159940607863,0.9646841819968429,0,0,15,211,15,211,15,211,15,211,15,211,15,211,15,211,13,261,13,261,0,-285
5,601.8064472901566,0.9645166141965056,0,0,9,176,9,176,9,176,9,176,9,176,9,176,9,176,8,212,8,212,0,-234
6,330.82321563034236,0.9759734190658166,0,0,10,90,10,90,10,90,10,90,10,90,10,90,10,90,8,126,8,126,0,-142
7,331.32763241239024,0.9726384180692876,0,0,8,95,8,95,8,95,8,95,8,95,8,95,8,95,2,117,2,117,0,-137
8,156.84705926475002,0.9870817812668493,0,0,5,40,5,40,5,40,5,40,5,40,5,40,5,40,2,61,2,61,0,-76
9,169.5906837063876,0.9840830743675235,0,0,9,44,9,44,9,44,9,44,9,44,9,44,9,44,5,64,5,64,0,-80
10,181.71956416412627,0.9815812347274574,1,1,5,47,5,47,5,47,5,47,5,47,5,47,5,47,4,74,4,74,0,-80
11,164.61773901982738,0.9836109023052082,0,0,3,43,3,43,3,43,3,43,3,43,3,43,3,43,3,65,3,65,0,-75
12,111.01801655587259,0.9870115107110654,0,0,2,27,2,27,2,27,2,27,2,27,2,27,2,27,2,45,2,45,0,-56
13,140.80838043241602,0.9814852084578909,0,1,6,38,6,38,6,38,6,38,6,38,6,38,6,38,2,47,2,47,0,-71
14,250.9362468835461,0.9669640107531076,1,1,5,71,5,71,5,71,5,71,5,71,5,71,5,71,2,93,2,93,0,-101
15,266.45637541631464,0.9742344630096161,1,1,12,69,12,69,12,69,12,69,12,69,12,69,12,69,4,98,4,98,0,-132
16,272.75263518433695,0.9799845820250624,1,1,9,71,9,71,9,71,9,71,9,71,9,71,9,71,2,104,2,104,0,-130
17,288.07290743837746,0.9803548338418018,1,1,12,72,12,72,12,72,12,72,12,72,12,72,12,72,7,114,7,114,0,-140
18,273.06409503997406,0.9837078972237139,1,1,8,70,8,70,8,70,8,70,8,70,8,70,8,70,3,107,3,107,0,-130
19,304.0328929573246,0.9806690712866307,0,0,12,79,12,79,12,79,12,79,12,79,12,79,12,79,7,119,7,119,0,-139
20,274.81266346367664,0.9836202868992804,0,0,11,69,11,69,11,69,11,69,11,69,11,69,11,69,9,109,9,109,0,-132
21,192.39282730912814,0.9881317075266786,0,0,11,49,11,49,11,49,11,49,11,49,11,49,11,49,8,74,8,74,0,-91
22,134.78130434151467,0.9917813305537466,0,0,10,31,10,31,10,31,10,31,10,31,10,31,10,31,2,49,2,49,0,-77
23,129.2632971883357,0.9913675848808039,0,0,2,28,2,28,2,28,2,28,2,28,2,28,2,28,4,54,4,54,0,-73
24,114.46396812971321,0.9907351542028794,0,0,8,30,8,30,8,30,8,30,8,30,8,30,8,30,3,40,3,40,0,-56
25,111.64676439557037,0.9893520304451358,0,0,4,28,4,28,4,28,4,28,4,28,4,28,4,28,4,46,4,46,0,-51
26,112.30316113093166,0.9899275362775428,1,1,4,31,4,31,4,31,4,31,4,31,4,31,4,31,5,43,5,43,0,-45
27,119.91246807567593,0.9864598000053911,0,0,5,29,5,29,5,29,5,29,5,29,5,29,5,29,7,53,7,53,0,-51
28,90.52623929005335,0.9902949337760434,0,0,4,21,4,21,4,21,4,21,4,21,4,21,4,21,4,40,4,40,0,-42
29,83.98809439438426,0.9906591095462052,0,0,1,23,1,23,1,23,1,23,1,23,1,23,1,23,0,32,0,32,0,-36
30,75.71657678474378,0.9887074385869989,0,0,4,18,4,18,4,18,4,18,4,18,4,18,4,18,4,30,4,30,0,-39
31,63.788713735268246,0.9913673668513159,1,0,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,30,2,30,0,-35
32,75.25290692059676,0.9877526011296307,0,0,3,17,3,17,3,17,3,17,3,17,3,17,3,17,2,32,2,32,0,-39
33,77.1686464828819,0.9876991720419616,0,0,5,20,5,20,5,20,5,20,5,20,5,20,5,20,1,29,1,29,0,-36
34,74.13501197140255,0.9878997240375221,0,0,2,17,2,17,2,17,2,17,2,17,2,17,2,17,1,31,1,31,0,-39
35,86.1974477580398,0.9864295623802748,1,1,3,22,3,22,3,22,3,22,3,22,3,22,3,22,2,35,2,35,0,-39
36,86.19164692706596,0.9861752322736024,0,0,5,22,5,22,5,22,5,22,5,22,5,22,5,22,2,31,2,31,0,-44
37,94.31330765061736,0.985954041187433,1,1,5,25,5,25,5,25,5,25,5,25,5,25,5,25,2,34,2,34,0,-45
38,80.26207074328447,0.9894776281041266,1,1,4,17,4,17,4,17,4,17,4,17,4,17,4,17,2,35,2,35,0,-43
39,77.18808198161165,0.9899908033646736,1,0,3,19,3,19,3,19,3,19,3,19,3,19,3,19,1,31,1,31,0,-38
40,106.74268124794318,0.9838293805751152,1,1,6,30,6,30,6,30,6,30,6,30,6,30,6,30,3,38,3,38,0,-44
41,115.54652742510265,0.9845931757861895,1,1,9,34,9,34,9,34,9,34,9,34,9,34,9,34,3,37,3,37,0,-44
42,113.48568191626643,0.9834233846591435,0,0,4,33,4,33,4,33,4,33,4,33,4,33,4,33,3,41,3,41,0,-42
43,98.73702446397704,0.9875162263206593,1,1,6,27,6,27,6,27,6,27,6,27,6,27,6,27,2,35,2,35,0,-44
