0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83906,172145,8209276,12020,8,109176,14882916,596266238,4845,6567,13348,1711005,233,932,0,390,1380,920,5,0,0
201491,379527,31612684,21652,8,311392,51238141,-707857434,1080,4995,17100,4865285,4154,16616,2154,1946,3,32,20,0,5
65180,104623,5308712,8736,0,351208,7548493,328149444,1158,2578,7224,1072120,14840,59360,0,275,0,660,500,0,0
48159,64364,3281876,2384,4,306500,3783821,171024329,468,1001,2756,219840,17188,68752,0,20,132,1180,793,0,0
22616,32512,1076904,1392,0,78084,1371564,39245282,0,201,804,100020,4577,18308,0,15,0,252,168,0,0
12380,16083,414096,1692,0,39268,486832,10885440,756,727,892,87055,2128,8232,0,50,0,105,70,0,0
15927,15265,617792,1160,0,47816,517949,18405170,576,491,428,68370,1710,6720,0,15,0,60,40,0,0
19288,26808,830008,0,0,82436,1015115,27560854,0,0,0,0,7403,29612,0,0,0,660,440,0,0
25964,41759,1293944,1492,4,144440,1841180,49779610,6,495,1964,112515,13564,54236,6,19,0,1365,910,0,0
10623,9153,342624,632,0,16764,258219,8464132,0,54,216,30800,873,3492,0,5,0,30,20,0,0
20870,25102,991400,904,0,48148,1040335,35213182,0,108,432,63270,3452,13808,0,5,0,168,112,0,0
8022,7851,213220,268,0,17152,184894,4451234,0,26,104,11055,483,1932,0,0,0,12,8,0,0
6878,5858,175416,264,0,8660,134285,3466015,189,149,92,9770,278,1112,0,0,0,3,2,0,0
4575,4194,89312,244,0,3844,75100,1400226,0,25,100,6400,0,0,0,0,0,0,0,0,0
3926,4488,66048,0,0,1412,71273,942705,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,2960,56844,0,0,1440,45993,775472,0,0,0,0,0,0,0,0,0,0,0,0,0
3193,4044,46908,0,0,5648,58634,600353,0,0,0,0,144,576,0,0,0,3,2,0,0
2688,2227,39712,152,0,672,31449,474919,0,14,56,3515,1,4,0,0,0,0,0,0,0
1126,1072,9244,0,0,604,9277,69359,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,2163,24092,4,0,1960,25465,248705,0,33,132,0,105,420,0,0,0,3,2,0,0
5462,7961,102440,612,0,27964,140065,1596981,0,102,408,19095,2168,8672,0,15,0,252,168,0,0
3136,4608,46828,0,0,5800,67813,606372,0,0,0,0,144,576,0,0,0,3,2,0,0
1971,2064,24084,0,0,1844,24278,247933,0,0,0,0,37,148,0,0,0,0,0,0,0
2300,2264,29044,0,0,2628,27720,313617,0,0,0,0,42,168,0,0,0,0,0,0,0
32864,8527,2074652,580,0,3492,447036,93606067,0,14,56,52200,9,36,0,0,0,0,0,0,0
8621,11075,242284,280,0,25392,275529,5330714,0,37,148,12075,2100,8400,0,0,0,168,112,0,0
5177,5989,106544,272,0,10516,114514,1779410,0,88,352,7285,392,1488,0,0,0,12,8,0,0
11618,16257,396708,720,0,23404,501553,10429038,0,102,408,34475,1335,5340,0,5,0,60,40,0,0
2137,2803,28432,136,0,752,36038,315620,0,20,80,2805,0,0,0,0,0,0,0,0,0
2020,2647,20228,8,0,1032,29148,185685,0,30,120,5,0,0,0,0,0,0,0,0,0
2432,3312,33896,0,0,2360,44657,398628,0,0,0,0,41,164,0,0,0,0,0,0,0
4836,6796,95064,0,0,4700,128966,1552844,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,3252,28620,0,0,1572,41589,322019,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2492,22508,0,0,3984,27357,223824,0,0,0,0,236,864,0,0,0,12,8,0,0
4374,7580,79624,0,0,6972,130806,1241147,0,0,0,0,108,432,0,0,0,0,0,0,0
4733,5991,94676,0,0,5808,113442,1541335,0,0,0,0,61,244,0,0,0,0,0,0,0
2006,2207,19212,108,0,8424,18663,152263,0,16,64,1755,1116,4464,0,0,0,252,168,0,0
2608,4000,36812,0,0,3680,54707,447463,0,0,0,0,234,936,0,0,0,12,8,0,0
5002,8172,110908,0,0,3756,166287,1946687,0,0,0,0,0,0,0,0,0,0,0,0,0
4921,5490,105236,424,0,7288,104857,1761840,0,50,200,13770,810,3240,0,5,0,60,40,0,0
2081,2412,26260,0,0,1264,29077,281049,0,0,0,0,0,0,0,0,0,0,0,0,0
