,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2,0,1,0,0
1,2,96,1,74,0,0
2,18,146,9,83,63,1
3,30,37,5,12,18,7
4,8,31,2,16,5,0
5,16,40,1,9,24,5
6,11,30,2,12,6,1
7,8,33,1,18,12,1
8,63,191,17,23,155,32
9,29,120,6,39,64,14
10,33,57,7,6,50,18
11,34,71,10,22,40,11
12,35,58,7,11,41,16
13,32,50,4,13,31,16
14,32,43,12,11,27,10
15,50,63,22,15,44,15
16,28,61,11,19,34,9
17,30,29,12,6,22,7
18,18,27,9,7,16,6
19,24,49,8,10,34,6
20,44,245,18,14,224,11
21,19,14,10,2,12,3
22,22,12,12,3,6,4
23,24,17,10,4,10,8
24,13,17,6,5,8,5
25,25,34,8,9,22,2
26,30,132,9,5,124,6
27,23,33,10,8,19,4
28,22,31,12,8,16,4
29,28,45,5,14,24,11
30,32,33,15,8,23,6
31,25,30,8,8,17,2
32,22,22,7,8,9,6
33,26,25,8,8,18,10
34,24,25,8,5,20,7
35,32,23,13,7,13,11
36,19,27,11,8,16,4
37,20,18,9,6,10,7
38,16,21,12,7,12,2
39,16,43,8,32,12,3
40,21,20,10,5,14,4
41,17,21,2,4,14,8
42,26,10,13,3,6,5
43,16,21,6,4,15,5
44,44,50,15,15,32,11
45,52,71,23,14,52,13
46,31,34,16,10,20,8
47,44,76,15,21,42,17
48,86,256,44,94,106,22
49,98,278,35,97,132,34
50,70,102,30,30,58,20
51,79,98,38,29,60,21
52,47,110,17,39,55,17
53,75,107,33,30,71,26
54,61,66,21,18,46,24
55,74,109,28,29,76,32
56,89,122,29,35,78,44
57,149,254,53,63,190,86
58,124,262,45,68,198,61
59,9,26,6,12,4,0
60,21,39,4,17,6,9
61,13,28,4,11,9,1
62,26,44,4,21,2,8
63,69,51,8,22,34,14
64,158,92,31,26,44,31
65,193,219,35,74,83,31
66,97,135,24,56,30,13
67,83,136,21,56,28,8
68,103,128,26,53,25,14
69,148,217,26,90,75,20
70,130,150,31,42,72,11
71,466,1018,17,626,549,18
72,204,348,43,128,113,43
73,179,599,56,300,85,20
74,96,176,28,61,62,4
75,173,233,67,79,114,28
76,245,339,83,111,181,32
77,142,192,54,67,93,14
78,112,97,56,29,56,9
79,165,276,63,44,218,60
80,198,323,81,58,241,44
81,134,222,69,46,155,21
82,129,201,52,37,145,35
83,431,705,188,106,619,87
84,319,512,146,61,460,58
85,238,351,129,28,324,51
86,195,340,102,37,286,10
87,262,388,118,38,338,59
88,277,435,133,42,388,32
89,204,342,92,26,325,29
90,270,362,123,28,330,76
91,205,295,90,20,273,30
92,168,256,80,16,239,23
93,152,276,60,25,242,20
94,201,284,83,30,239,22
95,480,292,201,25,248,51
96,341,201,162,11,189,52
97,329,211,151,12,192,62
98,281,231,144,11,218,64
99,264,203,136,10,189,52
100,257,301,107,23,265,72
101,217,233,102,15,220,35
102,194,207,83,18,192,59
103,161,165,98,9,170,19
104,142,156,95,18,129,11
105,145,157,92,14,137,20
106,174,179,111,15,170,20
107,193,172,97,11,168,44
108,173,231,97,15,225,26
109,202,246,109,17,251,23
110,157,178,88,14,175,20
111,170,187,99,17,185,26
112,140,181,67,8,186,19
113,157,144,96,9,147,34
114,111,130,62,10,124,9
115,95,126,50,6,127,12
116,113,111,64,1,121,9
117,140,135,78,3,152,15
118,171,158,90,7,166,27
119,122,134,65,5,133,16
120,43,45,7,6,35,11
121,82,103,43,2,108,11
122,109,209,55,9,202,18
123,110,163,57,8,164,19
124,172,139,96,4,145,16
125,292,122,166,9,114,28
126,186,122,100,8,117,20
127,172,97,100,2,107,20
128,118,115,66,3,121,9
129,200,157,119,11,157,18
130,111,126,50,3,129,13
131,126,122,64,6,121,11
132,137,120,70,11,103,20
133,117,115,65,6,108,13
134,122,106,54,3,109,22
135,122,100,66,9,90,14
136,86,126,17,61,80,2
137,78,115,20,6,111,19
138,135,116,33,6,112,33
139,113,114,30,6,109,28
140,121,130,22,6,127,40
141,121,121,32,3,123,29
142,152,133,54,8,134,27
143,108,134,33,5,130,33
144,91,99,30,6,95,24
145,94,83,36,7,70,19
146,97,108,37,14,93,16
147,104,99,38,6,94,21
148,123,153,44,5,156,37
149,121,118,43,4,121,31
150,79,98,29,4,95,18
151,79,84,16,5,77,29
152,108,105,29,1,109,28
153,82,97,21,3,99,31
154,202,137,75,5,133,38
155,615,280,220,20,256,117
156,457,271,165,16,271,126
157,235,202,75,3,233,64
158,216,175,81,5,188,65
159,1716,176,445,15,160,1222
160,344,151,232,5,155,61
161,526,202,306,6,246,180
162,197,190,85,7,215,67
163,198,155,107,3,183,60
164,162,139,87,7,158,42
165,108,106,55,1,127,31
166,143,105,74,4,122,40
167,112,92,63,1,112,28
168,131,97,66,4,100,32
169,131,94,69,1,111,34
170,133,104,74,6,114,33
171,113,83,56,4,95,24
172,145,83,90,2,97,32
173,137,73,87,2,80,32
174,131,107,72,3,118,25
175,131,86,58,2,101,35
176,129,102,67,5,117,36
177,102,75,41,5,82,34
178,152,135,72,42,155,36
179,106,93,51,2,118,29
180,76,76,34,2,93,25
181,125,102,47,8,112,44
182,150,104,70,1,139,47
183,182,102,93,4,123,55
184,315,135,203,2,168,52
185,259,117,165,8,138,22
186,230,102,125,1,126,32
187,246,115,120,5,126,38
188,211,138,112,10,156,38
189,194,124,86,9,147,46
190,231,138,118,6,162,46
191,231,123,127,7,142,47
192,235,170,132,7,237,47
193,287,213,144,9,279,74
194,259,190,116,12,227,65
195,302,194,154,9,234,68
