,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,4,0,2,0,0
1,1,1,0,0,1,0
2,0,2,0,1,0,0
3,1,9,0,4,1,0
4,0,4,0,2,0,0
5,0,6,0,3,0,0
6,2,2,1,1,0,0
7,0,27,0,14,0,0
8,2,25,1,14,0,0
9,5,17,2,8,1,0
10,1,20,0,10,1,0
11,2,52,1,26,0,0
12,3,62,1,32,1,0
13,9,48,4,24,1,0
14,13,60,6,29,3,0
15,14,32,6,15,3,0
16,17,15,7,6,3,0
17,3,13,1,6,1,0
18,4,8,2,4,0,0
19,6,6,3,3,0,0
20,2,6,1,3,0,0
21,5,3,2,1,1,0
22,1,9,0,4,1,0
23,2,2,1,1,0,0
24,4,0,2,0,0,0
25,0,6,0,3,0,0
26,6,2,3,1,0,0
27,4,4,2,2,0,0
28,0,7,0,4,0,0
29,4,12,2,6,0,0
30,7,21,3,11,1,0
31,137,1695,56,1280,70,1
32,315,1020,88,471,318,28
33,253,545,61,190,255,40
34,157,230,42,72,103,13
35,148,183,54,48,104,11
36,126,220,36,47,139,11
37,157,272,20,72,170,16
38,190,215,32,50,176,58
39,172,167,27,46,128,77
40,124,117,36,41,77,45
41,98,113,26,26,101,19
42,87,87,31,24,43,13
43,112,154,34,34,101,19
44,93,103,27,34,42,18
45,116,78,26,21,53,28
46,52,58,16,15,31,9
47,36,41,10,14,20,4
48,68,73,20,20,40,10
49,130,71,39,23,38,48
50,185,98,26,24,71,120
51,99,94,21,31,62,36
52,91,96,38,22,75,18
53,57,58,26,21,34,11
54,73,76,20,20,60,16
55,50,41,18,11,33,11
56,44,37,12,3,43,3
57,71,63,26,14,48,11
58,61,68,19,20,35,7
59,134,139,44,32,79,14
60,158,120,49,29,84,50
61,122,48,33,14,36,64
62,81,56,31,10,50,16
63,56,60,21,11,53,6
64,58,57,23,16,35,12
65,59,56,24,16,49,8
66,67,73,23,18,65,12
67,88,61,30,22,59,8
68,68,62,26,24,43,13
69,70,55,28,12,50,11
70,84,71,25,16,43,15
71,90,78,32,20,40,12
72,136,72,46,15,59,58
73,147,140,55,35,113,35
74,97,99,30,27,68,27
75,91,87,25,23,46,16
76,75,56,30,11,35,11
77,135,74,42,23,48,62
78,96,87,28,16,59,16
79,140,75,46,17,63,40
80,110,56,30,15,40,46
81,93,52,30,7,43,14
82,56,58,24,12,37,3
83,60,54,26,16,28,7
84,26,24,12,7,10,2
85,43,32,11,5,23,6
86,27,12,9,2,8,1
87,45,36,11,8,21,3
88,53,24,15,2,26,2
89,64,39,17,9,21,6
90,82,87,28,19,52,13
91,768,1559,48,370,1753,49
92,310,236,55,33,276,161
93,194,187,58,33,195,85
94,165,135,44,18,159,31
95,139,175,50,44,131,34
96,215,174,79,30,164,56
97,407,334,135,64,315,134
98,524,592,205,79,618,139
99,579,869,194,120,856,137
100,159,339,58,27,326,31
101,212,251,74,23,236,60
