Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
713.0,32.0,2675.0,7.0,127.0,378.0
738.0,44.0,2872.0,2.0,131.0,385.0
792.0,39.0,3273.0,4.0,144.0,360.0
808.0,23.0,3505.0,2.0,59.0,253.0
817.0,25.0,3574.0,4.0,51.0,203.0
831.0,25.0,3443.0,3.0,70.0,471.0
828.0,40.0,3472.0,5.0,114.0,479.0
865.0,27.0,3582.0,2.0,123.0,447.0
884.0,45.0,3631.0,4.0,128.0,652.0
889.0,16.0,3907.0,0.0,30.0,327.0
896.0,16.0,3925.0,0.0,29.0,86.0
892.0,12.0,3787.0,1.0,17.0,125.0
886.0,14.0,3346.0,4.0,17.0,142.0
868.0,15.0,2925.0,0.0,27.0,169.0
855.0,33.0,2504.0,11.0,51.0,197.0
796.0,25.0,1837.0,3.0,92.0,228.0
785.0,17.0,1697.0,3.0,92.0,130.0
780.0,7.0,1788.0,0.0,13.0,97.0
762.0,7.0,1744.0,0.0,18.0,101.0
755.0,12.0,1704.0,1.0,18.0,141.0
740.0,13.0,1631.0,0.0,51.0,141.0
711.0,10.0,1582.0,0.0,31.0,197.0
681.0,12.0,1468.0,2.0,51.0,152.0
636.0,9.0,1428.0,0.0,17.0,107.0
622.0,8.0,1440.0,0.0,19.0,76.0
627.0,2.0,1461.0,0.0,2.0,123.0
608.0,5.0,1446.0,0.0,5.0,163.0
567.0,6.0,1387.0,0.0,10.0,28.0
504.0,1.0,1154.0,0.0,2.0,5.0
442.0,0.0,901.0,0.0,0.0,5.0
406.0,3.0,748.0,0.0,3.0,5.0
373.0,1.0,626.0,0.0,1.0,4.0
295.0,1.0,438.0,0.0,1.0,6.0
135.0,1.0,114.0,0.0,1.0,1.0
67.0,0.0,43.0,0.0,0.0,3.0
70.0,0.0,40.0,0.0,0.0,8.0
73.0,5.0,42.0,1.0,5.0,7.0
77.0,1.0,48.0,0.0,1.0,4.0
77.0,0.0,47.0,0.0,0.0,5.0
128.0,2.0,63.0,0.0,2.0,61.0
194.0,4.0,166.0,0.0,5.0,76.0
237.0,3.0,272.0,0.0,6.0,71.0
273.0,4.0,367.0,0.0,6.0,80.0
300.0,1.0,468.0,0.0,2.0,56.0
318.0,2.0,529.0,0.0,2.0,65.0
333.0,1.0,605.0,0.0,1.0,67.0
339.0,3.0,641.0,0.0,5.0,67.0
341.0,1.0,660.0,0.0,5.0,34.0
330.0,1.0,626.0,0.0,1.0,50.0
324.0,0.0,598.0,0.0,0.0,55.0
321.0,1.0,602.0,0.0,4.0,28.0
304.0,5.0,572.0,0.0,9.0,22.0
312.0,3.0,541.0,0.0,9.0,54.0
304.0,0.0,520.0,0.0,0.0,32.0
345.0,3.0,523.0,0.0,3.0,106.0
332.0,0.0,555.0,0.0,0.0,38.0
322.0,0.0,538.0,0.0,0.0,19.0
307.0,1.0,501.0,0.0,1.0,18.0
299.0,0.0,481.0,0.0,0.0,3.0
268.0,0.0,406.0,0.0,0.0,1.0
257.0,2.0,365.0,0.0,2.0,8.0
187.0,1.0,248.0,0.0,1.0,12.0
186.0,4.0,227.0,0.0,4.0,32.0
185.0,2.0,230.0,0.0,4.0,27.0
189.0,3.0,240.0,0.0,5.0,31.0
196.0,0.0,266.0,0.0,0.0,24.0
197.0,0.0,287.0,0.0,0.0,10.0
197.0,0.0,295.0,0.0,0.0,13.0
206.0,4.0,298.0,0.0,4.0,33.0
202.0,2.0,303.0,0.0,3.0,33.0
211.0,2.0,316.0,0.0,3.0,26.0
201.0,6.0,318.0,0.0,7.0,29.0
206.0,1.0,334.0,0.0,1.0,22.0
205.0,0.0,343.0,0.0,0.0,23.0
204.0,0.0,352.0,0.0,0.0,18.0
191.0,0.0,335.0,0.0,0.0,26.0
209.0,2.0,330.0,0.0,3.0,29.0
201.0,1.0,322.0,0.0,5.0,20.0
191.0,2.0,302.0,0.0,2.0,25.0
188.0,1.0,291.0,0.0,3.0,11.0
185.0,0.0,287.0,0.0,0.0,7.0
184.0,0.0,276.0,0.0,0.0,7.0
179.0,0.0,248.0,0.0,0.0,17.0
162.0,4.0,219.0,0.0,5.0,22.0
157.0,1.0,213.0,0.0,2.0,26.0
165.0,3.0,212.0,0.0,17.0,14.0
189.0,0.0,233.0,0.0,0.0,43.0
186.0,0.0,261.0,0.0,0.0,10.0
188.0,1.0,261.0,0.0,1.0,13.0
211.0,4.0,265.0,1.0,6.0,39.0
201.0,1.0,283.0,0.0,1.0,28.0
203.0,0.0,302.0,0.0,0.0,27.0
194.0,4.0,297.0,1.0,4.0,29.0
181.0,1.0,292.0,0.0,1.0,27.0
179.0,0.0,310.0,0.0,0.0,10.0
176.0,0.0,314.0,0.0,0.0,21.0
165.0,3.0,290.0,0.0,5.0,31.0
169.0,2.0,288.0,0.0,2.0,22.0
182.0,1.0,288.0,0.0,1.0,23.0
185.0,2.0,284.0,1.0,0.0,22.0
185.0,3.0,268.0,0.0,4.0,19.0
231.0,11.0,284.0,0.0,11.0,57.0
242.0,0.0,335.0,0.0,0.0,22.0
236.0,0.0,324.0,0.0,0.0,10.0
232.0,1.0,304.0,0.0,1.0,21.0
221.0,2.0,291.0,0.0,2.0,12.0
222.0,1.0,296.0,0.0,2.0,21.0
213.0,0.0,295.0,0.0,0.0,16.0
164.0,0.0,243.0,0.0,0.0,9.0
158.0,1.0,222.0,0.0,1.0,3.0
161.0,0.0,210.0,0.0,0.0,17.0
154.0,0.0,197.0,0.0,0.0,16.0
149.0,0.0,206.0,0.0,0.0,19.0
142.0,0.0,196.0,0.0,0.0,11.0
127.0,0.0,185.0,0.0,0.0,6.0
135.0,5.0,181.0,0.0,15.0,9.0
145.0,0.0,208.0,0.0,0.0,8.0
164.0,2.0,217.0,0.0,2.0,32.0
164.0,0.0,233.0,0.0,0.0,33.0
173.0,1.0,249.0,0.0,1.0,21.0
180.0,0.0,267.0,0.0,0.0,30.0
186.0,1.0,296.0,0.0,1.0,17.0
182.0,1.0,295.0,0.0,1.0,14.0
179.0,4.0,293.0,2.0,3.0,7.0
162.0,7.0,255.0,0.0,10.0,7.0
176.0,2.0,239.0,0.0,3.0,22.0
172.0,2.0,233.0,0.0,2.0,18.0
161.0,5.0,211.0,0.0,10.0,13.0
157.0,4.0,207.0,0.0,5.0,12.0
156.0,3.0,211.0,0.0,3.0,8.0
153.0,1.0,211.0,0.0,1.0,9.0
153.0,2.0,212.0,0.0,5.0,14.0
147.0,1.0,211.0,0.0,1.0,13.0
146.0,2.0,204.0,0.0,2.0,10.0
142.0,0.0,197.0,0.0,0.0,14.0
136.0,1.0,186.0,0.0,1.0,10.0
132.0,0.0,181.0,0.0,0.0,6.0
129.0,1.0,175.0,0.0,1.0,7.0
120.0,1.0,157.0,0.0,4.0,11.0
120.0,0.0,164.0,0.0,0.0,7.0
116.0,2.0,153.0,0.0,2.0,9.0
114.0,1.0,146.0,0.0,10.0,9.0
105.0,0.0,140.0,0.0,0.0,0.0
106.0,2.0,138.0,0.0,2.0,4.0
102.0,6.0,126.0,0.0,6.0,11.0
113.0,1.0,133.0,0.0,1.0,9.0
111.0,0.0,131.0,0.0,0.0,12.0
112.0,3.0,128.0,0.0,4.0,10.0
118.0,0.0,112.0,0.0,0.0,15.0
