Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.0633946830265848,4,0.0007253715436743418,0.08805840169611026,0.0,0.00036268577183717085,696,1462,1467,780,1.0,-1.0,1.0,-1.0,1.0
1,1.0655586334256695,4,0.0009848046519645743,0.034863457052474685,0.0,0.0004924023259822871,514,1077,1083,577,1.0,-1.0,1.0,-1.0,1.0
2,1.0559796437659033,4,0.0013451969984279023,-0.03662122811772561,0.0,0.0006725984992139512,375,782,786,415,1.0,-1.0,1.0,-1.0,1.0
3,1.0443213296398892,4,0.0014484345764769614,-0.024877834529522715,0.0,0.0007242172882384807,347,720,722,377,1.0,-1.0,1.0,-1.0,0.0
4,1.5453976205385096,16,0.00048399549656702467,-0.14527330378006093,0.013828026456468698,0.00024199774828351234,789,3165,3194,2468,1.91293118277239,1.324717957244747,1.3247179572447454,-1.0000000000000027,-1.0000000000000009
5,1.5933147632311977,23,0.0002774359678271283,-0.14767330058653177,0.017735710599708014,0.00013871798391356416,1359,5627,5744,4576,3.8943710405834215,-1.4142135623730954,1.4142135623730951,1.3247179572447492,1.3247179572447465
6,1.6269305742989955,25,0.00024399078798725184,-0.15582556607565665,0.01962465406695417,0.00012199539399362593,1526,6532,6669,5425,4.064323460828071,1.6180339887498922,-1.4196670335053694,1.4142135623730985,-1.4142135623730983
7,1.6481658257193508,28,0.00022479075637197912,-0.1593396658789638,0.021398518332029118,0.00011239537818598956,1622,7174,7333,6043,4.234581386652691,2.103803402735542,-1.419402656251152,-1.414213562373098,1.4142135623730963
8,1.6716840344783224,30,0.00021509058601110686,-0.1612745462872356,0.02426679628550074,0.00010754529300555343,1675,7571,7773,6497,4.472966088487098,2.332192320401144,-1.5357440695647973,-1.5357440695647973,-1.4178379805332681
9,1.6762536873156342,29,0.00020605454054279466,-0.16255914616337522,0.025197806674306083,0.0001030272702713973,1743,7915,8136,6819,4.754080449532291,2.4066591400273722,-1.732050807568884,1.7320508075688799,-1.6961005752534626
10,1.7025652877282182,31,0.0001967601164599813,-0.1630842420165091,0.027250086433238282,9.838005822999064e-05,1798,8379,8654,7367,4.947802700061446,2.5987027332872983,1.9365286232290124,1.7320508075688783,-1.7320508075688752
11,1.64872120955207,32,0.00023300186681063733,-0.14238838677215643,0.021723917951475425,0.0001165009334053187,1638,6876,7077,5834,4.321447540080197,2.7107151584813547,2.206656261466849,-1.732050807568881,-1.732050807568879
12,1.6346650765255417,25,0.00032498311660547553,-0.16186802371652842,0.017554504540337926,0.00016249155830273774,1175,4922,5031,4112,3.04517055619781,2.4883496042913213,2.0800838230519076,-1.6903263835515878,-1.3462463371702786
13,1.625520110957004,24,0.00037584280022127253,-0.17277780113491095,0.017143172972134465,0.00018792140011063632,1023,4233,4326,3516,2.766054098735948,2.4668202904780414,1.7720290019648701,-1.4995538204539174,-1.4995538204539174
14,1.618424496205182,23,0.0004236713340851262,-0.17742934178315295,0.01642066596475214,0.00021183566704256307,922,3733,3821,3092,2.648757191622466,2.489158580246613,1.6632519387714755,-1.5193930304744316,1.4776165017693585
15,1.608793686583991,18,0.0004535646142046775,-0.1860020971958814,0.01570115602753887,0.00022678230710233873,869,3493,3548,2854,2.4580051788436688,1.4422495703074096,1.4422495703073994,-1.414213562373096,1.4142135623730954
16,1.6023391812865497,21,0.00046865726273370863,-0.1893204196291505,0.01422287122332688,0.0002343286313668543,840,3359,3420,2740,2.4732931580069835,-2.1994382970508672,1.9999999999999953,1.4422495703074076,-1.4142135623730974
17,1.6020738820479585,19,0.0005193108207610886,-0.19984933305008853,0.013710817530676378,0.00025965541038054435,762,3022,3086,2472,2.061524991747312,2.0115388332407234,-1.9365252301633853,1.6137300754312436,1.4142135623730958
18,1.5789473684210527,19,0.0005733287467033597,-0.19700537552531108,0.017137847706268042,0.00028666437335167987,704,2715,2755,2175,2.154434690031881,2.0,-1.4142135623730958,1.4142135623730936,1.259921049894875
19,1.5662745098039215,19,0.0006144662651251163,-0.190502895000934,0.01813332489627466,0.00030723313256255817,667,2507,2550,1997,2.1544346900318843,1.8171205928321388,1.4142135623730956,-1.4142135623730951,1.259921049894875
20,1.5575657894736843,19,0.0006407099092857607,-0.1884666443922732,0.01598897449388794,0.00032035495464288033,648,2390,2432,1894,1.8171205928321386,1.7099759466767017,1.4655712318767673,1.414213562373096,-1.4142135623730951
