0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
973.0,214.0,3.3625777e+24,973.0,214.0,3.3625777e+24,973.0,214.0,3.3625777e+24,973.0,214.0,3.3625777e+24,973.0,214.0,3.3625777e+24,973.0,214.0,3.3625777e+24,1185.0,339.0,3.6090308e+24,1185.0,339.0,3.6090308e+24,1185.0,339.0,3.6090308e+24,1214.0,1077.0,4.1038218e+24
892.0,191.0,3.3767716e+24,892.0,191.0,3.3767716e+24,892.0,191.0,3.3767716e+24,892.0,191.0,3.3767716e+24,892.0,191.0,3.3767716e+24,892.0,191.0,3.3767716e+24,1080.0,302.0,3.473684e+24,1080.0,302.0,3.473684e+24,1080.0,302.0,3.473684e+24,1107.0,988.0,3.9370381e+24
893.0,196.0,3.3558807e+24,893.0,196.0,3.3558807e+24,893.0,196.0,3.3558807e+24,893.0,196.0,3.3558807e+24,893.0,196.0,3.3558807e+24,893.0,196.0,3.3558807e+24,1062.0,296.0,3.651242e+24,1062.0,296.0,3.651242e+24,1062.0,296.0,3.651242e+24,1090.0,958.0,4.1125142e+24
841.0,179.0,3.345979e+24,841.0,179.0,3.345979e+24,841.0,179.0,3.345979e+24,841.0,179.0,3.345979e+24,841.0,179.0,3.345979e+24,841.0,179.0,3.345979e+24,984.0,273.0,3.646951e+24,984.0,273.0,3.646951e+24,984.0,273.0,3.646951e+24,1005.0,870.0,4.0779165e+24
797.0,174.0,3.448731e+23,797.0,174.0,3.448731e+23,797.0,174.0,3.448731e+23,797.0,174.0,3.448731e+23,797.0,174.0,3.448731e+23,797.0,174.0,3.448731e+23,928.0,259.0,6.3929865e+23,928.0,259.0,6.3929865e+23,928.0,259.0,6.3929865e+23,953.0,823.0,9.643985e+23
877.0,156.0,5.3288273e+23,877.0,156.0,5.3288273e+23,877.0,156.0,5.3288273e+23,877.0,156.0,5.3288273e+23,877.0,156.0,5.3288273e+23,877.0,156.0,5.3288273e+23,1021.0,247.0,6.306567e+23,1021.0,247.0,6.306567e+23,1021.0,247.0,6.306567e+23,1048.0,943.0,9.591482e+23
943.0,151.0,5.159475e+23,943.0,151.0,5.159475e+23,943.0,151.0,5.159475e+23,943.0,151.0,5.159475e+23,943.0,151.0,5.159475e+23,943.0,151.0,5.159475e+23,1080.0,245.0,6.0298922e+23,1080.0,245.0,6.0298922e+23,1080.0,245.0,6.0298922e+23,1105.0,993.0,9.3653356e+23
995.0,146.0,4.8459222e+23,995.0,146.0,4.8459222e+23,995.0,146.0,4.8459222e+23,995.0,146.0,4.8459222e+23,995.0,146.0,4.8459222e+23,995.0,146.0,4.8459222e+23,1127.0,232.0,5.4676434e+23,1127.0,232.0,5.4676434e+23,1127.0,232.0,5.4676434e+23,1150.0,1050.0,7.851568e+23
1141.0,158.0,5.0131963e+23,1141.0,158.0,5.0131963e+23,1141.0,158.0,5.0131963e+23,1141.0,158.0,5.0131963e+23,1141.0,158.0,5.0131963e+23,1141.0,158.0,5.0131963e+23,1309.0,260.0,5.6470553e+23,1309.0,260.0,5.6470553e+23,1309.0,260.0,5.6470553e+23,1335.0,1243.0,7.894612e+23
1448.0,161.0,2.9638023e+23,1448.0,161.0,2.9638023e+23,1448.0,161.0,2.9638023e+23,1448.0,161.0,2.9638023e+23,1448.0,161.0,2.9638023e+23,1448.0,161.0,2.9638023e+23,1692.0,298.0,4.1214566e+23,1692.0,298.0,4.1214566e+23,1692.0,298.0,4.1214566e+23,1727.0,1674.0,7.259676e+23
1681.0,162.0,2.7613037e+23,1681.0,162.0,2.7613037e+23,1681.0,162.0,2.7613037e+23,1681.0,162.0,2.7613037e+23,1681.0,162.0,2.7613037e+23,1681.0,162.0,2.7613037e+23,1979.0,323.0,3.8339644e+23,1979.0,323.0,3.8339644e+23,1979.0,323.0,3.8339644e+23,2019.0,1994.0,7.198668e+23
