0,1,2,3,4,5
0.90125847,0.09874153,0.87316424,0.040053405,0.07209613,0.014686248
0.9219067,0.078093305,0.8940678,0.029661017,0.059322033,0.016949153
0.9244681,0.075531915,0.90149254,0.026865672,0.06417911,0.0074626864
0.8424242,0.15757576,0.83357245,0.091822095,0.06599713,0.008608322
0.90329015,0.09670987,0.88434416,0.045133993,0.057827927,0.012693935
0.9307536,0.06924643,0.9072753,0.02853067,0.052781742,0.0114122685
0.9344086,0.065591395,0.92168677,0.028614458,0.042168673,0.0075301207
0.8996618,0.10033822,0.88338655,0.046325877,0.063897766,0.0063897762
0.9372822,0.06271777,0.9205298,0.026490066,0.046357617,0.0066225166
0.94026285,0.059737157,0.909396,0.021812081,0.046979867,0.021812081
0.8214677,0.17853232,0.7873734,0.005955926,0.19178082,0.014889816
0.9587459,0.041254126,0.9486726,0.01179941,0.025368731,0.014159292
0.9475913,0.05240868,0.9414466,0.010907004,0.040183697,0.0074626864
0.9676915,0.032308493,0.95652175,0.008469791,0.023150763,0.011857707
0.95342886,0.046571136,0.9509476,0.017837236,0.02173913,0.009476031
0.9687815,0.03121853,0.95518357,0.008639309,0.03185745,0.0043196543
0.96873426,0.031265758,0.9662017,0.011266095,0.017167382,0.005364807
0.9161905,0.083809525,0.8842105,0.027631579,0.07236842,0.015789473
0.63379073,0.36620927,0.47104478,0.14208955,0.32895523,0.057910446
0.8782344,0.1217656,0.8148148,0.046296295,0.09310699,0.04578189
0.95588785,0.04411215,0.9357752,0.013547416,0.03913698,0.0115403915
0.95468056,0.045319464,0.9396637,0.016815035,0.03313551,0.010385756
0.8964358,0.103564225,0.8760703,0.041009463,0.07075259,0.012167643
0.85390776,0.14609224,0.80235124,0.045922115,0.12049963,0.03122704
0.8136874,0.1863126,0.7663899,0.06613226,0.14686516,0.020612653
0.89557123,0.10442879,0.8644234,0.03201568,0.08559294,0.017967984
0.93393546,0.066064514,0.90933424,0.014051522,0.06657745,0.010036802
0.95333505,0.046664976,0.9363517,0.009514436,0.048884515,0.005249344
0.9551603,0.04483968,0.9434937,0.011624153,0.03939296,0.005489183
0.95719135,0.042808667,0.94572866,0.009715243,0.039865997,0.004690117
0.9455402,0.054459818,0.9283033,0.010135135,0.055555556,0.006006006
0.9276808,0.0723192,0.91337776,0.012813942,0.06611994,0.007688365
0.93049437,0.06950563,0.91748166,0.018948656,0.055012226,0.0085574575
0.9290254,0.07097457,0.9087275,0.015323118,0.06462359,0.011325783
0.9046351,0.09536494,0.8719677,0.015498652,0.09838275,0.014150944
0.9143927,0.085607275,0.8849018,0.011509817,0.092755586,0.010832769
0.91369206,0.086307935,0.8814363,0.013550135,0.09214092,0.012872629
0.92502755,0.074972436,0.8939288,0.006978367,0.089323096,0.0097697135
0.9011532,0.098846786,0.8663435,0.01800554,0.10526316,0.010387812
0.90280664,0.097193345,0.8736911,0.02486911,0.08573298,0.015706806
0.93969584,0.060304143,0.9219577,0.009259259,0.05952381,0.009259259
0.94874716,0.051252846,0.93309355,0.007194245,0.05467626,0.0050359713
0.93025935,0.06974063,0.8955007,0.007982584,0.07910015,0.017416546
0.94263285,0.05736715,0.91584533,0.010614102,0.05686126,0.016679302
0.92111653,0.07888349,0.8875472,0.009056604,0.08754717,0.015849056
0.92283165,0.07716837,0.8888,0.0112,0.0824,0.0176
0.9214335,0.07856651,0.8997407,0.019878997,0.066551425,0.013828868
0.9276177,0.07238229,0.90901136,0.0139982505,0.07174103,0.005249344
0.94358253,0.056417488,0.9266784,0.0097173145,0.05565371,0.00795053
0.94359756,0.056402437,0.91988415,0.0077220076,0.06177606,0.010617761
0.9380952,0.061904762,0.90909094,0.005050505,0.07575758,0.01010101
0.93106455,0.068935424,0.898138,0.0065717413,0.08543264,0.009857613
0.9197012,0.08029879,0.8847497,0.009313155,0.088474974,0.017462166
0.9099617,0.090038314,0.87914693,0.0106635075,0.09952607,0.0106635075
0.94393474,0.05606524,0.92639595,0.008883249,0.05456853,0.010152284
0.9486631,0.0513369,0.93324435,0.0066755675,0.05340454,0.0066755675
0.93028325,0.069716774,0.9079838,0.01759134,0.06359946,0.010825439
0.9296875,0.0703125,0.90179807,0.0069156294,0.07883818,0.012448133
0.9269406,0.07305936,0.8973988,0.00867052,0.08236994,0.011560693
0.9398496,0.060150377,0.9125596,0.007949126,0.06518283,0.0143084265
0.91899073,0.0810093,0.88869864,0.011986301,0.09075342,0.008561644
0.9393104,0.060689654,0.9188712,0.008818342,0.0670194,0.005291005
0.93994415,0.060055867,0.9017544,0.005263158,0.08421053,0.00877193
0.9315866,0.06841339,0.8954955,0.0054054055,0.08288288,0.016216217
0.9477727,0.052227344,0.93050194,0.009652509,0.054054055,0.005791506
0.7981756,0.2018244,0.7209653,0.0346908,0.21870287,0.025641026
0.7899292,0.2100708,0.7014614,0.03131524,0.24321502,0.02400835
0.90595835,0.09404164,0.8683206,0.010496183,0.11259542,0.008587786
0.86806774,0.13193229,0.80829424,0.019561816,0.16197184,0.010172144
0.8884559,0.11154408,0.83649445,0.02092871,0.12557226,0.017004577
0.93940777,0.060592256,0.90389293,0.0042579076,0.08029197,0.011557178
0.9514521,0.048547897,0.9269695,0.0063254745,0.061529614,0.005175388
0.9397753,0.06022472,0.91074574,0.0064591896,0.07398708,0.008807986
0.9350254,0.06497462,0.9124424,0.013166557,0.06912442,0.0052666226
0.9549689,0.045031056,0.92757475,0.003986711,0.057142857,0.011295681
0.9414153,0.058584686,0.9209749,0.011078287,0.059084196,0.0088626295
0.9245157,0.075484306,0.89416665,0.009166666,0.08916666,0.0075
0.9002023,0.09979771,0.86538464,0.0050167223,0.122073576,0.0075250836
