,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,520,0,805,0,0
1,464,65,670,29,50,56
2,483,57,694,28,55,43
3,492,40,709,16,32,37
4,504,57,720,29,41,33
5,528,35,737,17,38,35
6,510,43,712,16,37,49
7,487,53,692,20,42,59
8,475,63,687,26,60,62
9,478,56,707,30,55,60
10,493,66,765,32,46,53
11,506,36,786,19,24,34
12,497,47,768,15,46,33
13,511,52,764,27,43,62
14,511,51,778,23,43,44
15,503,43,751,20,50,59
16,486,65,735,30,57,61
17,495,69,752,32,58,73
18,526,56,836,27,45,39
19,538,40,863,18,45,59
20,531,48,861,20,40,47
21,530,55,855,21,46,44
22,537,74,833,36,61,53
23,556,66,837,29,67,45
24,548,45,807,24,41,50
25,546,50,813,21,49,29
26,548,40,797,20,25,40
27,530,45,771,17,43,52
28,519,59,766,27,66,58
29,517,78,772,36,70,59
30,526,68,794,26,72,79
31,539,69,848,33,56,47
32,554,47,887,25,44,35
33,560,32,903,13,24,52
34,544,54,876,28,50,42
35,537,51,842,27,38,79
36,527,66,834,27,62,66
37,525,67,814,34,65,45
38,516,56,812,19,59,59
39,526,39,851,19,35,32
40,534,53,842,23,46,24
41,548,50,820,18,50,55
42,538,90,804,38,90,53
43,560,73,832,33,72,55
44,567,61,843,25,54,69
45,567,75,849,38,71,51
46,603,40,918,11,42,34
47,593,47,910,18,40,32
48,591,55,889,20,40,65
49,568,66,834,39,69,57
50,567,71,832,35,74,53
51,566,62,844,33,47,63
52,552,71,830,25,70,67
53,588,42,903,17,32,35
54,584,56,885,25,44,37
55,571,49,868,22,50,53
56,564,60,839,28,56,57
57,558,66,811,31,54,55
58,559,51,808,20,60,57
59,535,64,783,33,51,42
60,559,57,827,25,52,39
61,569,43,833,23,36,48
62,556,53,819,20,56,57
63,544,58,818,27,61,43
64,543,65,816,28,63,58
65,548,50,824,14,58,51
66,539,55,821,28,50,47
67,548,34,829,19,47,40
68,537,30,836,11,30,36
69,513,58,777,25,67,37
70,512,59,772,23,61,43
71,505,69,745,35,60,56
72,522,54,770,26,55,50
73,514,47,771,24,47,39
74,524,60,781,30,63,41
75,548,54,836,20,54,46
76,543,51,828,29,45,38
77,539,55,811,23,77,53
78,524,65,817,39,59,51
79,538,72,840,37,60,31
80,562,65,849,29,54,59
81,576,39,871,16,43,35
82,561,45,843,16,33,23
83,542,51,795,18,40,55
84,531,55,754,19,55,49
85,517,67,724,33,55,59
86,527,57,746,25,50,58
87,512,63,742,33,51,46
88,536,43,774,26,44,35
89,543,51,809,18,43,28
90,543,48,797,22,53,42
91,527,67,784,37,47,37
92,529,53,762,24,41,49
93,524,73,740,38,39,38
94,533,41,720,21,37,38
95,530,28,716,13,34,47
96,513,56,713,29,51,54
97,519,38,731,12,35,55
98,493,61,710,31,58,46
99,487,59,721,29,56,49
100,487,57,740,34,43,49
101,490,68,766,32,62,43
102,525,41,813,10,39,39
103,515,33,776,13,35,37
104,510,57,762,33,58,43
105,505,66,761,31,67,54
106,512,64,786,21,62,46
107,519,36,780,16,45,37
108,485,72,736,46,46,45
109,518,63,782,40,67,29
110,554,42,836,21,38,24
111,535,40,795,15,36,48
112,507,53,744,28,56,37
113,484,55,726,23,51,35
114,497,70,734,34,57,29
115,503,65,720,21,64,33
116,515,42,706,14,42,43
117,516,43,719,23,35,39
118,509,45,714,22,39,37
119,503,52,694,23,53,44
120,495,48,703,20,43,64
121,468,51,715,25,37,29
122,459,36,690,9,33,27
123,446,33,664,11,26,31
124,429,45,628,23,49,22
125,426,55,620,35,33,39
126,416,45,604,17,27,44
127,405,56,560,27,38,48
128,410,60,580,20,47,44
129,433,34,627,16,33,27
130,431,43,638,20,36,23
131,427,40,626,20,35,27
132,418,61,601,30,63,30
133,434,51,629,24,44,52
134,443,79,646,49,60,28
135,460,47,674,16,51,35
136,470,79,700,47,62,37
137,501,30,765,13,29,39
138,498,37,765,17,33,38
139,482,47,727,20,33,41
140,472,52,694,24,55,37
141,458,59,675,25,54,43
142,471,56,694,27,55,56
143,456,55,694,22,46,29
144,474,52,713,20,45,15
145,478,34,701,15,40,22
146,466,51,691,16,56,42
147,473,52,682,18,50,40
148,469,49,673,30,43,35
149,457,55,639,29,36,35
150,459,62,635,33,37,28
151,475,41,655,22,34,31
152,476,39,664,22,40,25
153,464,55,638,33,46,41
154,469,49,649,32,40,38
155,457,65,646,31,59,33
156,480,63,666,25,58,36
157,479,75,681,38,48,57
158,518,33,748,16,23,42
159,519,40,746,18,52,31
160,508,49,732,16,47,53
161,504,48,734,27,40,40
162,490,63,721,27,72,59
163,505,69,764,43,71,47
164,507,60,780,35,54,49
165,529,49,837,28,52,34
166,527,57,848,25,47,42
167,539,48,849,29,52,45
168,546,70,861,32,66,49
169,556,59,860,25,58,54
170,548,53,831,23,44,67
171,539,54,826,28,55,35
172,552,47,833,19,51,33
173,540,65,821,21,54,33
174,556,59,815,25,45,37
175,557,52,778,18,52,50
176,550,68,762,33,73,36
177,546,71,766,36,62,59
178,558,63,798,25,54,46
179,575,38,817,20,43,46
180,548,47,812,22,34,45
181,543,60,818,33,48,32
182,556,71,807,29,62,45
