from,to,date,value
2710469,2717971,2016-04-29,1000000000.0
38644,2718052,2016-04-29,290000000.0
2646771,2646771,2016-04-29,772431206999958.0
2716536,2715703,2016-04-29,218000000000.0
2717776,2717984,2016-04-29,1000000000.0
366026,2717985,2016-04-29,100000000000.0
2712967,2717841,2016-04-29,50000000000.0
2714597,2718060,2016-04-29,300000000000.0
2337263,2646771,2016-04-29,1000000000.0
2718005,2337263,2016-04-29,10000000000.0
2716744,2717998,2016-04-29,30000000000.0
2718069,2718070,2016-04-29,2000000000.0
2718069,2718071,2016-04-29,50000000000.0
2717991,2337263,2016-04-29,100000000000.0
2718090,2337263,2016-04-29,17817700000.0
2337263,1744945,2016-04-29,60000000.0
2717888,2718035,2016-04-29,100000000.0
2717990,2337263,2016-04-29,10000000000.0
2718040,2718041,2016-04-29,347665300000.0
2337263,2718068,2016-04-29,300000000000.0
2715814,2337263,2016-04-29,163014700000.0
2717820,2717832,2016-04-29,1000000000.0
2718023,2718027,2016-04-29,1127000000000.0
2718083,2718084,2016-04-29,1193044700000.0
403011,2717986,2016-04-29,1000000000.0
2337263,2718113,2016-04-29,1470000000.0
2715547,2337263,2016-04-29,184749200000.0
2717977,2717978,2016-04-29,95110100000.0
2717974,2718012,2016-04-29,1000000.0
2718037,2337263,2016-04-29,100000000.0
2717601,2337263,2016-04-29,100000000.0
2337263,247047,2016-04-29,3666165230.0
2337263,2713617,2016-04-29,10000000000.0
2717984,2337263,2016-04-29,1000000000.0
403011,2718002,2016-04-29,100000000000.0
2718025,2718026,2016-04-29,191117400000.0
2717031,2717956,2016-04-29,353418800000.0
2718071,2337263,2016-04-29,16000000000.0
2717952,2717953,2016-04-29,10000000.0
2717983,2337263,2016-04-29,100000000.0
2714565,2717965,2016-04-29,251120600000.0
247047,2717968,2016-04-29,29000000000.0
98797,2718018,2016-04-29,405300000000.0
2337263,247047,2016-04-29,28606465330.0
2718033,2718034,2016-04-29,250000000000.0
2712627,2717838,2016-04-29,20000000000.0
75078,2717996,2016-04-29,1000000000.0
2714547,2717967,2016-04-29,1000000000.0
2718100,2718101,2016-04-29,712799800000.0
2717962,2337263,2016-04-29,181233600000.0
2717274,2718105,2016-04-29,2000000000.0
2714587,2717993,2016-04-29,400000000000.0
2718069,2718071,2016-04-29,2000000000.0
