from,to,date,value
1937660,1765138,2017-08-01,2.5e+20
1944968,1924800,2017-08-05,2.45e+20
1940367,1907946,2017-08-05,2e+19
1944968,1929390,2017-08-05,1.008e+21
1940367,1934735,2017-08-05,2.7e+20
243173,1931320,2017-08-05,5.616e+22
1944968,1944961,2017-08-05,5.05e+22
1940367,31414,2017-08-05,2e+19
1940367,92350,2017-08-05,7e+19
1940367,1908073,2017-08-05,2e+19
1944968,19134,2017-08-05,5e+21
1944968,1944974,2017-08-05,3.84e+19
1940367,1936393,2017-08-05,3e+19
1940367,349275,2017-08-05,1e+19
1940367,1932553,2017-08-05,2e+19
1940367,1424761,2017-08-05,1.6e+20
1944968,1940393,2017-08-05,8e+20
1940367,467151,2017-08-05,1.7e+20
1944968,1940367,2017-08-05,5.2e+21
1940367,1937939,2017-08-05,1e+19
1940367,1943534,2017-08-05,1e+19
1940367,1938567,2017-08-05,3e+19
1944968,1938840,2017-08-05,9e+20
1940367,1939821,2017-08-05,8e+19
1940367,1934735,2017-08-05,1e+19
1945018,1945019,2017-08-05,4.8e+20
1940367,1944938,2017-08-05,4e+19
1940367,1812972,2017-08-05,4e+19
1940367,1945002,2017-08-05,1e+19
1944968,82217,2017-08-05,2.4e+19
1944968,456765,2017-08-05,5e+19
1940367,1935686,2017-08-05,2e+19
1944968,1944973,2017-08-05,6.5e+19
1940367,1945001,2017-08-05,1e+19
1940367,1942111,2017-08-05,2e+19
1944968,1944987,2017-08-05,1.1e+21
1945016,30372,2017-08-05,3.168e+21
1944968,1942117,2017-08-05,1.2e+21
1940367,31021,2017-08-05,5e+19
1940084,1790342,2017-08-05,2.5e+19
1940367,1945000,2017-08-05,5e+19
1940367,1944988,2017-08-05,8.066e+20
1940367,29912,2017-08-05,1e+19
1940367,250346,2017-08-05,1e+19
1940367,1944998,2017-08-05,1e+19
1931184,1944968,2017-08-05,4.2548125e+23
1940367,1944995,2017-08-05,2e+19
1940367,1945003,2017-08-05,2e+19
1940367,1461737,2017-08-05,1e+19
1944986,28297,2017-08-05,2.4e+21
1940367,1944989,2017-08-05,6.4e+20
1940367,1944322,2017-08-05,1.3e+20
1940367,1748534,2017-08-05,1e+19
1940367,1430760,2017-08-05,7e+19
1940367,30936,2017-08-05,1e+19
1940367,1936393,2017-08-05,4e+19
1944968,1944977,2017-08-05,2.5025e+21
1940367,1934436,2017-08-05,2e+19
1945013,120611,2017-08-05,4.848e+20
1944968,1944625,2017-08-05,2.75e+20
1940367,34805,2017-08-05,7e+19
1940367,1945006,2017-08-05,1e+19
1940367,1944996,2017-08-05,2e+19
1940367,1812972,2017-08-05,1e+19
1940367,255571,2017-08-05,2e+19
1940367,1945011,2017-08-05,2e+19
1940367,1940842,2017-08-05,5e+19
1940084,1790342,2017-08-05,1e+19
1944968,1937283,2017-08-05,1.25e+21
1944968,1930353,2017-08-05,3e+19
1945004,2247,2017-08-05,7.2e+20
1940367,1940217,2017-08-05,2e+19
1944968,1937207,2017-08-05,1.5e+21
1940367,1937678,2017-08-05,1e+19
1940367,1945009,2017-08-05,2e+19
1944968,1944985,2017-08-05,5.2e+21
1940367,1938546,2017-08-05,1e+19
1931184,1944968,2017-08-05,1e+20
1944968,1900335,2017-08-05,3e+20
1944968,1916827,2017-08-05,5e+21
1940367,1945005,2017-08-05,1e+19
1944968,1924395,2017-08-05,7.2e+19
1940367,1942131,2017-08-05,3e+19
1944968,1928592,2017-08-05,1e+21
1944992,20761,2017-08-05,2.10432e+22
1944968,1944961,2017-08-05,1.2e+19
1944968,1779941,2017-08-05,2.5e+21
