from,to,date,value
4395539,4396634,2016-10-24,1e+17
67435,4392573,2016-10-24,1e+18
4397683,4386416,2016-10-24,1e+26
2853521,2219829,2016-10-24,5e+18
2853521,2219829,2016-10-24,3e+18
2852890,1430720,2016-10-24,2.630166e+19
2852890,1430720,2016-10-24,2.5e+19
4396631,4396632,2016-10-24,1e+18
4396524,4396525,2016-10-25,1e+19
4396157,4396911,2016-10-25,1.0000000000027142e+20
4396726,4396725,2016-10-25,8.8105726872247e+19
4396770,4396926,2016-10-25,2.7624880341430665e+22
4396733,4396725,2016-10-25,8.8105726872247e+19
4396818,4396428,2016-10-25,1e+20
4396460,4396461,2016-10-25,3e+22
4394732,4396951,2016-10-25,5e+18
4396800,4396430,2016-10-25,9.612389135902014e+19
4392372,4396653,2016-10-25,1e+19
4396440,29745,2016-10-25,1e+18
2714310,4388893,2016-10-25,2.999e+22
4396795,4396796,2016-10-25,1e+21
4396767,4396429,2016-10-25,8.8105726872247e+19
4396787,4392684,2016-10-25,9e+20
2853208,4396689,2016-10-25,9.5940569500026e+20
4396007,4396007,2016-10-25,1337000000000000.0
75594,4396944,2016-10-25,2e+18
31183,57843,2016-10-25,100000000000.0
4396636,4396652,2016-10-25,2e+21
4392573,4394810,2016-10-25,1.00903675362e+21
4396652,4396652,2016-10-25,1.111111e+17
4396705,4396672,2016-10-25,3.5867378556091945e+18
4392573,4396458,2016-10-25,2.98606349781e+21
4396783,4396784,2016-10-25,5.500000000000437e+21
4396867,4396808,2016-10-25,1.4335180055402e+21
342970,4396202,2016-10-25,2.00087e+21
4396683,4396851,2016-10-25,1.501e+21
2702410,4395534,2016-10-25,2e+18
2852928,342970,2016-10-25,6.249812e+19
4396885,4392690,2016-10-25,4.569988050068548e+22
2853399,4396861,2016-10-25,1e+21
36601,4396889,2016-10-25,8.45e+20
73064,4378719,2016-10-25,3.5e+21
4396718,4396925,2016-10-25,4e+20
4396643,4396644,2016-10-25,1.1826998082467e+20
2853017,4395281,2016-10-25,8.8105726872247e+19
2219242,4396838,2016-10-25,2.9430153266857645e+21
4396846,4396847,2016-10-25,3.5681003504251704e+21
345127,4396801,2016-10-25,8e+21
4396702,4396672,2016-10-25,3.5867378556091945e+18
4396654,4396655,2016-10-25,8.8105726872247e+19
4396756,4396429,2016-10-25,8.8105726872247e+19
4396815,4396834,2016-10-25,2e+21
4396919,4396910,2016-10-25,7.5e+20
70407,4393062,2016-10-25,2e+21
4396524,4396525,2016-10-25,6e+21
4392573,75670,2016-10-25,8.3148613855e+20
4396703,4396178,2016-10-25,1e+19
4396734,4396725,2016-10-25,8.8105726872247e+19
71804,4396467,2016-10-25,5.605583203976e+20
2715989,4393897,2016-10-25,2e+18
4396878,4396879,2016-10-25,2.879074476697501e+21
4396793,4396794,2016-10-25,8.107794932745361e+21
4396728,4396725,2016-10-25,8.8105726872247e+19
1938952,4395500,2016-10-25,7.565118648622856e+20
4396833,4396430,2016-10-25,9.493023873710986e+19
4396764,4396936,2016-10-25,2.3e+20
4396771,4396429,2016-10-25,2.504352712794553e+20
4396780,4396781,2016-10-25,1e+22
344078,4395538,2016-10-25,2.75e+19
4396822,4396430,2016-10-25,8.8105726872247e+19
3844340,4375471,2016-10-25,4.549674576575238e+21
4392573,4396916,2016-10-25,4.938050743e+21
4396636,4396238,2016-10-25,1e+21
4396755,4396850,2016-10-25,1e+20
4396707,4396708,2016-10-25,1.5e+20
4396213,4396875,2016-10-25,2.6e+21
4396895,4396923,2016-10-25,6.7412e+22
4396744,4396725,2016-10-25,8.8105726872247e+19
2853310,2852348,2016-10-25,7.6309988129557e+19
78766,4396786,2016-10-25,5.471678916486885e+20
2853119,342970,2016-10-25,3.0759998e+19
193345,4394678,2016-10-25,2e+23
4396920,4396910,2016-10-25,1.5e+21
70407,4375082,2016-10-25,4.0585942942866767e+21
4396865,4396808,2016-10-25,1.516620498615e+21
4396750,4396429,2016-10-25,8.8105726872247e+19
4396647,4395924,2016-10-25,4.0502e+20
2632143,4396841,2016-10-25,1.480035705e+21
4396657,4396655,2016-10-25,8.8105726872247e+19
4396125,4396126,2016-10-25,1e+20
4392573,4396953,2016-10-25,2.99e+18
3114301,4395600,2016-10-25,7.5e+21
2702410,4395534,2016-10-25,6e+18
4396497,4396711,2016-10-25,4e+19
4396682,4396762,2016-10-25,2.7108900701765e+21
4396793,4396794,2016-10-25,2e+18
4396354,4396355,2016-10-25,3e+21
4396912,4396927,2016-10-25,1e+19
2702410,1939878,2016-10-25,2e+18
4395898,4396691,2016-10-25,1e+21
4396690,4396672,2016-10-25,3.5867378556091945e+18
4396798,4396799,2016-10-25,6e+22
4396912,4396927,2016-10-25,4.1478e+22
4396635,4396737,2016-10-25,5e+18
3843915,4396043,2016-10-25,1e+19
4396660,4396661,2016-10-25,1e+20
1938952,4395500,2016-10-25,5e+18
3830671,4391265,2016-10-25,1e+18
4396717,4396655,2016-10-25,8.8105726872247e+19
2852890,342970,2016-10-25,2.630166e+19
2853071,342970,2016-10-25,4.238666e+19
2853307,4395281,2016-10-25,8.8105726872247e+19
4393133,4393134,2016-10-25,5e+21
4396783,4396784,2016-10-25,1.37373147398e+21
72592,4396947,2016-10-25,1e+18
4396718,4390983,2016-10-25,3.75e+18
4396667,4396655,2016-10-25,8.8105726872247e+19
4396226,1941795,2016-10-25,3.179934747225729e+22
4396782,4396430,2016-10-25,2.524478653251492e+20
2219696,2852348,2016-10-25,2.7204998904267e+20
4396754,4396429,2016-10-25,2.500019043759601e+20
2716090,4274936,2016-10-25,2.201978365229464e+21
4396762,4396765,2016-10-25,2.749045064241279e+21
4396862,4396863,2016-10-25,5.559e+21
251785,4376572,2016-10-25,3.19376471987383e+22
254750,4396024,2016-10-25,1e+21
4396698,4396655,2016-10-25,8.8105726872247e+19
4395898,4396639,2016-10-25,3.2913233443125714e+18
4392573,4396650,2016-10-25,1.99999e+21
4395539,4394642,2016-10-25,1.39e+22
342970,4396202,2016-10-25,1.5e+20
4396709,4396655,2016-10-25,8.8105726872247e+19
344078,4395538,2016-10-25,1.3000881797785e+21
4274085,4396948,2016-10-25,1e+18
4396787,382844,2016-10-25,4.6534397605845215e+22
4396180,4396703,2016-10-25,5e+18
120208,4396872,2016-10-25,2e+20
4396827,4396828,2016-10-25,1e+18
2716090,4274936,2016-10-25,8e+22
4396946,4395600,2016-10-25,2.25e+21
4396876,4396877,2016-10-25,1e+19
469229,4393709,2016-10-25,1.3637e+21
4396803,4396430,2016-10-25,2.4671269634067225e+20
4396631,4396808,2016-10-25,2.8191979306651e+21
4396820,4396821,2016-10-25,1.3e+21
4396752,4396429,2016-10-25,2.5035514111008545e+20
4396780,4396781,2016-10-25,4.931182202022413e+22
255996,4396852,2016-10-25,6.822198539691462e+21
4396009,4395455,2016-10-25,1e+23
4396837,4396808,2016-10-25,1.516620498615e+21
1748504,4396036,2016-10-25,1.85e+20
4396745,4396725,2016-10-25,8.8105726872247e+19
4396686,4396672,2016-10-25,2.1506976866696635e+18
1938952,4395500,2016-10-25,1.5e+21
4396651,4396868,2016-10-25,9.899e+19
4396775,4396429,2016-10-25,8.8105726872247e+19
4396807,4396430,2016-10-25,8.8105726872247e+19
193337,2103120,2016-10-25,5e+16
4396683,4396851,2016-10-25,1.0718062060373558e+21
66024,4229519,2016-10-25,1e+19
4396787,4392684,2016-10-25,1e+20
4274753,4396712,2016-10-25,1e+20
4396735,4396725,2016-10-25,8.8105726872247e+19
57843,4396444,2016-10-25,5e+18
72224,4396797,2016-10-25,5.5e+19
235848,2199794,2016-10-25,1e+20
255017,4396679,2016-10-25,1e+21
4395711,4395712,2016-10-25,5e+18
1430720,1430700,2016-10-25,1.0130035e+20
4396703,4396178,2016-10-25,5e+22
4396713,4395898,2016-10-25,6.9e+19
65733,4393126,2016-10-25,2e+22
345127,4396801,2016-10-25,1e+21
2707016,4396825,2016-10-25,1e+21
2712979,4396900,2016-10-25,1e+19
4396776,4396429,2016-10-25,8.8105726872247e+19
1430725,342970,2016-10-25,1.9453312e+19
4396934,4396935,2016-10-25,2.616e+21
4396741,4396725,2016-10-25,8.8105726872247e+19
333607,333738,2016-10-25,1e+18
486276,4388883,2016-10-25,1e+19
4396636,4372696,2016-10-25,1e+18
4396723,344078,2016-10-25,5.8e+17
75880,4396467,2016-10-25,4.0892e+20
4396649,4395924,2016-10-25,3.7559e+20
1938952,4395500,2016-10-25,1e+19
348846,4396928,2016-10-25,1e+18
1430725,342970,2016-10-25,1.9453112e+19
4396440,4396441,2016-10-25,1.5e+21
4396639,4396468,2016-10-25,3.2913233443125714e+18
4396827,4396828,2016-10-25,5.051e+21
4396805,4396430,2016-10-25,8.8105726872247e+19
2852348,4396467,2016-10-25,7.89953298026377e+20
4396758,4396429,2016-10-25,8.8105726872247e+19
4396642,2211640,2016-10-25,2.7393329072149e+19
1738793,4388745,2016-10-25,1e+21
4396703,4396178,2016-10-25,3e+22
3331975,4370394,2016-10-25,5e+19
75594,4390994,2016-10-25,2e+18
4395963,4396160,2016-10-25,5e+22
2712979,4396902,2016-10-25,6.329326599309531e+21
2702410,1939878,2016-10-25,9.47548e+16
4396727,4396725,2016-10-25,8.8105726872247e+19
4396802,4396430,2016-10-25,8.8105726872247e+19
4396680,4396682,2016-10-25,2.24992176712801e+21
256514,4396789,2016-10-25,3.4e+22
4396724,4396725,2016-10-25,8.8105726872247e+19
4392573,4377663,2016-10-25,2.99e+18
4388141,4394535,2016-10-25,6.57374581059996e+20
4396909,4396910,2016-10-25,7.5e+20
2707016,4396813,2016-10-25,2e+18
