0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
232.0,30.0,30.0,232.0,30.0,30.0,232.0,30.0,30.0,232.0,30.0,30.0,328.0,83.0,83.0,381.0,135.0,135.0,381.0,135.0,135.0,467.0,295.0,295.0,516.0,485.0,485.0,559.0,896.0,896.0
221.0,34.0,34.0,221.0,34.0,34.0,221.0,34.0,34.0,221.0,34.0,34.0,321.0,85.0,85.0,372.0,133.0,133.0,372.0,133.0,133.0,459.0,303.0,303.0,498.0,451.0,451.0,542.0,863.0,863.0
219.0,28.0,28.0,219.0,28.0,28.0,219.0,28.0,28.0,219.0,28.0,28.0,321.0,79.0,79.0,370.0,124.0,124.0,370.0,124.0,124.0,462.0,309.0,309.0,501.0,460.0,460.0,544.0,862.0,862.0
236.0,25.0,25.0,236.0,25.0,25.0,236.0,25.0,25.0,236.0,25.0,25.0,333.0,78.0,78.0,392.0,138.0,138.0,392.0,138.0,138.0,478.0,307.0,307.0,522.0,476.0,476.0,563.0,896.0,896.0
236.0,28.0,28.0,236.0,28.0,28.0,236.0,28.0,28.0,236.0,28.0,28.0,326.0,76.0,76.0,385.0,139.0,139.0,385.0,139.0,139.0,480.0,333.0,333.0,522.0,498.0,498.0,562.0,888.0,888.0
218.0,25.0,25.0,218.0,25.0,25.0,218.0,25.0,25.0,218.0,25.0,25.0,302.0,71.0,71.0,369.0,142.0,142.0,369.0,142.0,142.0,465.0,333.0,333.0,510.0,509.0,509.0,546.0,880.0,880.0
233.0,27.0,27.0,233.0,27.0,27.0,233.0,27.0,27.0,233.0,27.0,27.0,323.0,67.0,67.0,378.0,132.0,132.0,378.0,132.0,132.0,467.0,321.0,321.0,509.0,472.0,472.0,551.0,883.0,883.0
244.0,30.0,30.0,244.0,30.0,30.0,244.0,30.0,30.0,244.0,30.0,30.0,324.0,63.0,63.0,389.0,141.0,141.0,389.0,141.0,141.0,476.0,318.0,318.0,513.0,450.0,450.0,564.0,915.0,915.0
249.0,32.0,32.0,249.0,32.0,32.0,249.0,32.0,32.0,249.0,32.0,32.0,343.0,81.0,81.0,401.0,142.0,142.0,401.0,142.0,142.0,491.0,330.0,330.0,531.0,469.0,469.0,582.0,947.0,947.0
228.0,27.0,27.0,228.0,27.0,27.0,228.0,27.0,27.0,228.0,27.0,27.0,327.0,71.0,71.0,388.0,140.0,140.0,388.0,140.0,140.0,481.0,330.0,330.0,524.0,480.0,480.0,578.0,985.0,985.0
230.0,28.0,28.0,230.0,28.0,28.0,230.0,28.0,28.0,230.0,28.0,28.0,333.0,76.0,76.0,396.0,144.0,144.0,396.0,144.0,144.0,483.0,341.0,341.0,520.0,460.0,460.0,579.0,968.0,968.0
238.0,24.0,24.0,238.0,24.0,24.0,238.0,24.0,24.0,238.0,24.0,24.0,344.0,75.0,75.0,407.0,149.0,149.0,407.0,149.0,149.0,482.0,309.0,309.0,528.0,464.0,464.0,585.0,966.0,966.0
253.0,31.0,31.0,253.0,31.0,31.0,253.0,31.0,31.0,253.0,31.0,31.0,368.0,83.0,83.0,427.0,153.0,153.0,427.0,153.0,153.0,514.0,330.0,330.0,554.0,479.0,479.0,611.0,983.0,983.0
253.0,28.0,28.0,253.0,28.0,28.0,253.0,28.0,28.0,253.0,28.0,28.0,367.0,74.0,74.0,441.0,157.0,157.0,441.0,157.0,157.0,527.0,348.0,348.0,567.0,492.0,492.0,622.0,978.0,978.0
245.0,27.0,27.0,245.0,27.0,27.0,245.0,27.0,27.0,245.0,27.0,27.0,353.0,76.0,76.0,420.0,160.0,160.0,420.0,160.0,160.0,502.0,326.0,326.0,545.0,491.0,491.0,593.0,922.0,922.0
259.0,31.0,31.0,259.0,31.0,31.0,259.0,31.0,31.0,259.0,31.0,31.0,354.0,74.0,74.0,412.0,148.0,148.0,412.0,148.0,148.0,507.0,341.0,341.0,552.0,519.0,519.0,596.0,912.0,912.0
245.0,32.0,32.0,245.0,32.0,32.0,245.0,32.0,32.0,245.0,32.0,32.0,344.0,82.0,82.0,406.0,153.0,153.0,406.0,153.0,153.0,511.0,384.0,384.0,550.0,543.0,543.0,588.0,882.0,882.0
