dataset,hidden_dim_1,hidden_dim_2,dropout,learning_rate,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,32,0.0001,0.2,500,3,0.33333333333333337,0.6554508407910665
CollegeMsg,64,32,0.0001,0.2,500,3,0.5194805194805195,0.9420473078886668
CollegeMsg,64,32,0.0001,0.2,750,3,0.625,1.9384373426437378
CollegeMsg,64,32,0.0001,0.2,1000,3,0.3792569659442724,0.7197868128617605
CollegeMsg,64,32,0.001,0.2,500,3,0.44983277591973236,0.6846936742464701
CollegeMsg,64,32,0.001,0.2,750,3,0.375,0.6133294502894083
CollegeMsg,64,32,0.001,0.2,1000,3,0.375,0.6455956300099691
CollegeMsg,64,64,0.0001,0.2,500,3,0.3441558441558441,0.8494651218255361
CollegeMsg,64,64,0.0001,0.2,750,3,0.5650154798761611,1.218099037806193
CollegeMsg,64,64,0.0001,0.2,1000,3,0.6428571428571428,3.1938276092211404
CollegeMsg,64,64,0.001,0.2,500,3,0.375,0.6420941750208536
CollegeMsg,64,64,0.001,0.2,750,3,0.36363636363636365,0.6570930480957031
CollegeMsg,64,64,0.001,0.2,1000,3,0.39285714285714285,0.6010294457276663
CollegeMsg,64,128,0.0001,0.2,500,3,0.6304347826086957,3.336450735727946
CollegeMsg,64,128,0.0001,0.2,750,3,0.40909090909090917,0.7470056414604187
CollegeMsg,64,128,0.0001,0.2,1000,3,0.3294314381270903,5.824126720428467
CollegeMsg,64,128,0.001,0.2,500,3,0.3846153846153846,0.6072522501150767
CollegeMsg,64,128,0.001,0.2,750,3,0.39285714285714285,0.6102029283841451
CollegeMsg,64,128,0.001,0.2,1000,3,0.375,0.6478626330693563
CollegeMsg,64,256,0.0001,0.2,500,3,0.5974025974025974,1.4795915683110554
CollegeMsg,64,256,0.0001,0.2,750,3,0.6363636363636364,1.459914008776347
CollegeMsg,64,256,0.0001,0.2,1000,3,0.36363636363636365,0.6867717901865641
CollegeMsg,64,256,0.001,0.2,500,3,0.3846153846153846,0.6015348335107168
CollegeMsg,64,256,0.001,0.2,750,3,0.36363636363636365,0.6417778730392456
CollegeMsg,64,256,0.001,0.2,1000,3,0.3846153846153846,0.6084657609462738
CollegeMsg,128,32,0.0001,0.2,500,3,0.5650154798761611,1.202846844991048
CollegeMsg,128,32,0.0001,0.2,750,3,0.6021671826625387,1.3141127824783325
CollegeMsg,128,32,0.0001,0.2,1000,3,0.6428571428571428,2.9094228744506836
CollegeMsg,128,32,0.001,0.2,500,3,0.3846153846153846,0.6025656263033549
CollegeMsg,128,32,0.001,0.2,750,3,0.3846153846153846,0.637516995271047
CollegeMsg,128,32,0.001,0.2,1000,3,0.3846153846153846,0.6380069255828857
CollegeMsg,128,64,0.0001,0.2,500,3,0.6363636363636364,1.1426049669583638
