,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,232,0,185,0,0
1,33,278,12,159,74,7
2,38,179,13,78,65,13
3,40,218,21,99,66,2
4,60,173,26,75,59,11
5,93,336,43,220,102,10
6,87,272,46,121,112,9
7,90,197,50,83,82,14
8,66,152,39,64,57,10
9,58,124,25,53,35,10
10,115,1514,48,1452,114,13
11,153,276,31,87,149,42
12,415,811,62,255,479,101
13,225,300,53,97,184,57
14,95,153,45,46,83,15
15,100,124,47,36,67,21
16,90,114,46,37,45,17
17,87,81,48,22,42,14
18,103,101,59,33,54,12
19,84,96,43,27,50,8
20,90,76,35,19,49,16
21,66,87,28,25,39,13
22,74,72,26,16,45,9
23,88,82,30,19,50,12
24,98,102,46,30,54,11
25,56,77,18,21,42,12
26,54,71,16,18,43,5
27,68,156,29,64,46,6
28,62,97,37,32,41,9
29,62,68,31,20,37,8
30,48,61,28,19,28,5
31,52,89,24,29,40,4
32,52,54,23,16,28,4
33,55,50,17,13,28,13
34,893,326,862,10,322,25
35,100,75,37,20,43,24
36,117,99,40,19,70,13
37,100,62,33,15,41,21
38,95,91,32,32,39,17
39,117,62,51,16,59,8
40,60,62,31,21,32,10
41,79,88,31,21,55,12
42,683,854,190,238,551,97
43,265,320,92,90,181,89
44,137,118,68,27,78,23
45,109,122,52,34,67,21
46,261,308,120,91,157,27
47,439,529,147,125,328,85
48,675,863,248,231,513,72
49,351,415,176,98,262,55
50,207,256,95,42,199,30
51,183,184,99,29,149,16
52,153,179,80,36,122,17
53,137,164,72,29,119,14
54,174,185,76,27,148,16
55,166,174,85,25,129,15
56,118,142,54,31,90,14
57,140,134,69,23,97,17
58,188,179,84,23,146,21
59,154,160,67,17,137,16
60,155,162,63,20,136,19
61,165,136,79,10,128,14
62,174,180,74,26,152,15
63,193,187,76,38,131,24
64,112,115,48,14,90,14
65,79,90,49,10,76,7
66,158,121,77,11,109,24
67,116,95,59,14,75,22
68,181,130,83,12,116,21
69,144,121,57,14,103,22
70,105,114,46,23,77,16
71,96,103,43,16,82,6
72,80,80,37,11,63,9
73,79,74,27,8,64,11
74,89,78,44,5,75,10
75,83,79,46,6,78,9
76,115,86,51,8,76,15
77,87,94,40,9,84,9
78,57,55,23,7,43,8
79,51,48,22,5,40,5
80,70,64,27,13,47,8
81,64,63,27,5,57,9
82,69,64,33,6,57,8
83,57,48,24,5,41,9
84,76,61,37,7,53,5
85,48,44,26,5,38,3
86,47,43,18,3,48,5
87,61,47,30,3,46,9
88,52,34,26,5,28,3
89,217,177,78,23,145,17
90,279,267,114,30,233,23
91,134,131,55,11,118,9
92,261,226,98,25,207,13
93,286,229,111,32,192,26
94,183,133,80,7,132,19
95,121,112,46,11,107,9
96,150,134,64,11,126,15
97,116,128,48,20,105,8
98,128,87,61,6,86,17
99,119,101,50,15,80,12
100,163,113,81,11,107,9
101,151,148,86,6,146,9
102,123,193,69,11,184,11
103,110,104,59,10,95,24
104,106,80,48,7,74,19
105,103,73,63,3,72,7
106,84,49,52,2,52,6
107,83,84,38,11,67,6
108,88,82,49,7,76,10
109,171,240,103,7,248,30
110,116,128,58,12,116,17
111,99,88,46,9,81,4
112,101,83,50,4,78,6
113,80,77,38,9,67,12
114,91,81,30,8,71,32
115,104,76,46,7,65,26
116,277,229,95,25,198,21
117,101,92,50,7,87,6
118,128,134,58,9,126,21
119,144,229,61,15,220,20
120,129,496,57,201,300,22
121,222,236,65,5,249,53
122,108,75,35,8,68,13
123,127,106,39,12,92,17
124,126,90,44,8,83,14
125,152,71,59,2,72,18
126,113,52,52,5,54,13
127,68,62,28,7,53,5
128,77,54,39,5,48,8
129,113,66,47,7,59,9
130,94,68,40,8,62,11
131,148,120,60,19,100,13
132,118,107,49,10,95,7
133,56,81,30,12,64,3
134,80,68,36,10,60,7
135,88,45,47,5,40,5
136,88,83,43,12,64,6
137,88,68,36,8,58,9
138,117,68,61,11,54,8
139,222,217,113,44,144,24
140,159,141,83,24,106,19
141,160,139,86,27,92,11
142,161,140,79,22,105,16
143,170,132,76,17,117,13
144,188,145,83,22,116,28
145,127,92,63,13,76,17
146,101,86,49,10,71,7
147,74,72,42,9,60,6
148,115,82,49,11,65,15
149,137,92,57,13,72,14
150,135,137,44,24,101,14
151,140,142,53,32,105,13
152,220,263,80,106,217,32
153,156,136,62,14,114,21
154,102,121,46,16,97,5
155,132,102,55,11,87,14
156,175,140,50,16,151,15
157,158,178,60,11,162,12
158,82,94,31,8,80,7
159,101,97,40,2,104,13
160,91,113,43,13,92,8
161,292,127,63,13,117,197
162,120,101,53,11,91,23
163,187,169,72,16,155,23
164,132,130,51,11,127,19
165,173,163,73,12,160,21
166,135,136,56,12,130,16
167,150,148,59,10,152,16
168,184,167,71,14,163,26
169,167,172,71,17,159,14
170,187,229,78,19,237,25
171,225,209,79,16,215,50
172,212,219,90,15,234,32
173,146,165,53,20,140,20
174,209,317,76,50,256,35
175,186,198,77,22,175,28
176,193,196,81,22,171,23
177,154,156,84,16,149,18
178,204,225,82,20,211,23
179,241,220,110,24,206,32
180,289,289,139,32,278,35
181,171,188,85,18,167,19
182,188,235,85,30,202,26
183,144,220,82,24,194,20
184,173,211,92,19,184,24
185,125,162,65,17,144,22
186,189,233,101,21,213,17
187,140,169,68,6,180,19
188,75,98,14,6,109,4
189,181,233,81,7,248,23
190,135,183,59,9,186,21
191,193,172,86,11,186,39
192,155,146,83,18,148,25
193,133,132,53,8,136,27
194,138,138,54,9,133,32
195,127,144,54,12,135,22
196,141,159,43,14,147,29
197,142,139,45,14,123,34
198,135,139,50,9,123,30
199,115,106,42,4,101,25
200,118,111,53,5,104,25
201,134,115,57,7,110,30
202,166,149,57,11,145,61
203,134,178,63,10,171,34
204,176,192,65,32,198,60
205,145,125,66,11,142,40
206,111,116,58,9,139,32
207,135,103,41,13,124,33
208,103,113,31,7,124,24
209,110,86,52,7,89,35
210,93,111,35,7,113,19
211,77,91,30,7,93,17
212,115,86,56,1,108,20
213,92,87,43,8,81,12
214,89,93,37,6,103,17
215,88,100,55,8,106,20
216,89,75,46,6,80,17
217,97,89,51,12,81,25
218,90,86,40,9,82,15
219,80,71,34,4,74,17
220,94,80,45,7,79,17
